country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Confidence in national government
Afghanistan,2.66171813,7.460143566,0.490880072,52.33952713,0.427010864,-0.106340349,0.261178523
Albania,4.639548302,9.373718262,0.637698293,69.05165863,0.74961102,-0.035140377,0.457737535
Algeria,5.248912334,9.540244102,0.806753874,65.69918823,0.436670482,-0.194670126,
Argentina,6.039330006,9.843519211,0.906699121,67.53870392,0.831966162,-0.186299905,0.305430293
Armenia,4.287736416,9.034710884,0.697924912,65.12568665,0.613697052,-0.132166177,0.246900991
Australia,7.25703764,10.71182728,0.949957848,72.78334045,0.910550177,0.301693261,0.45340696
Austria,7.293727875,10.71622562,0.906217813,72.35971069,0.890030563,0.124996737,0.43590793
Azerbaijan,5.152279377,9.65392971,0.787039399,63.07531357,0.731030464,-0.247480661,0.766583443
Bahrain,6.227320671,10.68671322,0.875747144,66.12399292,0.905858517,0.120759174,
Bangladesh,4.309771061,8.163092613,0.712552786,62.50415421,0.896217167,0.017536195,0.876646459
Belarus,5.552915096,9.719829559,0.900255799,66.60596466,0.620979249,-0.130582094,0.447916299
Belgium,6.928347588,10.65765381,0.921639085,72.14292908,0.856801987,0.045481469,0.449731916
Benin,4.853180885,7.632502556,0.435878992,51.79475021,0.72680825,-0.040269434,0.615089297
Bolivia,5.65055275,8.832608223,0.778661788,60.34379578,0.883904934,-0.115987852,0.427632958
Bosnia and Herzegovina,5.089902401,9.371712685,0.775295258,67.99448395,0.563798666,0.089589462,0.126379713
Botswana,3.504881144,9.6836586,0.768258631,58.01321411,0.817308009,-0.258249283,0.770821095
Brazil,6.332929134,9.547693253,0.904694259,65.45373535,0.764792562,-0.187264696,0.16549027
Bulgaria,5.096901894,9.822961807,0.94175458,66.4154892,0.689047039,-0.160038665,0.326087952
Burkina Faso,4.646891117,7.434531212,0.784761369,52.3994751,0.613774717,-0.051286779,0.540656149
Cambodia,4.585842133,8.202580452,0.765094936,58.63087463,0.963774681,0.086719364,0.752442479
Cameroon,5.07405138,8.128399849,0.69459641,50.14022446,0.766945004,-0.031055631,0.578775525
Central African Republic,3.475862026,,0.319589138,44.64535141,0.645252347,,0.650284886
Chad,4.558937073,7.490785122,0.660615563,45.98406219,0.614849687,-0.002929057,0.473544389
Chile,6.320119381,10.03757858,0.879840791,69.60894012,0.790116489,-0.035265177,0.268283308
China,5.099061489,9.635466576,0.772033215,69.30279541,0.877617598,-0.194634736,
Colombia,6.157341957,9.490860939,0.909249961,64.13578033,0.837554634,-0.165878147,0.221882597
Congo (Brazzaville),4.883991241,8.559967995,0.655440509,55.28945923,0.777783453,-0.168748975,0.469826549
Congo (Kinshasa),4.311033249,6.625340939,0.669688404,50.78821945,0.704239547,0.095792539,0.4784123
Costa Rica,7.22518158,9.67063427,0.92169714,69.86730194,0.93561846,-0.078268528,0.407448441
Croatia,5.343165874,10.01418877,0.770309687,67.01551056,0.715822279,-0.109417252,0.211000666
Cyprus,6.062051296,10.36136723,0.818671048,72.76279449,0.811670661,0.036286667,0.312653422
