games_played,win_ratio
1,0.0
2,0.0
3,0.0
4,0.25
5,0.2
6,0.16667
7,0.14286
8,0.125
9,0.22222
10,0.3
11,0.27273
12,0.33333
13,0.38462
14,0.35714
15,0.33333
16,0.375
17,0.35294
18,0.38889
19,0.36842
20,0.35
21,0.33333
22,0.31818
23,0.30435
24,0.33333
25,0.32
26,0.30769
27,0.2963
28,0.28571
29,0.31034
30,0.3
31,0.29032
32,0.28125
33,0.30303
34,0.32353
35,0.31429
36,0.30556
37,0.32432
38,0.31579
39,0.33333
40,0.325
41,0.34146
42,0.35714
43,0.34884
44,0.34091
45,0.33333
46,0.34783
47,0.34043
48,0.33333
49,0.34694
50,0.34
51,0.33333
52,0.32692
53,0.33962
54,0.33333
55,0.32727
56,0.33929
57,0.35088
58,0.36207
59,0.35593
60,0.36667
61,0.36066
62,0.35484
63,0.34921
64,0.34375
65,0.35385
66,0.34848
67,0.35821
68,0.35294
69,0.34783
70,0.34286
71,0.35211
72,0.36111
73,0.35616
74,0.35135
75,0.36
76,0.35526
77,0.36364
78,0.35897
79,0.35443
80,0.3625
81,0.35802
82,0.35366
83,0.3494
84,0.34524
85,0.35294
86,0.34884
87,0.34483
88,0.35227
89,0.35955
90,0.36667
91,0.37363
92,0.36957
93,0.37634
94,0.37234
95,0.36842
96,0.375
97,0.37113
98,0.37755
99,0.37374
100,0.38
101,0.37624
102,0.38235
103,0.37864
104,0.38462
105,0.39048
106,0.38679
107,0.38318
108,0.38889
109,0.3945
110,0.39091
111,0.38739
112,0.39286
113,0.39823
114,0.40351
115,0.4
116,0.39655
117,0.39316
118,0.39831
119,0.40336
120,0.4
121,0.39669
122,0.40164
123,0.39837
124,0.40323
125,0.408
126,0.40476
127,0.40157
128,0.39844
129,0.4031
130,0.40769
131,0.41221
132,0.41667
133,0.42105
134,0.41791
135,0.42222
136,0.42647
137,0.43066
138,0.42754
139,0.42446
140,0.42143
141,0.41844
142,0.41549
143,0.41958
144,0.42361
145,0.42759
146,0.43151
147,0.42857
148,0.42568
149,0.42282
150,0.42
151,0.41722
152,0.41447
153,0.4183
154,0.42208
155,0.42581
156,0.42949
157,0.42675
158,0.42405
159,0.42767
160,0.425
161,0.42857
162,0.4321
163,0.43558
164,0.43293
165,0.4303
166,0.42771
167,0.42515
168,0.42262
169,0.42012
170,0.41765
171,0.42105
172,0.42442
173,0.42775
174,0.43103
175,0.42857
176,0.42614
177,0.42938
178,0.42697
179,0.42458
180,0.42222
181,0.41989
182,0.41758
183,0.4153
184,0.41848
185,0.42162
186,0.41935
187,0.41711
188,0.41489
189,0.41799
190,0.42105
191,0.42408
192,0.42188
193,0.41969
194,0.41753
195,0.41538
196,0.41327
197,0.41117
198,0.40909
199,0.40704
200,0.405
201,0.40796
202,0.41089
203,0.40887
204,0.40686
205,0.40488
206,0.40291
207,0.40097
208,0.40385
209,0.40191
210,0.40476
211,0.40284
212,0.40566
213,0.40845
214,0.40654
