games_played,res_win_ratio
1,0.0
2,0.0
3,0.33333
4,0.25
5,0.2
6,0.16667
7,0.28571
8,0.375
9,0.33333
10,0.3
11,0.27273
12,0.33333
13,0.30769
14,0.28571
15,0.26667
16,0.25
17,0.29412
18,0.27778
19,0.31579
20,0.3
21,0.28571
22,0.27273
23,0.26087
24,0.25
25,0.28
26,0.26923
27,0.25926
28,0.25
29,0.27586
30,0.26667
31,0.25806
32,0.25
33,0.24242
34,0.26471
35,0.28571
36,0.30556
37,0.2973
38,0.31579
39,0.30769
40,0.3
41,0.29268
42,0.28571
43,0.30233
44,0.29545
45,0.28889
46,0.30435
47,0.29787
48,0.29167
49,0.30612
50,0.3
51,0.29412
52,0.30769
53,0.30189
54,0.2963
55,0.29091
56,0.28571
57,0.29825
58,0.31034
59,0.30508
60,0.3
61,0.31148
62,0.32258
63,0.33333
64,0.32812
65,0.32308
66,0.31818
67,0.32836
68,0.33824
69,0.34783
70,0.34286
71,0.33803
72,0.33333
73,0.34247
74,0.33784
75,0.34667
76,0.34211
77,0.33766
78,0.33333
79,0.34177
80,0.35
81,0.35802
82,0.35366
83,0.36145
84,0.36905
85,0.36471
86,0.36047
87,0.35632
88,0.35227
89,0.34831
90,0.34444
91,0.34066
92,0.34783
93,0.35484
94,0.3617
95,0.36842
96,0.375
97,0.37113
98,0.36735
99,0.36364
100,0.36
101,0.35644
102,0.36275
103,0.35922
104,0.35577
105,0.35238
106,0.34906
107,0.34579
108,0.34259
109,0.33945
110,0.34545
111,0.34234
112,0.33929
113,0.34513
114,0.35088
115,0.34783
116,0.34483
117,0.34188
118,0.33898
119,0.33613
120,0.33333
121,0.33058
122,0.32787
123,0.3252
124,0.32258
125,0.328
126,0.3254
127,0.32283
128,0.32031
129,0.31783
130,0.32308
131,0.32061
132,0.31818
133,0.31579
134,0.31343
135,0.31111
136,0.31618
137,0.32117
138,0.31884
139,0.32374
140,0.32143
141,0.31915
142,0.32394
143,0.32867
144,0.32639
145,0.32414
146,0.32877
147,0.32653
148,0.32432
149,0.32215
150,0.32
151,0.31788
152,0.31579
153,0.32026
154,0.31818
155,0.31613
156,0.3141
157,0.3121
158,0.31013
159,0.31447
160,0.3125
161,0.31056
162,0.30864
163,0.30675
164,0.30488
165,0.30303
166,0.3012
167,0.2994
168,0.29762
169,0.29586
170,0.29412
171,0.2924
172,0.2907
173,0.28902
174,0.2931
175,0.29143
176,0.28977
177,0.28814
178,0.28652
179,0.28492
180,0.28333
181,0.28177
182,0.28022
183,0.27869
184,0.27717
185,0.27568
186,0.27419
187,0.27273
188,0.27128
189,0.26984
190,0.26842
191,0.26702
192,0.26562
193,0.26425
194,0.26804
195,0.27179
196,0.27041
197,0.26904
198,0.26768
199,0.26633
200,0.265
201,0.26866
202,0.26733
203,0.26601
204,0.26961
205,0.27317
206,0.27184
207,0.27053
208,0.26923
209,0.26794
210,0.26667
211,0.2654
212,0.26415
213,0.26291
214,0.26636
