games_played,spy_win_ratio
1,0.0
2,0.0
3,0.33333
4,0.5
5,0.6
6,0.5
7,0.42857
8,0.375
9,0.33333
10,0.3
11,0.27273
12,0.33333
13,0.38462
14,0.35714
15,0.4
16,0.4375
17,0.47059
18,0.5
19,0.47368
20,0.45
21,0.42857
22,0.45455
23,0.43478
24,0.45833
25,0.44
26,0.46154
27,0.44444
28,0.46429
29,0.44828
30,0.43333
31,0.45161
32,0.46875
33,0.48485
34,0.5
35,0.48571
36,0.47222
37,0.45946
38,0.47368
39,0.48718
40,0.5
41,0.4878
42,0.5
43,0.48837
44,0.47727
45,0.48889
46,0.5
47,0.48936
48,0.47917
49,0.4898
50,0.5
51,0.5098
52,0.51923
53,0.5283
54,0.53704
55,0.54545
56,0.55357
57,0.5614
58,0.55172
59,0.54237
60,0.53333
61,0.52459
62,0.53226
63,0.53968
64,0.53125
65,0.52308
66,0.5303
67,0.52239
68,0.51471
69,0.50725
70,0.51429
71,0.52113
72,0.52778
73,0.52055
74,0.52703
75,0.53333
76,0.52632
77,0.53247
78,0.52564
79,0.51899
80,0.5125
81,0.51852
82,0.52439
83,0.51807
84,0.5119
85,0.50588
86,0.51163
87,0.51724
88,0.52273
89,0.52809
90,0.52222
91,0.52747
92,0.52174
93,0.52688
94,0.52128
95,0.51579
96,0.52083
97,0.52577
98,0.53061
99,0.53535
100,0.54
101,0.53465
102,0.53922
103,0.54369
104,0.53846
105,0.54286
106,0.53774
107,0.54206
108,0.5463
109,0.54128
110,0.54545
111,0.54054
112,0.54464
113,0.54867
114,0.54386
115,0.54783
116,0.55172
117,0.54701
118,0.55085
119,0.55462
120,0.55833
121,0.55372
122,0.54918
123,0.55285
124,0.55645
125,0.56
126,0.56349
127,0.55906
128,0.55469
129,0.55814
130,0.55385
131,0.54962
132,0.55303
133,0.54887
134,0.54478
135,0.54074
136,0.53676
137,0.53285
138,0.53623
139,0.53957
140,0.54286
141,0.5461
142,0.5493
143,0.55245
144,0.55556
145,0.55862
146,0.56164
147,0.55782
148,0.56081
149,0.55705
150,0.55333
151,0.54967
152,0.55263
153,0.55556
154,0.55844
155,0.55484
156,0.55769
157,0.56051
158,0.56329
159,0.56604
160,0.56875
161,0.57143
162,0.57407
163,0.57669
164,0.57927
165,0.57576
166,0.57831
167,0.58084
168,0.58333
169,0.5858
170,0.58824
171,0.5848
172,0.58721
173,0.58382
174,0.58621
175,0.58857
176,0.59091
177,0.59322
178,0.59551
179,0.59218
180,0.59444
181,0.59116
182,0.59341
183,0.59016
184,0.59239
185,0.59459
186,0.5914
187,0.59358
188,0.59574
189,0.59788
190,0.59474
191,0.59162
192,0.59375
193,0.59585
194,0.59794
195,0.59487
196,0.59694
197,0.59898
198,0.60101
199,0.59799
200,0.595
201,0.59701
202,0.59406
203,0.59113
204,0.59314
205,0.59512
206,0.59709
207,0.5942
208,0.59615
209,0.5933
210,0.59048
211,0.59242
212,0.59434
213,0.59624
214,0.59813
