games_played,win_ratio
1,0.0
2,0.0
3,0.33333
4,0.25
5,0.2
6,0.16667
7,0.28571
8,0.25
9,0.22222
10,0.3
11,0.27273
12,0.25
13,0.23077
14,0.21429
15,0.2
16,0.1875
17,0.23529
18,0.27778
19,0.26316
20,0.3
21,0.33333
22,0.31818
23,0.30435
24,0.29167
25,0.32
26,0.30769
27,0.33333
28,0.35714
29,0.34483
30,0.33333
31,0.35484
32,0.34375
33,0.33333
34,0.32353
35,0.34286
36,0.36111
37,0.37838
38,0.39474
39,0.38462
40,0.4
41,0.41463
42,0.40476
43,0.4186
44,0.40909
45,0.4
46,0.41304
47,0.42553
48,0.41667
49,0.42857
50,0.44
51,0.43137
52,0.42308
53,0.43396
54,0.44444
55,0.45455
56,0.44643
57,0.45614
58,0.46552
59,0.47458
60,0.46667
61,0.47541
62,0.48387
63,0.47619
64,0.46875
65,0.46154
66,0.4697
67,0.46269
68,0.47059
69,0.46377
70,0.47143
71,0.46479
72,0.47222
73,0.46575
74,0.45946
75,0.45333
76,0.44737
77,0.45455
78,0.46154
79,0.4557
80,0.4625
81,0.45679
82,0.46341
83,0.45783
84,0.45238
85,0.44706
86,0.45349
87,0.44828
88,0.45455
89,0.46067
90,0.46667
91,0.47253
92,0.46739
93,0.47312
94,0.46809
95,0.47368
96,0.47917
97,0.47423
98,0.47959
99,0.47475
100,0.47
101,0.46535
102,0.47059
103,0.47573
104,0.48077
105,0.47619
106,0.48113
107,0.48598
108,0.49074
109,0.49541
110,0.5
111,0.4955
112,0.5
113,0.49558
114,0.49123
115,0.48696
116,0.49138
117,0.48718
118,0.48305
119,0.48739
120,0.48333
121,0.4876
122,0.4918
123,0.4878
124,0.48387
125,0.488
126,0.48413
127,0.48031
128,0.47656
129,0.48062
130,0.47692
131,0.48092
132,0.48485
133,0.4812
134,0.48507
135,0.48889
136,0.48529
137,0.48175
138,0.48551
139,0.48921
140,0.49286
141,0.48936
142,0.49296
143,0.4965
144,0.49306
145,0.48966
146,0.4863
147,0.4898
148,0.48649
149,0.48322
150,0.48
151,0.48344
152,0.48684
153,0.48366
154,0.48052
155,0.48387
156,0.48077
157,0.48408
158,0.48101
159,0.47799
160,0.475
161,0.47205
162,0.46914
163,0.47239
164,0.47561
165,0.47273
166,0.46988
167,0.46707
168,0.47024
169,0.46746
170,0.46471
171,0.46784
172,0.47093
173,0.46821
174,0.46552
175,0.46286
176,0.46023
177,0.45763
178,0.45506
179,0.4581
180,0.46111
181,0.46409
182,0.46703
183,0.46995
184,0.47283
185,0.47027
186,0.47312
187,0.47594
188,0.47872
189,0.47619
190,0.47368
191,0.4712
192,0.47396
193,0.47668
194,0.47423
195,0.47692
196,0.47449
197,0.47208
198,0.47475
199,0.47236
200,0.475
201,0.47264
202,0.4703
203,0.46798
204,0.47059
205,0.47317
206,0.47087
207,0.4686
208,0.47115
209,0.47368
210,0.47143
211,0.47393
212,0.4717
213,0.46948
214,0.46729
