games_played,res_win_ratio
1,0.0
2,0.0
3,0.0
4,0.0
5,0.2
6,0.16667
7,0.14286
8,0.125
9,0.11111
10,0.1
11,0.09091
12,0.16667
13,0.15385
14,0.14286
15,0.13333
16,0.125
17,0.17647
18,0.16667
19,0.21053
20,0.2
21,0.19048
22,0.22727
23,0.21739
24,0.20833
25,0.24
26,0.26923
27,0.25926
28,0.28571
29,0.27586
30,0.26667
31,0.29032
32,0.28125
33,0.30303
34,0.29412
35,0.28571
36,0.30556
37,0.2973
38,0.28947
39,0.30769
40,0.3
41,0.29268
42,0.28571
43,0.27907
44,0.29545
45,0.28889
46,0.30435
47,0.31915
48,0.3125
49,0.30612
50,0.3
51,0.31373
52,0.30769
53,0.30189
54,0.2963
55,0.29091
56,0.30357
57,0.29825
58,0.31034
59,0.32203
60,0.31667
61,0.31148
62,0.32258
63,0.33333
64,0.34375
65,0.33846
66,0.33333
67,0.34328
68,0.33824
69,0.33333
70,0.34286
71,0.35211
72,0.34722
73,0.35616
74,0.35135
75,0.34667
76,0.34211
77,0.33766
78,0.33333
79,0.34177
80,0.35
81,0.35802
82,0.36585
83,0.36145
84,0.35714
85,0.35294
86,0.34884
87,0.35632
88,0.35227
89,0.34831
90,0.35556
91,0.35165
92,0.34783
93,0.35484
94,0.35106
95,0.34737
96,0.34375
97,0.34021
98,0.34694
99,0.34343
100,0.34
101,0.34653
102,0.34314
103,0.34951
104,0.34615
105,0.34286
106,0.33962
107,0.33645
108,0.33333
109,0.33945
110,0.34545
111,0.35135
112,0.34821
113,0.34513
114,0.34211
115,0.34783
116,0.34483
117,0.34188
118,0.33898
119,0.34454
120,0.34167
121,0.33884
122,0.33607
123,0.34146
124,0.33871
125,0.344
126,0.34921
127,0.34646
128,0.34375
129,0.34109
130,0.33846
131,0.33588
132,0.33333
133,0.33083
134,0.32836
135,0.32593
136,0.32353
137,0.32117
138,0.31884
139,0.31655
140,0.32143
141,0.31915
142,0.3169
143,0.32168
144,0.31944
145,0.31724
146,0.31507
147,0.31293
148,0.31081
149,0.31544
150,0.31333
151,0.31126
152,0.30921
153,0.31373
154,0.31169
155,0.30968
156,0.30769
157,0.30573
158,0.3038
159,0.30818
160,0.30625
161,0.30435
162,0.30864
163,0.31288
164,0.31098
165,0.30909
166,0.31325
167,0.31138
168,0.30952
169,0.30769
170,0.30588
171,0.30994
172,0.31395
173,0.31214
174,0.31034
175,0.31429
176,0.31818
177,0.32203
178,0.32022
179,0.31844
180,0.31667
181,0.32044
182,0.31868
183,0.3224
184,0.32065
185,0.31892
186,0.32258
187,0.32086
188,0.32447
189,0.32275
190,0.32105
191,0.32461
192,0.32292
193,0.32124
194,0.31959
195,0.32308
196,0.32653
197,0.32995
198,0.32828
199,0.32663
200,0.33
201,0.32836
202,0.32673
203,0.32512
204,0.32843
205,0.32683
206,0.32524
207,0.32367
208,0.32692
209,0.32536
210,0.32381
211,0.32701
212,0.32547
213,0.32864
