games_played,spy_win_ratio
1,1.0
2,0.5
3,0.66667
4,0.5
5,0.4
6,0.5
7,0.57143
8,0.625
9,0.66667
10,0.6
11,0.63636
12,0.66667
13,0.69231
14,0.71429
15,0.66667
16,0.6875
17,0.70588
18,0.72222
19,0.73684
20,0.75
21,0.7619
22,0.77273
23,0.78261
24,0.79167
25,0.76
26,0.73077
27,0.74074
28,0.75
29,0.75862
30,0.73333
31,0.70968
32,0.71875
33,0.72727
34,0.73529
35,0.74286
36,0.72222
37,0.72973
38,0.71053
39,0.71795
40,0.7
41,0.70732
42,0.71429
43,0.69767
44,0.70455
45,0.71111
46,0.71739
47,0.7234
48,0.70833
49,0.69388
50,0.7
51,0.68627
52,0.67308
53,0.67925
54,0.68519
55,0.69091
56,0.67857
57,0.66667
58,0.67241
59,0.67797
60,0.68333
61,0.67213
62,0.67742
63,0.66667
64,0.67188
65,0.66154
66,0.66667
67,0.65672
68,0.64706
69,0.65217
70,0.64286
71,0.64789
72,0.65278
73,0.65753
74,0.64865
75,0.65333
76,0.65789
77,0.66234
78,0.66667
79,0.65823
80,0.6625
81,0.66667
82,0.67073
83,0.66265
84,0.65476
85,0.65882
86,0.66279
87,0.66667
88,0.67045
89,0.67416
90,0.67778
91,0.67033
92,0.66304
93,0.66667
94,0.65957
95,0.65263
96,0.65625
97,0.64948
98,0.65306
99,0.65657
100,0.65
101,0.64356
102,0.63725
103,0.64078
104,0.63462
105,0.6381
106,0.64151
107,0.63551
108,0.62963
109,0.62385
110,0.62727
111,0.63063
112,0.625
113,0.62832
114,0.63158
115,0.63478
116,0.63793
117,0.63248
118,0.62712
119,0.62185
120,0.625
121,0.6281
122,0.62295
123,0.61789
124,0.6129
125,0.608
126,0.61111
127,0.6063
128,0.60156
129,0.60465
130,0.60769
131,0.61069
132,0.60606
133,0.60902
134,0.60448
135,0.60741
136,0.60294
137,0.60584
138,0.6087
139,0.61151
140,0.60714
141,0.60993
142,0.60563
143,0.60839
144,0.61111
145,0.61379
146,0.61644
147,0.61224
148,0.60811
149,0.61074
150,0.61333
151,0.60927
152,0.61184
153,0.60784
154,0.6039
155,0.6
156,0.60256
157,0.6051
158,0.60127
159,0.60377
160,0.60625
161,0.6087
162,0.61111
163,0.60736
164,0.60366
165,0.60606
166,0.60843
167,0.61078
168,0.60714
169,0.60355
170,0.60588
171,0.60819
172,0.61047
173,0.61272
174,0.6092
175,0.61143
176,0.60795
177,0.61017
178,0.61236
179,0.60894
180,0.61111
181,0.61326
182,0.61538
183,0.61749
184,0.61957
185,0.62162
186,0.61828
187,0.62032
188,0.61702
189,0.61905
190,0.61579
191,0.6178
192,0.61979
193,0.61658
194,0.6134
195,0.61538
196,0.61224
197,0.60914
198,0.61111
199,0.60804
200,0.61
201,0.60697
202,0.60891
203,0.60591
204,0.60784
205,0.60488
206,0.6068
207,0.6087
208,0.61058
209,0.60766
210,0.60952
211,0.60664
212,0.60849
213,0.61033
214,0.60748
215,0.60465
216,0.60648
217,0.60369
218,0.6055
219,0.60274
220,0.6
221,0.59729
222,0.59459
223,0.59641
224,0.59375
225,0.59556
226,0.59292
227,0.59031
228,0.59211
229,0.59389
230,0.59565
231,0.5974
232,0.59914
233,0.60086
234,0.60256
235,0.6
236,0.60169
237,0.60338
238,0.60084
239,0.59833
240,0.59583
241,0.59336
242,0.59504
243,0.59259
244,0.59016
245,0.58776
246,0.58943
247,0.59109
248,0.58871
249,0.59036
250,0.588
251,0.58964
252,0.59127
253,0.58893
254,0.59055
255,0.59216
256,0.59375
257,0.59533
258,0.5969
259,0.59459
260,0.59231
261,0.59387
262,0.59542
263,0.59696
264,0.59848
265,0.59623
266,0.59774
267,0.59551
268,0.59701
269,0.5948
270,0.5963
271,0.5941
272,0.59559
273,0.59707
274,0.59854
275,0.6
276,0.60145
277,0.59928
278,0.59712
279,0.59857
280,0.6
281,0.59786
282,0.59574
283,0.59717
284,0.59859
285,0.6
286,0.6014
287,0.60279
288,0.60417
289,0.60554
290,0.6069
291,0.60825
292,0.60616
293,0.6041
294,0.60204
295,0.6
296,0.59797
297,0.59933
298,0.60067
299,0.59866
300,0.6
301,0.60133
302,0.60265
303,0.60066
304,0.59868
305,0.59672
306,0.59804
307,0.59935
308,0.60065
309,0.60194
310,0.60323
311,0.6045
312,0.60256
313,0.60064
314,0.60191
315,0.60317
316,0.60443
317,0.60568
318,0.60692
319,0.60815
320,0.60938
321,0.61059
322,0.6118
323,0.613
324,0.61111
325,0.61231
326,0.6135
327,0.61162
328,0.6128
329,0.61094
330,0.61212
331,0.61329
332,0.61446
333,0.61261
334,0.61377
335,0.61493
336,0.6131
337,0.61424
338,0.61538
339,0.61357
340,0.61176
341,0.60997
342,0.60819
343,0.60641
344,0.60756
345,0.6087
346,0.60983
347,0.61095
348,0.6092
349,0.61032
350,0.61143
351,0.60969
352,0.60795
353,0.60907
354,0.61017
355,0.61127
356,0.61236
357,0.61345
358,0.61173
359,0.61281
360,0.61389
361,0.61219
362,0.61326
363,0.61433
364,0.61538
365,0.61644
366,0.61749
367,0.61853
368,0.61685
369,0.61789
370,0.61892
371,0.61995
372,0.61828
373,0.6193
374,0.62032
375,0.62133
