games_played,win_ratio
1,1.0
2,0.5
3,0.66667
4,0.75
5,0.6
6,0.5
7,0.42857
8,0.375
9,0.33333
10,0.3
11,0.27273
12,0.25
13,0.23077
14,0.28571
15,0.33333
16,0.3125
17,0.35294
18,0.38889
19,0.36842
20,0.4
21,0.42857
22,0.45455
23,0.47826
24,0.45833
25,0.48
26,0.46154
27,0.44444
28,0.42857
29,0.41379
30,0.4
31,0.41935
32,0.4375
33,0.45455
34,0.47059
35,0.45714
36,0.44444
37,0.45946
38,0.44737
39,0.46154
40,0.45
41,0.46341
42,0.45238
43,0.44186
44,0.43182
45,0.44444
46,0.45652
47,0.46809
48,0.45833
49,0.46939
50,0.46
51,0.47059
52,0.48077
53,0.49057
54,0.5
55,0.50909
56,0.5
57,0.50877
58,0.51724
59,0.52542
60,0.53333
61,0.52459
62,0.51613
63,0.50794
64,0.5
65,0.50769
66,0.5
67,0.49254
68,0.48529
69,0.47826
70,0.47143
71,0.47887
72,0.48611
73,0.47945
74,0.47297
75,0.46667
76,0.46053
77,0.45455
78,0.44872
79,0.44304
80,0.4375
81,0.4321
82,0.42683
83,0.43373
84,0.44048
85,0.44706
86,0.45349
87,0.44828
88,0.44318
89,0.4382
90,0.44444
91,0.45055
92,0.44565
93,0.45161
94,0.45745
95,0.45263
96,0.45833
97,0.46392
98,0.45918
99,0.46465
100,0.46
101,0.46535
102,0.46078
103,0.46602
104,0.46154
105,0.46667
106,0.4717
107,0.46729
108,0.46296
109,0.45872
110,0.45455
111,0.45045
112,0.44643
113,0.44248
114,0.44737
115,0.45217
116,0.44828
117,0.45299
118,0.44915
119,0.44538
120,0.45
121,0.44628
122,0.44262
123,0.43902
124,0.44355
125,0.448
126,0.44444
127,0.44882
128,0.44531
129,0.44961
130,0.44615
131,0.44275
132,0.43939
133,0.43609
134,0.43284
135,0.42963
136,0.42647
137,0.43066
138,0.42754
139,0.43165
140,0.42857
141,0.43262
142,0.42958
143,0.43357
144,0.43056
145,0.42759
146,0.42466
147,0.42177
148,0.42568
149,0.42953
150,0.43333
151,0.43046
152,0.42763
153,0.43137
154,0.43506
155,0.43226
156,0.4359
157,0.43312
158,0.43038
159,0.42767
160,0.425
161,0.42236
162,0.42593
163,0.42945
164,0.43293
165,0.4303
166,0.43373
167,0.43713
168,0.44048
169,0.43787
170,0.43529
171,0.4386
172,0.43605
173,0.43353
174,0.43678
175,0.43429
176,0.43182
177,0.42938
178,0.42697
179,0.42458
180,0.42222
181,0.41989
182,0.41758
183,0.4153
184,0.41304
185,0.41081
186,0.4086
187,0.40642
188,0.40426
189,0.40741
190,0.40526
191,0.40314
192,0.40104
193,0.40415
194,0.40206
195,0.4
196,0.40306
197,0.40609
198,0.40404
199,0.40201
200,0.405
201,0.40299
202,0.40099
203,0.39901
204,0.40196
205,0.40488
206,0.40291
207,0.4058
208,0.40385
209,0.40191
210,0.4
211,0.40284
212,0.40566
213,0.40376
214,0.40187
215,0.4
216,0.40278
217,0.40092
218,0.39908
219,0.39726
220,0.39545
221,0.39819
222,0.3964
223,0.3991
224,0.40179
225,0.4
226,0.40265
227,0.40088
228,0.40351
229,0.40175
230,0.40435
231,0.40693
232,0.40948
233,0.40773
234,0.41026
235,0.41277
236,0.41525
237,0.4135
238,0.41176
239,0.41004
240,0.40833
241,0.40664
242,0.40496
243,0.40329
244,0.40574
245,0.40816
246,0.4065
247,0.40486
248,0.40323
249,0.40161
250,0.4
251,0.39841
252,0.40079
253,0.39921
254,0.39764
255,0.4
256,0.40234
257,0.40467
258,0.40698
259,0.40927
260,0.40769
261,0.40613
262,0.4084
263,0.41065
264,0.40909
265,0.41132
266,0.40977
267,0.40824
268,0.40672
269,0.40892
270,0.40741
271,0.4059
272,0.40441
273,0.40293
274,0.40511
275,0.40364
276,0.4058
277,0.40794
278,0.40647
279,0.4086
280,0.41071
281,0.41281
282,0.41135
283,0.40989
284,0.40845
285,0.41053
286,0.40909
287,0.40767
288,0.40625
289,0.40484
290,0.40345
291,0.40206
292,0.40068
293,0.40273
294,0.40136
295,0.4
296,0.39865
297,0.40067
298,0.39933
299,0.39799
300,0.4
301,0.40199
302,0.40397
303,0.40264
304,0.40461
305,0.40328
306,0.40196
307,0.40065
308,0.39935
309,0.40129
310,0.40323
311,0.40514
312,0.40705
313,0.40575
314,0.40446
315,0.40317
316,0.40506
317,0.40694
318,0.40881
319,0.41066
320,0.40937
321,0.41121
322,0.40994
323,0.40867
324,0.41049
325,0.40923
326,0.41104
327,0.40979
328,0.41159
329,0.41033
330,0.41212
331,0.41088
332,0.41265
333,0.41441
334,0.41317
335,0.41194
336,0.41369
337,0.41543
338,0.41716
339,0.41888
340,0.41765
341,0.41935
342,0.41813
343,0.41983
344,0.42151
345,0.42319
346,0.42197
347,0.42363
348,0.42529
349,0.42693
350,0.42571
351,0.4245
352,0.4233
353,0.4221
354,0.4209
355,0.41972
356,0.41854
357,0.41737
358,0.41899
359,0.41783
360,0.41944
361,0.42105
362,0.41989
363,0.41873
364,0.42033
365,0.42192
366,0.42077
367,0.42234
368,0.4212
369,0.42005
370,0.41892
371,0.42049
372,0.41935
373,0.42091
374,0.41979
375,0.41867
376,0.42021
377,0.42175
378,0.42063
379,0.42216
380,0.42105
381,0.41995
382,0.41885
383,0.41775
384,0.41927
385,0.42078
386,0.41969
387,0.42119
388,0.4201
389,0.41902
390,0.42051
