games_played,res_win_ratio
1,0.0
2,0.5
3,0.33333
4,0.25
5,0.2
6,0.16667
7,0.14286
8,0.125
9,0.22222
10,0.2
11,0.27273
12,0.33333
13,0.30769
14,0.35714
15,0.4
16,0.375
17,0.41176
18,0.38889
19,0.36842
20,0.35
21,0.33333
22,0.36364
23,0.3913
24,0.41667
25,0.4
26,0.38462
27,0.37037
28,0.39286
29,0.37931
30,0.36667
31,0.3871
32,0.40625
33,0.39394
34,0.38235
35,0.4
36,0.41667
37,0.40541
38,0.42105
39,0.41026
40,0.425
41,0.41463
42,0.40476
43,0.39535
44,0.38636
45,0.37778
46,0.36957
47,0.3617
48,0.35417
49,0.34694
50,0.34
51,0.33333
52,0.32692
53,0.33962
54,0.35185
55,0.34545
56,0.33929
57,0.35088
58,0.36207
59,0.35593
60,0.36667
61,0.36066
62,0.37097
63,0.36508
64,0.375
65,0.36923
66,0.37879
67,0.37313
68,0.36765
69,0.37681
70,0.38571
71,0.38028
72,0.375
73,0.36986
74,0.36486
75,0.36
76,0.35526
77,0.35065
78,0.34615
79,0.34177
80,0.3375
81,0.34568
82,0.34146
83,0.33735
84,0.33333
85,0.32941
86,0.32558
87,0.32184
88,0.31818
89,0.31461
90,0.32222
91,0.31868
92,0.31522
93,0.31183
94,0.30851
95,0.30526
96,0.30208
97,0.30928
98,0.30612
99,0.30303
100,0.3
101,0.29703
102,0.29412
103,0.29126
104,0.28846
105,0.29524
106,0.30189
107,0.29907
108,0.2963
109,0.29358
110,0.3
111,0.2973
112,0.29464
113,0.29204
114,0.28947
115,0.28696
116,0.28448
117,0.28205
118,0.27966
119,0.27731
120,0.275
121,0.27273
122,0.27869
123,0.27642
124,0.27419
125,0.272
126,0.26984
127,0.27559
128,0.27344
129,0.27132
130,0.26923
131,0.27481
132,0.27273
133,0.2782
134,0.27612
135,0.27407
136,0.27206
137,0.27007
138,0.26812
139,0.26619
140,0.26429
141,0.26241
142,0.26056
143,0.25874
144,0.26389
145,0.26207
146,0.26027
147,0.26531
148,0.27027
149,0.26846
150,0.27333
151,0.27152
152,0.26974
153,0.26797
154,0.26623
155,0.26452
156,0.26923
157,0.26752
158,0.26582
159,0.26415
160,0.2625
161,0.26708
162,0.2716
163,0.27607
164,0.27439
165,0.27879
166,0.27711
167,0.27545
168,0.27976
169,0.27811
170,0.27647
171,0.2807
172,0.27907
173,0.28324
174,0.28161
175,0.28
176,0.27841
177,0.27684
178,0.27528
179,0.27374
180,0.27222
181,0.27072
182,0.26923
183,0.26776
184,0.2663
185,0.26486
186,0.26882
187,0.26738
188,0.26596
189,0.26455
190,0.26316
191,0.26178
192,0.26042
193,0.26425
194,0.26804
195,0.26667
196,0.26531
197,0.26396
198,0.26768
199,0.27136
200,0.27
201,0.27363
202,0.27228
203,0.27094
204,0.27451
205,0.27317
206,0.2767
207,0.28019
208,0.28365
209,0.2823
210,0.28095
211,0.28436
212,0.28302
213,0.28169
214,0.28037
215,0.27907
216,0.27778
217,0.2765
218,0.27523
219,0.27397
220,0.27273
221,0.27149
222,0.27027
223,0.26906
224,0.26786
225,0.27111
226,0.27434
227,0.27313
228,0.27193
229,0.27511
230,0.27391
231,0.27273
232,0.27155
233,0.27039
234,0.2735
235,0.27234
236,0.27119
237,0.27426
238,0.27311
239,0.27615
240,0.275
241,0.27801
242,0.28099
243,0.28395
244,0.28279
245,0.28163
246,0.28049
247,0.27935
248,0.28226
249,0.28112
250,0.28
251,0.27888
252,0.27778
253,0.27668
254,0.27953
255,0.27843
256,0.27734
257,0.27626
258,0.27519
259,0.27413
260,0.27692
261,0.27586
262,0.27481
263,0.27757
264,0.27652
265,0.27547
266,0.27444
267,0.27341
268,0.27239
269,0.27509
270,0.27407
271,0.27675
272,0.27941
273,0.27839
274,0.27737
275,0.27636
276,0.27899
277,0.27798
278,0.28058
279,0.27957
280,0.28214
281,0.2847
282,0.28369
283,0.28269
284,0.28169
285,0.28421
286,0.28322
287,0.28223
288,0.28472
289,0.2872
290,0.28621
291,0.28522
292,0.28425
293,0.28328
294,0.28231
295,0.28136
296,0.28378
297,0.28283
298,0.28188
299,0.28094
300,0.28
301,0.27907
302,0.27815
303,0.27723
304,0.27632
305,0.27869
306,0.27778
307,0.27687
308,0.27597
309,0.27832
310,0.27742
311,0.27653
312,0.27564
313,0.27796
314,0.27707
315,0.27937
316,0.27848
317,0.2776
318,0.27673
319,0.27586
320,0.275
321,0.27414
322,0.27329
323,0.27554
324,0.27469
325,0.27692
326,0.27914
327,0.27829
328,0.27744
329,0.2766
330,0.27879
331,0.28097
332,0.28313
333,0.28529
334,0.28743
335,0.28657
336,0.28869
337,0.28783
338,0.28698
339,0.28909
340,0.28824
341,0.28739
342,0.28655
343,0.28571
344,0.28488
345,0.28406
346,0.28324
347,0.28242
348,0.28161
349,0.2808
350,0.28
351,0.28205
352,0.28409
353,0.28612
354,0.28531
355,0.28732
356,0.28933
357,0.28852
358,0.28771
359,0.28691
360,0.28611
361,0.28532
362,0.28729
363,0.28926
364,0.28846
365,0.28767
366,0.28689
367,0.28883
368,0.28804
369,0.28726
370,0.28649
371,0.28841
372,0.28763
373,0.28686
374,0.2861
375,0.28533
376,0.28723
377,0.28647
378,0.28571
379,0.28496
380,0.28421
381,0.28346
382,0.28272
383,0.28198
384,0.28125
385,0.28052
386,0.27979
387,0.28165
388,0.28093
389,0.28021
390,0.27949
391,0.28133
392,0.28061
393,0.28244
394,0.28173
395,0.28101
396,0.2803
397,0.2796
398,0.28141
399,0.2807
400,0.28
401,0.2793
402,0.27861
403,0.27792
404,0.27723
405,0.27654
406,0.27586
407,0.27518
408,0.27451
409,0.27384
410,0.27317
411,0.27251
412,0.27184
413,0.27119
414,0.27295
415,0.2747
416,0.27404
417,0.27338
418,0.27273
419,0.27208
420,0.27143
421,0.27078
422,0.27014
423,0.27187
424,0.27123
425,0.27059
426,0.26995
427,0.26932
428,0.26869
429,0.26807
430,0.26744
431,0.26682
432,0.26852
433,0.2679
434,0.26959
435,0.26897
436,0.26835
437,0.26773
438,0.26712
439,0.26651
440,0.26591
441,0.26531
442,0.26471
443,0.26411
444,0.26351
445,0.26292
446,0.26457
447,0.26398
448,0.26339
449,0.26281
450,0.26222
451,0.26164
452,0.26106
453,0.26049
454,0.26211
455,0.26154
456,0.26096
457,0.26039
458,0.25983
459,0.25926
460,0.26087
461,0.2603
462,0.2619
463,0.2635
464,0.26293
465,0.26452
466,0.26395
467,0.26338
468,0.26282
469,0.26226
470,0.2617
471,0.26115
472,0.26059
473,0.26004
474,0.25949
475,0.25895
476,0.2584
477,0.25786
478,0.25941
479,0.26096
480,0.26042
481,0.25988
482,0.25934
483,0.2588
484,0.26033
485,0.25979
486,0.25926
487,0.25873
488,0.2582
489,0.25767
490,0.25714
491,0.25662
492,0.2561
493,0.25558
494,0.25506
495,0.25455
496,0.25403
497,0.25352
498,0.25502
499,0.25651
500,0.256
501,0.25549
502,0.25498
503,0.25447
504,0.25595
505,0.25545
506,0.25692
507,0.25641
508,0.25787
509,0.25737
510,0.25686
511,0.25636
512,0.25781
513,0.25926
514,0.25875
515,0.25825
516,0.25775
517,0.25725
518,0.25676
519,0.25626
520,0.25577
521,0.25528
522,0.2567
523,0.25621
524,0.25763
525,0.25905
526,0.25856
527,0.25806
528,0.25947
529,0.25898
530,0.25849
531,0.258
532,0.25752
533,0.25891
534,0.25843
535,0.25981
536,0.25933
537,0.26071
538,0.26208
539,0.2616
540,0.26111
541,0.26063
542,0.26015
543,0.25967
544,0.25919
545,0.25872
546,0.25824
547,0.25777
548,0.2573
549,0.25683
550,0.25636
551,0.2559
552,0.25543
553,0.25678
554,0.25632
555,0.25766
556,0.25719
557,0.25673
558,0.25627
559,0.25581
560,0.25536
561,0.2549
562,0.25445
563,0.254
564,0.25355
565,0.2531
566,0.25265
567,0.2522
568,0.25176
569,0.25132
570,0.25263
571,0.25394
572,0.2535
573,0.25305
574,0.25261
575,0.25391
576,0.25347
577,0.25477
578,0.25433
579,0.25389
580,0.25517
581,0.25473
582,0.2543
583,0.25557
584,0.25685
585,0.25812
586,0.25939
587,0.26065
588,0.2602
589,0.26146
590,0.26271
591,0.26396
592,0.26351
593,0.26307
594,0.26263
595,0.26218
596,0.26174
597,0.26131
598,0.26254
599,0.26377
600,0.26333
601,0.2629
602,0.26246
603,0.26202
604,0.26159
605,0.26116
606,0.26238
607,0.26194
608,0.26151
609,0.26273
610,0.2623
611,0.26187
612,0.26307
613,0.26264
614,0.26221
615,0.26179
616,0.26136
617,0.26094
618,0.26052
619,0.2601
620,0.26129
621,0.26087
622,0.26045
623,0.26003
624,0.26122
625,0.2608
626,0.26038
627,0.25997
628,0.25955
629,0.25914
630,0.26032
631,0.26149
632,0.26108
633,0.26066
634,0.26025
635,0.25984
636,0.25943
637,0.2606
638,0.26019
639,0.26135
640,0.2625
641,0.26209
642,0.26168
643,0.26128
644,0.26242
645,0.26202
646,0.26161
647,0.26275
648,0.26235
649,0.26194
650,0.26154
651,0.26114
652,0.26227
653,0.26187
654,0.26147
655,0.2626
656,0.2622
657,0.2618
658,0.2614
659,0.261
660,0.26061
661,0.26021
662,0.25982
663,0.25943
664,0.26054
665,0.26015
666,0.25976
667,0.25937
668,0.25898
669,0.26009
670,0.2597
671,0.2608
672,0.26042
673,0.26003
674,0.25964
675,0.26074
676,0.26183
677,0.26292
678,0.26254
679,0.26362
680,0.26471
681,0.26432
682,0.26393
683,0.26354
684,0.26316
685,0.26277
686,0.26239
687,0.26201
688,0.26163
689,0.26125
690,0.26087
691,0.26049
692,0.26156
693,0.26118
694,0.26081
695,0.26187
696,0.26149
697,0.26255
698,0.26218
699,0.26323
700,0.26286
701,0.26248
702,0.26353
703,0.26316
704,0.26278
705,0.26241
706,0.26204
707,0.26308
708,0.26271
709,0.26375
710,0.26338
711,0.26301
712,0.26264
713,0.26227
714,0.26331
715,0.26294
716,0.26397
717,0.2636
718,0.26462
719,0.26426
720,0.26389
721,0.26352
722,0.26316
723,0.26279
724,0.26381
725,0.26345
726,0.26309
727,0.26272
728,0.26236
729,0.262
730,0.26164
731,0.26129
732,0.2623
733,0.26194
734,0.26158
735,0.26122
736,0.26087
737,0.26187
738,0.26152
739,0.26116
740,0.26081
741,0.26181
742,0.26146
743,0.26245
744,0.2621
745,0.26174
746,0.26139
747,0.26104
748,0.26203
749,0.26168
750,0.26133
751,0.26232
752,0.2633
753,0.26295
754,0.2626
755,0.26358
756,0.26323
757,0.2642
758,0.26385
759,0.2635
760,0.26316
761,0.26413
762,0.26378
763,0.26343
764,0.26309
765,0.26275
766,0.2624
767,0.26336
768,0.26302
769,0.26268
770,0.26234
771,0.262
772,0.26166
773,0.26132
774,0.26227
775,0.26194
776,0.2616
777,0.26126
778,0.26221
779,0.26187
780,0.26282
781,0.26248
782,0.26343
783,0.26309
784,0.26403
785,0.26369
786,0.26463
787,0.26429
788,0.26396
789,0.26362
790,0.26456
791,0.26549
792,0.26515
793,0.26482
794,0.26448
795,0.26415
796,0.26382
797,0.26474
798,0.26566
799,0.26533
800,0.26625
801,0.26717
802,0.26808
803,0.26775
804,0.26741
805,0.26708
806,0.26799
807,0.26766
808,0.26856
809,0.26823
810,0.2679
811,0.2688
812,0.2697
813,0.26937
814,0.27027
815,0.26994
816,0.27083
817,0.27173
818,0.27262
819,0.27228
820,0.27195
821,0.27284
822,0.27251
823,0.27339
824,0.27306
825,0.27273
826,0.27361
827,0.27449
828,0.27415
829,0.27382
830,0.27349
831,0.27316
832,0.27284
833,0.27371
834,0.27338
835,0.27305
836,0.27392
837,0.2736
838,0.27327
839,0.27294
840,0.27262
841,0.27229
842,0.27197
843,0.27284
844,0.27251
845,0.27337
846,0.27305
847,0.27391
848,0.27358
849,0.27326
850,0.27294
851,0.27262
852,0.2723
853,0.27198
854,0.27166
855,0.27135
856,0.27103
857,0.27188
858,0.27156
859,0.27241
860,0.27326
861,0.27294
862,0.27262
863,0.27231
864,0.27199
865,0.27168
866,0.27136
867,0.27105
868,0.27189
869,0.27158
870,0.27241
871,0.2721
872,0.27179
873,0.27148
874,0.27117
875,0.272
876,0.27169
877,0.27138
878,0.27221
879,0.2719
880,0.27273
881,0.27242
882,0.27211
883,0.2718
884,0.27149
885,0.27119
886,0.27201
887,0.27283
888,0.27252
889,0.27222
890,0.27191
891,0.2716
892,0.2713
893,0.27212
894,0.27181
895,0.27151
896,0.27121
897,0.2709
898,0.27171
899,0.27141
900,0.27111
901,0.27081
902,0.27051
903,0.27132
904,0.27102
905,0.27182
906,0.27152
907,0.27122
908,0.27093
909,0.27173
910,0.27143
911,0.27113
912,0.27083
913,0.27054
914,0.27024
915,0.26995
916,0.26965
917,0.27045
918,0.27015
919,0.26986
920,0.26957
921,0.27036
922,0.27007
923,0.27086
924,0.27165
925,0.27135
926,0.27106
927,0.27077
928,0.27047
929,0.27018
930,0.26989
931,0.2696
932,0.26931
933,0.26902
934,0.26981
935,0.26952
936,0.26923
937,0.26894
938,0.26972
939,0.26944
940,0.26915
941,0.26886
942,0.26858
943,0.26935
944,0.26907
945,0.26878
946,0.2685
947,0.26822
948,0.26793
949,0.26765
950,0.26737
951,0.26709
952,0.26786
953,0.26863
954,0.26834
955,0.26806
956,0.26883
957,0.26959
958,0.26931
959,0.26903
960,0.26875
961,0.26847
962,0.26923
963,0.26895
964,0.26867
965,0.26943
966,0.27019
967,0.26991
968,0.27066
969,0.27141
970,0.27216
971,0.27188
972,0.27263
973,0.27235
974,0.27207
975,0.27179
976,0.27254
977,0.27226
978,0.27198
979,0.27171
980,0.27143
981,0.27115
982,0.27088
983,0.27162
984,0.27236
985,0.2731
986,0.27282
987,0.27254
988,0.27227
989,0.27199
990,0.27273
991,0.27245
992,0.27218
993,0.2719
994,0.27163
995,0.27136
996,0.27108
997,0.27081
998,0.27154
999,0.27227
1000,0.273
1001,0.27273
1002,0.27246
1003,0.27318
1004,0.27291
1005,0.27264
1006,0.27237
1007,0.27309
1008,0.27282
1009,0.27255
1010,0.27327
1011,0.273
1012,0.27273
1013,0.27246
1014,0.27219
1015,0.27291
1016,0.27362
1017,0.27335
1018,0.27308
1019,0.27282
1020,0.27255
1021,0.27326
1022,0.27397
1023,0.27468
1024,0.27441
1025,0.27415
1026,0.27388
1027,0.27361
1028,0.27335
1029,0.27308
1030,0.27282
1031,0.27255
1032,0.27229
1033,0.27299
1034,0.27369
1035,0.27343
1036,0.27317
1037,0.2729
1038,0.27264
1039,0.27238
1040,0.27308
1041,0.27378
1042,0.27351
1043,0.27421
1044,0.27395
1045,0.27368
1046,0.27342
1047,0.27412
1048,0.27481
1049,0.2755
1050,0.27619
1051,0.27688
1052,0.27662
1053,0.27635
1054,0.27704
1055,0.27678
1056,0.27652
1057,0.27625
1058,0.27599
1059,0.27573
1060,0.27547
1061,0.27521
1062,0.27495
1063,0.27469
1064,0.27444
1065,0.27418
1066,0.27392
1067,0.27366
1068,0.27341
1069,0.27315
1070,0.2729
1071,0.27264
1072,0.27239
1073,0.27213
1074,0.27188
1075,0.27256
1076,0.2723
1077,0.27205
1078,0.2718
1079,0.27155
1080,0.2713
1081,0.27105
1082,0.27079
1083,0.27054
1084,0.2703
1085,0.27097
1086,0.27164
1087,0.27139
1088,0.27206
1089,0.27181
1090,0.27156
1091,0.27131
1092,0.27106
1093,0.27081
1094,0.27057
1095,0.27032
1096,0.27099
1097,0.27165
1098,0.2714
1099,0.27116
1100,0.27091
1101,0.27157
1102,0.27132
1103,0.27108
1104,0.27083
1105,0.27059
1106,0.27034
1107,0.2701
1108,0.27076
1109,0.27142
1110,0.27117
1111,0.27093
1112,0.27068
1113,0.27134
1114,0.2711
1115,0.27175
1116,0.2724
1117,0.27216
1118,0.27281
1119,0.27346
1120,0.27321
1121,0.27386
1122,0.27451
1123,0.27516
1124,0.27491
1125,0.27556
1126,0.27531
1127,0.27595
1128,0.27571
1129,0.27547
1130,0.27611
1131,0.27675
1132,0.2765
1133,0.27714
1134,0.2769
1135,0.27665
1136,0.27641
1137,0.27617
1138,0.2768
1139,0.27656
1140,0.27719
1141,0.27695
1142,0.27671
1143,0.27647
1144,0.27622
1145,0.27598
1146,0.27661
1147,0.27637
1148,0.277
1149,0.27676
1150,0.27739
1151,0.27715
1152,0.27778
1153,0.2784
1154,0.27816
1155,0.27792
1156,0.27768
1157,0.27744
