games_played,spy_win_ratio
1,1.0
2,1.0
3,0.66667
4,0.5
5,0.4
6,0.5
7,0.57143
8,0.625
9,0.55556
10,0.6
11,0.63636
12,0.66667
13,0.61538
14,0.57143
15,0.6
16,0.625
17,0.64706
18,0.66667
19,0.68421
20,0.7
21,0.71429
22,0.72727
23,0.69565
24,0.66667
25,0.64
26,0.61538
27,0.62963
28,0.64286
29,0.62069
30,0.6
31,0.6129
32,0.625
33,0.60606
34,0.61765
35,0.62857
36,0.63889
37,0.62162
38,0.63158
39,0.64103
40,0.65
41,0.63415
42,0.64286
43,0.62791
44,0.63636
45,0.64444
46,0.65217
47,0.6383
48,0.625
49,0.61224
50,0.62
51,0.62745
52,0.61538
53,0.62264
54,0.62963
55,0.63636
56,0.64286
57,0.64912
58,0.65517
59,0.66102
60,0.66667
61,0.67213
62,0.67742
63,0.68254
64,0.67188
65,0.66154
66,0.65152
67,0.64179
68,0.63235
69,0.62319
70,0.62857
71,0.61972
72,0.625
73,0.63014
74,0.63514
75,0.64
76,0.64474
77,0.63636
78,0.64103
79,0.64557
80,0.65
81,0.65432
82,0.65854
83,0.6506
84,0.65476
85,0.65882
86,0.66279
87,0.65517
88,0.64773
89,0.65169
90,0.64444
91,0.63736
92,0.63043
93,0.63441
94,0.62766
95,0.63158
96,0.63542
97,0.62887
98,0.63265
99,0.62626
100,0.63
101,0.62376
102,0.61765
103,0.61165
104,0.61538
105,0.61905
106,0.62264
107,0.62617
108,0.62037
109,0.62385
110,0.61818
111,0.62162
112,0.625
113,0.62832
114,0.63158
115,0.63478
116,0.62931
117,0.63248
118,0.63559
119,0.63866
120,0.64167
121,0.64463
122,0.63934
123,0.63415
124,0.62903
125,0.632
126,0.62698
127,0.62992
128,0.63281
129,0.63566
130,0.63846
131,0.64122
132,0.63636
133,0.6391
134,0.64179
135,0.63704
136,0.63971
137,0.64234
138,0.64493
139,0.64029
140,0.64286
141,0.64539
142,0.64789
143,0.64336
144,0.64583
145,0.64828
146,0.65068
147,0.64626
148,0.64865
149,0.65101
150,0.64667
151,0.64901
152,0.65132
153,0.64706
154,0.64286
155,0.64516
156,0.64744
157,0.64968
158,0.6519
159,0.6478
160,0.65
161,0.64596
162,0.64815
163,0.64417
164,0.64024
165,0.64242
166,0.63855
167,0.63473
168,0.6369
169,0.63314
170,0.63529
171,0.63158
172,0.63372
173,0.63584
174,0.63793
175,0.64
176,0.64205
