games_played,win_ratio
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.16667
7,0.28571
8,0.25
9,0.33333
10,0.4
11,0.45455
12,0.5
13,0.46154
14,0.42857
15,0.4
16,0.375
17,0.41176
18,0.44444
19,0.42105
20,0.4
21,0.38095
22,0.40909
23,0.43478
24,0.41667
25,0.44
26,0.42308
27,0.40741
28,0.39286
29,0.41379
30,0.4
31,0.3871
32,0.375
33,0.39394
34,0.41176
35,0.4
36,0.38889
37,0.37838
38,0.36842
39,0.38462
40,0.4
41,0.39024
42,0.38095
43,0.39535
44,0.38636
45,0.37778
46,0.36957
47,0.3617
48,0.35417
49,0.34694
50,0.36
51,0.37255
52,0.36538
53,0.37736
54,0.38889
55,0.4
56,0.41071
57,0.40351
58,0.39655
59,0.40678
60,0.41667
61,0.40984
62,0.40323
63,0.4127
64,0.42188
65,0.43077
66,0.42424
67,0.43284
68,0.44118
69,0.44928
70,0.45714
71,0.46479
72,0.45833
73,0.46575
74,0.47297
75,0.48
76,0.48684
77,0.49351
78,0.5
79,0.50633
80,0.5
81,0.49383
82,0.5
83,0.50602
84,0.5
85,0.50588
86,0.5
87,0.49425
88,0.5
89,0.49438
90,0.5
91,0.50549
92,0.5
93,0.50538
94,0.51064
95,0.51579
96,0.52083
97,0.51546
98,0.52041
99,0.51515
100,0.51
101,0.51485
102,0.51961
103,0.52427
104,0.51923
105,0.52381
106,0.51887
107,0.51402
108,0.50926
109,0.51376
110,0.51818
111,0.52252
112,0.52679
113,0.53097
114,0.52632
115,0.53043
116,0.53448
117,0.53846
118,0.5339
119,0.52941
120,0.525
121,0.52066
122,0.52459
123,0.52846
124,0.52419
125,0.52
126,0.51587
127,0.51969
128,0.51562
129,0.51938
130,0.52308
131,0.51908
132,0.52273
133,0.5188
134,0.51493
135,0.51852
136,0.52206
137,0.51825
138,0.51449
139,0.51799
140,0.52143
141,0.51773
142,0.52113
143,0.51748
144,0.51389
145,0.51724
146,0.52055
147,0.52381
148,0.52703
149,0.52349
150,0.52
151,0.52318
152,0.51974
153,0.51634
154,0.51299
155,0.50968
156,0.50641
157,0.50318
158,0.5
159,0.49686
160,0.49375
161,0.49068
162,0.48765
163,0.48466
164,0.48171
165,0.47879
166,0.4759
167,0.47904
168,0.48214
169,0.47929
170,0.48235
171,0.47953
172,0.48256
173,0.48555
174,0.48851
175,0.48571
176,0.48295
177,0.48588
178,0.48315
179,0.48603
180,0.48333
181,0.48619
182,0.48352
183,0.48087
184,0.4837
185,0.48649
186,0.48387
187,0.48128
188,0.47872
189,0.48148
190,0.47895
191,0.47644
192,0.47396
193,0.4715
194,0.46907
195,0.46667
196,0.46939
197,0.47208
198,0.4697
199,0.47236
200,0.47
201,0.47264
202,0.47525
203,0.47291
204,0.47549
205,0.47317
206,0.47573
207,0.47343
208,0.47596
209,0.47368
210,0.47619
211,0.47867
212,0.47642
213,0.47887
214,0.47664
215,0.47442
216,0.47222
