games_played,res_win_ratio
1,0.0
2,0.0
3,0.0
4,0.0
5,0.2
6,0.16667
7,0.28571
8,0.375
9,0.33333
10,0.3
11,0.27273
12,0.25
13,0.30769
14,0.28571
15,0.26667
16,0.25
17,0.29412
18,0.33333
19,0.31579
20,0.3
21,0.33333
22,0.31818
23,0.30435
24,0.29167
25,0.28
26,0.26923
27,0.2963
28,0.28571
29,0.27586
30,0.3
31,0.29032
32,0.28125
33,0.27273
34,0.26471
35,0.28571
36,0.30556
37,0.2973
38,0.31579
39,0.30769
40,0.325
41,0.31707
42,0.30952
43,0.32558
44,0.34091
45,0.35556
46,0.36957
47,0.38298
48,0.39583
49,0.40816
50,0.42
51,0.43137
52,0.42308
53,0.41509
54,0.42593
55,0.41818
56,0.41071
57,0.40351
58,0.41379
59,0.40678
60,0.41667
61,0.40984
62,0.41935
63,0.4127
64,0.40625
65,0.41538
66,0.40909
67,0.41791
68,0.41176
69,0.4058
70,0.4
71,0.40845
72,0.41667
73,0.42466
74,0.41892
75,0.42667
76,0.42105
77,0.41558
78,0.41026
79,0.40506
80,0.4125
81,0.40741
82,0.40244
83,0.39759
84,0.39286
85,0.4
86,0.40698
87,0.4023
88,0.39773
89,0.39326
90,0.4
91,0.3956
92,0.3913
93,0.39785
94,0.39362
95,0.38947
96,0.39583
97,0.39175
98,0.38776
99,0.38384
100,0.38
101,0.37624
102,0.37255
103,0.36893
104,0.36538
105,0.3619
106,0.35849
107,0.35514
108,0.35185
109,0.34862
110,0.34545
111,0.35135
112,0.34821
113,0.35398
114,0.35088
115,0.35652
116,0.35345
117,0.35043
118,0.35593
119,0.35294
120,0.35
121,0.35537
122,0.35246
123,0.34959
124,0.34677
125,0.344
126,0.34127
127,0.33858
128,0.33594
129,0.33333
130,0.33077
131,0.32824
132,0.32576
133,0.32331
134,0.32836
135,0.32593
136,0.32353
137,0.32117
138,0.32609
139,0.32374
140,0.32143
141,0.31915
142,0.3169
143,0.31469
144,0.3125
145,0.31034
146,0.31507
147,0.31973
148,0.31757
149,0.32215
150,0.32
151,0.31788
152,0.31579
153,0.32026
154,0.31818
155,0.31613
156,0.32051
157,0.31847
158,0.32278
159,0.32075
160,0.325
161,0.32919
162,0.32716
163,0.32515
164,0.32317
165,0.32727
166,0.3253
167,0.32934
168,0.32738
169,0.32544
170,0.32941
171,0.33333
172,0.3314
173,0.33526
174,0.33333
175,0.33143
176,0.32955
177,0.32768
178,0.32584
179,0.32402
180,0.32222
181,0.32044
182,0.31868
183,0.3224
184,0.32065
185,0.31892
186,0.32258
187,0.3262
188,0.32979
189,0.33333
190,0.33684
191,0.33508
192,0.33854
193,0.33679
194,0.33505
195,0.33846
196,0.34184
197,0.3401
198,0.34343
199,0.34673
200,0.345
201,0.34826
202,0.34653
203,0.34975
204,0.34804
205,0.35122
206,0.34951
207,0.34783
208,0.35096
209,0.35407
210,0.35714
211,0.36019
212,0.36321
213,0.3662
214,0.36449
