games_played,spy_win_ratio
1,0.0
2,0.5
3,0.66667
4,0.75
5,0.8
6,0.66667
7,0.71429
8,0.625
9,0.55556
10,0.6
11,0.63636
12,0.58333
13,0.61538
14,0.57143
15,0.53333
16,0.5625
17,0.58824
18,0.61111
19,0.57895
20,0.6
21,0.61905
22,0.63636
23,0.6087
24,0.625
25,0.64
26,0.65385
27,0.62963
28,0.64286
29,0.62069
30,0.63333
31,0.64516
32,0.65625
33,0.66667
34,0.67647
35,0.68571
36,0.69444
37,0.7027
38,0.71053
39,0.71795
40,0.725
41,0.73171
42,0.7381
43,0.74419
44,0.75
45,0.75556
46,0.76087
47,0.76596
48,0.77083
49,0.7551
50,0.76
51,0.76471
52,0.76923
53,0.75472
54,0.75926
55,0.74545
56,0.73214
57,0.73684
58,0.74138
59,0.74576
60,0.73333
61,0.7377
62,0.74194
63,0.73016
64,0.73438
65,0.73846
66,0.72727
67,0.73134
68,0.73529
69,0.73913
70,0.74286
71,0.74648
72,0.75
73,0.73973
74,0.74324
75,0.74667
76,0.75
77,0.75325
78,0.74359
79,0.73418
80,0.7375
81,0.74074
82,0.73171
83,0.73494
84,0.72619
85,0.72941
86,0.73256
87,0.73563
88,0.72727
89,0.7191
90,0.72222
91,0.72527
92,0.72826
93,0.73118
94,0.73404
95,0.73684
96,0.73958
97,0.74227
98,0.73469
99,0.73737
100,0.74
101,0.74257
102,0.7451
103,0.73786
104,0.74038
105,0.74286
106,0.74528
107,0.74766
108,0.74074
109,0.73394
110,0.72727
111,0.72973
112,0.73214
113,0.73451
114,0.73684
115,0.73043
116,0.73276
117,0.73504
118,0.73729
119,0.7395
120,0.73333
121,0.73554
122,0.7377
123,0.73171
124,0.72581
125,0.728
126,0.73016
127,0.73228
128,0.73438
129,0.73643
130,0.73846
131,0.74046
132,0.74242
133,0.73684
134,0.73881
135,0.74074
136,0.74265
137,0.74453
138,0.73913
139,0.74101
140,0.74286
141,0.74468
142,0.74648
143,0.74825
144,0.74306
145,0.74483
146,0.73973
147,0.7415
148,0.74324
149,0.73826
150,0.73333
151,0.7351
152,0.73026
153,0.73203
154,0.73377
155,0.73548
156,0.73718
157,0.73248
158,0.73418
159,0.73585
160,0.73125
161,0.73292
162,0.73457
163,0.7362
164,0.7378
165,0.73939
166,0.74096
167,0.74251
168,0.74405
169,0.74556
170,0.74706
171,0.74854
172,0.75
173,0.75145
174,0.75287
175,0.74857
176,0.74432
177,0.74576
178,0.74719
179,0.7486
180,0.75
181,0.75138
182,0.74725
183,0.74863
184,0.75
185,0.75135
186,0.75269
187,0.75401
188,0.75532
189,0.75661
190,0.75789
191,0.75916
192,0.76042
193,0.76166
194,0.75773
195,0.75897
196,0.7551
197,0.75635
198,0.75758
199,0.75879
200,0.76
201,0.76119
202,0.75743
203,0.75369
204,0.7549
205,0.7561
206,0.75728
207,0.75845
208,0.75962
209,0.76077
210,0.75714
211,0.75355
212,0.75472
213,0.75587
214,0.75701
215,0.75349
216,0.75
217,0.75115
218,0.74771
219,0.74886
220,0.75
221,0.74661
222,0.74775
223,0.74888
224,0.75
225,0.74667
226,0.74336
227,0.74449
228,0.74561
229,0.74672
230,0.74783
231,0.74892
232,0.74569
233,0.74678
234,0.74359
235,0.74043
236,0.74153
237,0.74262
238,0.7437
239,0.74477
240,0.74583
241,0.74689
242,0.74793
243,0.74897
244,0.75
245,0.75102
246,0.75203
247,0.74899
248,0.75
249,0.751
250,0.748
251,0.749
252,0.75
253,0.75099
254,0.74803
255,0.74902
256,0.75
257,0.75097
258,0.75194
259,0.7529
260,0.75385
261,0.75096
262,0.75191
263,0.74905
264,0.74621
265,0.74717
266,0.74436
267,0.74532
268,0.74627
269,0.74721
270,0.74815
271,0.74908
272,0.75
273,0.75092
274,0.75182
275,0.74909
276,0.75
277,0.74729
278,0.7482
279,0.7491
280,0.75
281,0.75089
282,0.75177
283,0.75265
284,0.75352
285,0.75439
286,0.75175
287,0.75261
288,0.75347
289,0.75433
290,0.75517
291,0.75601
292,0.75342
293,0.75085
294,0.7517
295,0.75254
296,0.75338
297,0.75421
298,0.75168
299,0.74916
300,0.75
301,0.75083
302,0.75166
303,0.74917
304,0.75
305,0.75082
306,0.75163
307,0.75244
308,0.75325
309,0.75405
310,0.75484
311,0.75563
312,0.75641
313,0.75719
314,0.75478
315,0.75556
316,0.75633
317,0.7571
318,0.75786
319,0.75862
320,0.75625
321,0.75701
322,0.75466
323,0.75542
324,0.75617
325,0.75385
326,0.75153
327,0.74924
328,0.74695
329,0.74468
330,0.74242
331,0.74018
332,0.73795
333,0.73874
334,0.73653
335,0.73433
336,0.73512
337,0.73294
338,0.73373
339,0.73451
340,0.73235
341,0.73021
342,0.73099
343,0.73178
344,0.73256
345,0.73333
346,0.73121
347,0.73199
348,0.73276
349,0.73066
350,0.73143
351,0.72934
352,0.72727
353,0.72805
354,0.72881
355,0.72958
356,0.73034
357,0.73109
358,0.73184
359,0.72981
360,0.73056
361,0.7313
362,0.73204
363,0.73278
364,0.73352
365,0.73425
366,0.73497
367,0.73569
368,0.73641
369,0.73713
370,0.73784
371,0.73854
372,0.73925
373,0.73995
374,0.73797
375,0.73867
376,0.73936
377,0.74005
378,0.74074
379,0.74142
380,0.74211
381,0.74278
382,0.74084
383,0.74151
384,0.73958
385,0.74026
386,0.73834
387,0.73902
388,0.73969
389,0.74036
390,0.74103
391,0.73913
392,0.7398
393,0.74046
394,0.73858
395,0.73924
396,0.7399
397,0.73804
398,0.73869
399,0.73935
400,0.74
401,0.74065
402,0.74129
403,0.74194
404,0.74257
405,0.74321
406,0.74384
407,0.74447
408,0.7451
409,0.74572
410,0.74634
411,0.74696
412,0.74757
413,0.74818
414,0.74638
415,0.74699
416,0.7476
417,0.7482
418,0.7488
419,0.7494
420,0.75
421,0.75059
422,0.74882
423,0.74941
424,0.74764
425,0.74824
426,0.74883
427,0.74941
428,0.74766
429,0.74825
430,0.74884
431,0.7471
432,0.74537
433,0.74365
434,0.74194
435,0.74253
436,0.74312
437,0.74371
438,0.74429
439,0.74487
440,0.74545
441,0.74603
442,0.74661
443,0.74718
444,0.74775
445,0.74831
446,0.74888
447,0.7472
448,0.74777
449,0.74833
450,0.74667
451,0.74723
452,0.74779
453,0.74614
454,0.7467
455,0.74725
456,0.74781
457,0.74836
458,0.74891
459,0.74946
460,0.75
461,0.75054
462,0.75108
463,0.75162
464,0.75
465,0.74839
466,0.74678
467,0.74732
468,0.74786
469,0.74627
470,0.74681
471,0.74735
472,0.74788
473,0.74841
474,0.74895
475,0.74947
476,0.75
477,0.74843
478,0.74686
479,0.7453
480,0.74583
481,0.74636
482,0.74481
483,0.74534
484,0.7438
485,0.74433
486,0.74486
487,0.74333
488,0.74385
489,0.74438
490,0.7449
491,0.74542
492,0.74593
493,0.74645
494,0.74696
495,0.74747
496,0.74798
497,0.74849
498,0.749
499,0.7495
500,0.75
501,0.7505
502,0.751
503,0.75149
504,0.75198
505,0.7505
506,0.74901
507,0.74951
508,0.75
509,0.75049
510,0.75098
511,0.75147
512,0.75195
513,0.75244
514,0.75097
515,0.74951
516,0.74806
517,0.74662
518,0.7471
519,0.74759
520,0.74808
521,0.74856
522,0.74904
523,0.74952
524,0.74809
525,0.74857
526,0.74715
527,0.74763
528,0.74811
529,0.74858
530,0.74906
531,0.74953
532,0.75
533,0.75047
534,0.75094
535,0.7514
536,0.75187
537,0.75047
538,0.75093
539,0.75139
540,0.75185
541,0.75046
542,0.75092
543,0.75138
544,0.75
545,0.75046
546,0.75092
547,0.74954
548,0.75
549,0.74863
550,0.74909
551,0.74955
552,0.74819
553,0.74864
554,0.7491
555,0.74955
556,0.75
557,0.75045
558,0.7509
559,0.75134
560,0.75179
561,0.75045
562,0.74911
563,0.74956
564,0.74823
565,0.7469
566,0.74735
567,0.74603
568,0.74472
569,0.74517
570,0.74561
571,0.74606
572,0.7465
573,0.74695
574,0.74739
575,0.74783
576,0.74826
577,0.7487
578,0.74913
579,0.74957
580,0.75
581,0.75043
582,0.75086
583,0.75129
584,0.75171
585,0.75214
586,0.75256
587,0.75298
588,0.7534
589,0.75382
590,0.75424
591,0.75465
592,0.75507
593,0.75548
594,0.75589
595,0.7563
596,0.75671
597,0.75712
598,0.75585
599,0.75626
600,0.75667
601,0.75541
602,0.75581
603,0.75622
604,0.75662
605,0.75702
606,0.75578
607,0.75618
608,0.75658
609,0.75534
610,0.7541
611,0.75286
612,0.75327
613,0.75367
614,0.75244
615,0.75285
616,0.75325
617,0.75365
618,0.75405
619,0.75283
620,0.75323
621,0.75362
622,0.75402
623,0.75441
624,0.75321
625,0.7536
626,0.75399
627,0.75279
628,0.75318
629,0.75358
630,0.75238
631,0.75277
632,0.75316
633,0.75355
634,0.75394
635,0.75433
636,0.75472
637,0.7551
638,0.75392
639,0.7543
640,0.75469
641,0.75351
642,0.75389
643,0.75272
644,0.75311
645,0.75349
646,0.75387
647,0.75425
648,0.75463
649,0.75501
650,0.75538
651,0.75576
652,0.75613
653,0.75651
654,0.75688
655,0.75725
656,0.75762
657,0.75799
658,0.75836
659,0.75873
660,0.75758
661,0.75794
662,0.75831
663,0.75867
664,0.75904
665,0.75789
666,0.75676
667,0.75712
668,0.75749
669,0.75785
670,0.75821
671,0.75857
672,0.75893
673,0.75929
674,0.75964
675,0.76
676,0.75888
677,0.75923
678,0.75811
679,0.757
680,0.75588
681,0.75477
682,0.75513
683,0.75403
684,0.75439
685,0.75474
686,0.7551
687,0.75546
688,0.75581
689,0.75472
690,0.75507
691,0.75543
692,0.75578
693,0.75469
694,0.75504
695,0.75396
696,0.75287
697,0.75323
698,0.75215
699,0.7525
700,0.75286
701,0.75321
702,0.75356
703,0.75249
704,0.75142
705,0.75177
706,0.75212
707,0.75248
708,0.75282
709,0.75317
710,0.75211
711,0.75246
712,0.75281
713,0.75316
714,0.7535
715,0.75245
716,0.75279
717,0.75174
718,0.7507
719,0.74965
720,0.75
721,0.75035
722,0.75069
723,0.75104
724,0.75
725,0.75034
726,0.74931
727,0.74966
728,0.75
729,0.75034
730,0.75068
731,0.75103
732,0.75137
733,0.75171
734,0.75204
735,0.75238
736,0.75272
737,0.75305
738,0.75203
739,0.75237
740,0.7527
741,0.75304
742,0.75337
743,0.7537
744,0.75403
745,0.75436
746,0.75469
747,0.75502
748,0.75535
749,0.75567
750,0.756
751,0.75632
752,0.75665
753,0.75697
754,0.75729
755,0.75762
756,0.75794
757,0.75826
758,0.75858
759,0.75889
760,0.75789
761,0.75821
762,0.75853
763,0.75754
764,0.75785
765,0.75817
766,0.75849
767,0.7588
768,0.75911
769,0.75943
770,0.75974
771,0.75875
772,0.75907
773,0.75809
774,0.75711
775,0.75742
776,0.75773
777,0.75676
778,0.75707
779,0.75738
780,0.75769
781,0.75672
782,0.75703
783,0.75734
784,0.75638
785,0.75669
786,0.757
787,0.75731
788,0.75761
789,0.75792
790,0.75823
791,0.75853
792,0.75884
793,0.75914
794,0.75945
795,0.75849
796,0.75879
797,0.75784
798,0.75815
799,0.75845
800,0.75875
801,0.7578
802,0.75686
803,0.75716
804,0.75746
805,0.75776
806,0.75806
807,0.75836
808,0.75743
809,0.75773
810,0.75679
811,0.75709
812,0.75739
813,0.75769
814,0.75799
815,0.75828
816,0.75858
817,0.75887
818,0.75917
819,0.75946
820,0.75976
821,0.75883
822,0.75912
823,0.7582
824,0.7585
825,0.75758
826,0.75787
827,0.75816
828,0.75845
829,0.75875
830,0.75783
831,0.75692
832,0.75601
833,0.7563
834,0.75659
835,0.75569
836,0.75478
837,0.75508
838,0.75537
839,0.75566
840,0.75595
841,0.75624
842,0.75653
843,0.75682
844,0.75711
845,0.7574
846,0.75768
847,0.75797
848,0.75825
849,0.75854
850,0.75882
851,0.75911
852,0.75939
853,0.7585
854,0.75761
855,0.75789
856,0.75818
857,0.75846
858,0.75874
859,0.75786
860,0.75814
861,0.75726
862,0.75754
863,0.75782
864,0.7581
865,0.75838
866,0.75866
867,0.75894
868,0.75806
869,0.75834
870,0.75862
871,0.75775
872,0.75688
873,0.75716
874,0.75744
875,0.75771
876,0.75799
877,0.75827
878,0.75854
879,0.75882
880,0.75909
881,0.75823
882,0.7585
883,0.75878
884,0.75792
885,0.75819
886,0.75847
887,0.75874
888,0.75788
889,0.75816
890,0.75843
891,0.75758
892,0.75785
893,0.75812
894,0.75839
895,0.75866
896,0.75893
897,0.7592
898,0.75947
899,0.75973
900,0.76
901,0.76027
902,0.76053
903,0.7608
904,0.76106
905,0.76133
906,0.76159
907,0.76185
908,0.76211
909,0.76238
910,0.76264
911,0.7618
912,0.76096
913,0.76123
914,0.76039
915,0.76066
916,0.75983
917,0.76009
918,0.76035
919,0.76061
920,0.76087
921,0.76113
922,0.76139
923,0.76056
924,0.76082
925,0.76108
926,0.76134
927,0.7616
928,0.76185
929,0.76211
930,0.76237
931,0.76262
932,0.76288
933,0.76206
934,0.76231
935,0.7615
936,0.76175
937,0.76201
938,0.76119
939,0.76145
940,0.7617
941,0.76196
942,0.76115
943,0.7614
944,0.76059
945,0.76085
946,0.7611
947,0.7603
948,0.75949
949,0.75869
950,0.75895
951,0.7592
952,0.75945
953,0.75971
954,0.75891
955,0.75916
956,0.75941
957,0.75862
958,0.75783
959,0.75808
960,0.75833
961,0.75858
962,0.75884
963,0.75909
964,0.75934
965,0.75959
966,0.75983
967,0.75905
968,0.7593
969,0.75955
970,0.75979
971,0.76004
972,0.76029
973,0.75951
974,0.75873
975,0.75897
976,0.75922
977,0.75947
978,0.75971
979,0.75996
980,0.7602
981,0.76045
982,0.76069
983,0.76094
984,0.76118
985,0.76142
986,0.76166
987,0.7619
988,0.76215
989,0.76239
990,0.76263
991,0.76186
992,0.76109
993,0.76133
994,0.76157
995,0.76181
996,0.76205
997,0.76229
998,0.76253
999,0.76276
1000,0.763
1001,0.76324
1002,0.76347
1003,0.76371
1004,0.76295
1005,0.76318
1006,0.76342
1007,0.76266
1008,0.7619
1009,0.76214
1010,0.76238
1011,0.76261
1012,0.76186
1013,0.76209
1014,0.76233
1015,0.76256
1016,0.7628
1017,0.76303
1018,0.76326
1019,0.76251
1020,0.76275
1021,0.76298
1022,0.76321
1023,0.76344
1024,0.76367
1025,0.76293
1026,0.76218
1027,0.76241
1028,0.76265
1029,0.76288
1030,0.76214
1031,0.76237
1032,0.7626
1033,0.76186
1034,0.76112
1035,0.76039
1036,0.75965
1037,0.75988
1038,0.75915
1039,0.75938
1040,0.75962
1041,0.75985
1042,0.75912
1043,0.75935
1044,0.75862
1045,0.75885
1046,0.75813
1047,0.75836
1048,0.75859
1049,0.75882
1050,0.75905
1051,0.75928
1052,0.75951
1053,0.75878
1054,0.75901
1055,0.75924
1056,0.75947
1057,0.7597
1058,0.75992
1059,0.75921
1060,0.75943
1061,0.75966
1062,0.75989
1063,0.75917
1064,0.75846
1065,0.75869
1066,0.75891
1067,0.75914
1068,0.75936
1069,0.75865
1070,0.75888
1071,0.7591
1072,0.75933
1073,0.75955
1074,0.75978
1075,0.76
1076,0.75929
1077,0.75952
1078,0.75881
1079,0.75904
1080,0.75926
1081,0.75948
1082,0.7597
1083,0.75993
1084,0.75923
1085,0.75945
1086,0.75875
1087,0.75897
1088,0.75919
1089,0.75941
1090,0.75963
1091,0.75894
1092,0.75916
1093,0.75938
1094,0.7596
1095,0.75982
1096,0.76004
1097,0.76026
1098,0.75956
1099,0.75978
1100,0.76
1101,0.76022
1102,0.76044
1103,0.76065
1104,0.76087
1105,0.76109
1106,0.7604
1107,0.76061
1108,0.75993
1109,0.75924
1110,0.75946
1111,0.75968
1112,0.75899
1113,0.75831
1114,0.75853
1115,0.75874
1116,0.75896
1117,0.75828
1118,0.7576
1119,0.75782
1120,0.75804
1121,0.75736
1122,0.75668
1123,0.7569
1124,0.75623
1125,0.75644
1126,0.75666
1127,0.75688
1128,0.75709
1129,0.75731
1130,0.75752
1131,0.75685
1132,0.75707
1133,0.7564
1134,0.75573
1135,0.75595
1136,0.75616
1137,0.75638
1138,0.75659
1139,0.7568
1140,0.75702
1141,0.75723
1142,0.75744
1143,0.75678
1144,0.75612
1145,0.75633
1146,0.75654
1147,0.75676
1148,0.75697
1149,0.75718
1150,0.75652
1151,0.75673
1152,0.75694
1153,0.75716
1154,0.75737
1155,0.75671
1156,0.75692
1157,0.75713
1158,0.75734
1159,0.75669
