games_played,win_ratio
1,0.0
2,0.0
3,0.0
4,0.25
5,0.4
6,0.33333
7,0.42857
8,0.5
9,0.55556
10,0.5
11,0.54545
12,0.58333
13,0.53846
14,0.5
15,0.46667
16,0.5
17,0.47059
18,0.44444
19,0.42105
20,0.45
21,0.42857
22,0.40909
23,0.43478
24,0.41667
25,0.4
26,0.42308
27,0.44444
28,0.42857
29,0.44828
30,0.43333
31,0.45161
32,0.4375
33,0.42424
34,0.44118
35,0.45714
36,0.47222
37,0.48649
38,0.47368
39,0.46154
40,0.475
41,0.46341
42,0.47619
43,0.46512
44,0.47727
45,0.46667
46,0.47826
47,0.46809
48,0.47917
49,0.4898
50,0.5
51,0.5098
52,0.51923
53,0.5283
54,0.53704
55,0.52727
56,0.53571
57,0.54386
58,0.53448
59,0.52542
60,0.53333
61,0.54098
62,0.54839
63,0.53968
64,0.54688
65,0.55385
66,0.54545
67,0.53731
68,0.52941
69,0.52174
70,0.52857
71,0.53521
72,0.52778
73,0.53425
74,0.52703
75,0.52
76,0.52632
77,0.51948
78,0.52564
79,0.53165
80,0.525
81,0.53086
82,0.52439
83,0.51807
84,0.52381
85,0.51765
86,0.51163
87,0.51724
88,0.52273
89,0.52809
90,0.52222
91,0.52747
92,0.53261
93,0.53763
94,0.53191
95,0.52632
96,0.52083
97,0.51546
98,0.52041
99,0.52525
100,0.53
101,0.52475
102,0.51961
103,0.51456
104,0.50962
105,0.51429
106,0.50943
107,0.50467
108,0.5
109,0.49541
110,0.49091
111,0.4955
112,0.49107
113,0.48673
114,0.49123
115,0.49565
116,0.49138
117,0.49573
118,0.49153
119,0.48739
120,0.48333
121,0.4876
122,0.4918
123,0.4878
124,0.49194
125,0.496
126,0.5
127,0.49606
128,0.49219
129,0.49612
130,0.5
131,0.50382
132,0.50758
133,0.51128
134,0.51493
135,0.51852
136,0.52206
137,0.52555
138,0.52174
139,0.51799
140,0.52143
141,0.52482
142,0.52817
143,0.53147
144,0.52778
145,0.52414
146,0.52055
147,0.51701
148,0.51351
149,0.51678
150,0.52
151,0.51656
152,0.51974
153,0.51634
154,0.51948
155,0.52258
156,0.52564
157,0.52866
158,0.52532
159,0.5283
160,0.53125
161,0.53416
162,0.53704
163,0.53988
164,0.53659
165,0.53333
166,0.53614
167,0.53293
168,0.52976
169,0.53254
170,0.53529
171,0.53801
172,0.5407
173,0.54335
174,0.54023
175,0.54286
176,0.54545
177,0.54237
178,0.54494
179,0.5419
180,0.54444
181,0.54696
182,0.54396
183,0.54645
184,0.54891
185,0.54595
186,0.54839
187,0.5508
188,0.55319
189,0.55556
190,0.55789
191,0.56021
192,0.5625
193,0.56477
194,0.56701
195,0.56923
196,0.56633
197,0.56853
198,0.56566
199,0.56784
200,0.565
201,0.56219
202,0.56436
203,0.5665
204,0.56863
205,0.57073
206,0.57282
207,0.57005
208,0.56731
209,0.56459
210,0.5619
211,0.56398
212,0.56604
213,0.56808
214,0.57009
