games_played,res_win_ratio
1,0.0
2,0.0
3,0.0
4,0.0
5,0.2
6,0.16667
7,0.28571
8,0.25
9,0.22222
10,0.3
11,0.27273
12,0.25
13,0.23077
14,0.21429
15,0.2
16,0.1875
17,0.23529
18,0.22222
19,0.26316
20,0.25
21,0.28571
22,0.31818
23,0.34783
24,0.33333
25,0.32
26,0.34615
27,0.33333
28,0.35714
29,0.34483
30,0.33333
31,0.35484
32,0.375
33,0.39394
34,0.41176
35,0.4
36,0.41667
37,0.40541
38,0.39474
39,0.41026
40,0.4
41,0.39024
42,0.38095
43,0.39535
44,0.38636
45,0.37778
46,0.36957
47,0.3617
48,0.35417
49,0.34694
50,0.34
51,0.33333
52,0.34615
53,0.35849
54,0.35185
55,0.36364
56,0.375
57,0.36842
58,0.36207
59,0.35593
60,0.36667
61,0.37705
62,0.37097
63,0.36508
64,0.35938
65,0.35385
66,0.36364
67,0.35821
68,0.35294
69,0.34783
70,0.34286
71,0.33803
72,0.33333
73,0.34247
74,0.33784
75,0.34667
76,0.34211
77,0.33766
78,0.33333
79,0.34177
80,0.3375
81,0.34568
82,0.35366
83,0.36145
84,0.35714
85,0.36471
86,0.37209
87,0.37931
88,0.38636
89,0.39326
90,0.38889
91,0.3956
92,0.40217
93,0.4086
94,0.40426
95,0.4
96,0.39583
97,0.39175
98,0.39796
99,0.40404
100,0.4
101,0.39604
102,0.40196
103,0.40777
104,0.41346
105,0.41905
106,0.41509
107,0.41121
108,0.40741
109,0.41284
110,0.41818
111,0.42342
112,0.42857
113,0.42478
114,0.42982
115,0.42609
116,0.42241
117,0.42735
118,0.42373
119,0.42857
120,0.43333
121,0.43802
122,0.44262
123,0.44715
124,0.44355
125,0.44
126,0.44444
127,0.44882
128,0.45312
129,0.45736
130,0.45385
131,0.45038
132,0.44697
133,0.45113
134,0.45522
135,0.45926
136,0.45588
137,0.45985
138,0.46377
139,0.46043
140,0.45714
141,0.46099
142,0.45775
143,0.45455
144,0.45833
145,0.46207
146,0.46575
147,0.46259
148,0.45946
149,0.45638
150,0.45333
151,0.45033
152,0.45395
153,0.45752
154,0.45455
155,0.45161
156,0.44872
157,0.45223
158,0.4557
159,0.45283
160,0.45
161,0.4472
162,0.45062
163,0.44785
164,0.45122
165,0.45455
166,0.45181
167,0.4491
168,0.45238
169,0.45562
170,0.45882
171,0.46199
172,0.46512
173,0.46821
174,0.46552
175,0.46857
176,0.47159
177,0.46893
178,0.46629
179,0.46369
180,0.46667
181,0.46409
182,0.46154
183,0.46448
184,0.46196
185,0.46486
186,0.46774
187,0.46524
188,0.46277
189,0.46032
190,0.45789
191,0.46073
192,0.45833
193,0.46114
194,0.45876
195,0.46154
196,0.46429
197,0.46193
198,0.4596
199,0.46231
200,0.46
201,0.45771
202,0.45545
203,0.45813
204,0.45588
205,0.45366
206,0.45146
207,0.44928
208,0.45192
209,0.44976
210,0.44762
211,0.4455
212,0.4434
213,0.44131
214,0.44393
