games_played,spy_win_ratio
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.83333
7,0.85714
8,0.75
9,0.77778
10,0.8
11,0.72727
12,0.66667
13,0.69231
14,0.71429
15,0.73333
16,0.6875
17,0.70588
18,0.72222
19,0.73684
20,0.75
21,0.7619
22,0.72727
23,0.73913
24,0.75
25,0.76
26,0.76923
27,0.74074
28,0.75
29,0.75862
30,0.76667
31,0.77419
32,0.78125
33,0.78788
34,0.79412
35,0.77143
36,0.77778
37,0.78378
38,0.76316
39,0.76923
40,0.75
41,0.7561
42,0.7619
43,0.76744
44,0.75
45,0.75556
46,0.76087
47,0.76596
48,0.77083
49,0.7551
50,0.76
51,0.7451
52,0.75
53,0.75472
54,0.74074
55,0.74545
56,0.75
57,0.75439
58,0.75862
59,0.76271
60,0.75
61,0.7541
62,0.75806
63,0.74603
64,0.75
65,0.75385
66,0.75758
67,0.76119
68,0.76471
69,0.76812
70,0.77143
71,0.77465
72,0.77778
73,0.78082
74,0.77027
75,0.77333
76,0.76316
77,0.76623
78,0.75641
79,0.75949
80,0.7625
81,0.76543
82,0.76829
83,0.77108
84,0.77381
85,0.77647
86,0.77907
87,0.78161
88,0.78409
89,0.78652
90,0.78889
91,0.79121
92,0.79348
93,0.7957
94,0.79787
95,0.78947
96,0.78125
97,0.78351
98,0.78571
99,0.78788
100,0.79
101,0.79208
102,0.79412
103,0.79612
104,0.79808
105,0.79048
106,0.79245
107,0.78505
108,0.77778
109,0.77982
110,0.78182
111,0.78378
112,0.78571
113,0.78761
114,0.78947
115,0.78261
116,0.78448
117,0.78632
118,0.77966
119,0.78151
120,0.78333
121,0.78512
122,0.78689
123,0.78862
124,0.79032
125,0.792
126,0.79365
127,0.79528
128,0.78906
129,0.7907
130,0.78462
131,0.78626
132,0.78788
133,0.78195
134,0.78358
135,0.78519
136,0.77941
137,0.78102
138,0.77536
139,0.77698
140,0.77857
141,0.78014
142,0.77465
143,0.77622
144,0.77778
145,0.77931
146,0.78082
147,0.78231
148,0.78378
149,0.78523
150,0.78667
151,0.78808
152,0.78947
153,0.79085
154,0.78571
155,0.7871
156,0.78846
157,0.78981
158,0.79114
159,0.79245
160,0.79375
161,0.79503
162,0.79012
163,0.79141
164,0.79268
165,0.78788
166,0.78916
167,0.79042
168,0.78571
169,0.78698
170,0.78824
171,0.78947
172,0.78488
173,0.78613
174,0.78736
175,0.78857
176,0.78977
177,0.79096
178,0.79213
179,0.7933
180,0.78889
181,0.78453
182,0.78022
183,0.78142
184,0.78261
185,0.78378
186,0.78495
187,0.7861
188,0.78723
189,0.78836
190,0.78421
191,0.78534
192,0.78646
193,0.78238
194,0.77835
195,0.77436
196,0.77551
197,0.77665
198,0.77778
199,0.77889
200,0.78
201,0.77612
202,0.77723
203,0.77833
204,0.77941
205,0.78049
206,0.7767
207,0.77778
208,0.77885
209,0.77512
210,0.77619
211,0.77725
212,0.7783
213,0.77934
214,0.7757
215,0.77674
216,0.77778
217,0.7788
218,0.77523
219,0.77626
220,0.77727
221,0.77376
222,0.77477
223,0.7713
224,0.77232
225,0.77333
226,0.77434
227,0.77533
228,0.77632
229,0.77729
230,0.77826
231,0.77922
232,0.77586
233,0.77253
234,0.7735
235,0.77021
236,0.77119
237,0.77215
238,0.77311
239,0.76987
240,0.77083
241,0.77178
242,0.7686
243,0.76955
244,0.77049
245,0.77143
246,0.77236
247,0.77328
248,0.77419
249,0.7751
250,0.776
251,0.77689
252,0.77778
253,0.7747
254,0.77559
255,0.77255
256,0.77344
257,0.77432
258,0.77519
259,0.77606
260,0.77692
261,0.77778
262,0.77863
263,0.77947
264,0.7803
265,0.77736
266,0.7782
267,0.77903
268,0.77612
269,0.77695
270,0.77778
271,0.7786
272,0.77941
273,0.78022
274,0.78102
275,0.78182
276,0.77899
277,0.77978
278,0.78058
279,0.78136
280,0.78214
281,0.78292
282,0.78369
283,0.78445
284,0.78521
285,0.78596
286,0.78322
287,0.78397
288,0.78472
289,0.78547
290,0.78621
291,0.78351
292,0.78082
293,0.78157
294,0.77891
295,0.77966
296,0.78041
297,0.78114
298,0.78188
299,0.77926
300,0.78
301,0.78073
302,0.78146
303,0.78218
304,0.77961
305,0.78033
306,0.78105
307,0.7785
308,0.77922
309,0.77994
310,0.77742
311,0.77814
312,0.77885
313,0.77955
314,0.77707
315,0.77778
316,0.77848
317,0.77918
318,0.77987
319,0.78056
320,0.78125
321,0.78193
322,0.78261
323,0.78019
324,0.78086
325,0.78154
326,0.77914
327,0.77982
328,0.77744
329,0.77812
330,0.77879
331,0.77946
332,0.78012
333,0.77778
334,0.77844
335,0.7791
336,0.77679
337,0.77448
338,0.77515
339,0.77581
340,0.77647
341,0.77419
342,0.77193
343,0.77259
344,0.77035
345,0.77101
346,0.77168
347,0.77233
348,0.77299
349,0.77364
350,0.77429
351,0.77493
352,0.77557
353,0.7762
354,0.77684
355,0.77746
356,0.77809
357,0.77871
358,0.77933
359,0.77994
360,0.78056
361,0.78116
362,0.78177
363,0.77961
364,0.78022
365,0.77808
366,0.77596
367,0.77657
368,0.77717
369,0.77778
370,0.77838
371,0.77898
372,0.77957
373,0.77748
374,0.77807
375,0.77867
376,0.7766
377,0.77719
378,0.77513
379,0.77573
380,0.77368
381,0.77165
382,0.77225
383,0.77285
384,0.77344
385,0.77403
386,0.77202
387,0.77003
388,0.77062
389,0.77121
390,0.77179
391,0.76982
392,0.77041
393,0.77099
