games_played,win_ratio
1,1.0
2,0.5
3,0.33333
4,0.5
5,0.6
6,0.5
7,0.57143
8,0.5
9,0.44444
10,0.4
11,0.36364
12,0.33333
13,0.30769
14,0.28571
15,0.33333
16,0.3125
17,0.35294
18,0.38889
19,0.42105
20,0.4
21,0.38095
22,0.36364
23,0.3913
24,0.41667
25,0.44
26,0.46154
27,0.48148
28,0.46429
29,0.44828
30,0.43333
31,0.41935
32,0.40625
33,0.42424
34,0.41176
35,0.42857
36,0.44444
37,0.43243
38,0.44737
39,0.46154
40,0.45
41,0.46341
42,0.47619
43,0.46512
44,0.47727
45,0.48889
46,0.5
47,0.51064
48,0.5
49,0.4898
50,0.5
51,0.5098
52,0.51923
53,0.50943
54,0.51852
55,0.52727
56,0.53571
57,0.52632
58,0.51724
59,0.50847
60,0.5
61,0.5082
62,0.51613
63,0.50794
64,0.51562
65,0.50769
66,0.51515
67,0.52239
68,0.52941
69,0.52174
70,0.51429
71,0.50704
72,0.51389
73,0.50685
74,0.51351
75,0.50667
76,0.51316
77,0.50649
78,0.5
79,0.50633
80,0.5125
81,0.50617
82,0.5
83,0.50602
84,0.5
85,0.49412
86,0.48837
87,0.49425
88,0.48864
89,0.48315
90,0.47778
91,0.47253
92,0.46739
93,0.46237
94,0.45745
95,0.45263
96,0.44792
97,0.45361
98,0.44898
99,0.44444
100,0.45
101,0.44554
102,0.45098
103,0.4466
104,0.44231
105,0.4381
106,0.43396
107,0.42991
108,0.42593
109,0.42202
110,0.41818
111,0.42342
112,0.41964
113,0.42478
114,0.42105
115,0.41739
116,0.41379
117,0.41026
118,0.41525
119,0.42017
120,0.41667
121,0.42149
122,0.42623
123,0.42276
124,0.41935
125,0.424
126,0.42063
127,0.4252
128,0.42188
129,0.42636
130,0.43077
131,0.42748
132,0.43182
133,0.43609
134,0.4403
135,0.43704
136,0.43382
137,0.43066
138,0.42754
139,0.42446
140,0.42143
141,0.42553
142,0.42254
143,0.42657
144,0.42361
145,0.42759
146,0.42466
147,0.42177
148,0.41892
149,0.41611
150,0.41333
151,0.4106
152,0.41447
153,0.41176
154,0.40909
155,0.40645
156,0.41026
157,0.41401
158,0.41139
159,0.40881
160,0.40625
161,0.40373
162,0.40123
163,0.40491
164,0.40854
165,0.40606
166,0.40964
167,0.41317
168,0.41667
169,0.42012
170,0.42353
171,0.4269
172,0.43023
173,0.43353
174,0.43103
175,0.42857
176,0.42614
177,0.42373
178,0.42697
179,0.42458
180,0.42222
181,0.42541
182,0.42857
183,0.43169
184,0.43478
185,0.43243
186,0.43548
187,0.4385
188,0.43617
189,0.43386
190,0.43158
191,0.43455
192,0.4375
193,0.44041
194,0.43814
195,0.44103
196,0.44388
197,0.4467
198,0.44949
199,0.45226
200,0.455
201,0.45274
202,0.45545
203,0.4532
204,0.45098
205,0.45366
206,0.45631
207,0.45894
208,0.45673
209,0.45455
210,0.45714
211,0.45498
212,0.45755
213,0.4554
214,0.45794
215,0.45581
216,0.45833
217,0.46083
218,0.4633
219,0.46119
220,0.46364
221,0.46606
222,0.46847
223,0.47085
224,0.47321
225,0.47556
226,0.47788
227,0.47577
228,0.47368
229,0.47598
230,0.47391
231,0.47619
232,0.47414
233,0.47639
234,0.47436
235,0.4766
236,0.47458
237,0.47679
238,0.47899
239,0.47699
240,0.475
241,0.47718
242,0.47934
243,0.48148
244,0.48361
245,0.48571
246,0.4878
247,0.48988
248,0.49194
249,0.48996
250,0.492
251,0.49004
252,0.4881
253,0.49012
254,0.49213
255,0.49412
256,0.49219
257,0.49027
258,0.49225
259,0.49421
260,0.49615
261,0.49425
262,0.49618
263,0.4981
264,0.5
265,0.50189
266,0.50376
267,0.50187
268,0.5
269,0.49814
270,0.4963
271,0.49815
272,0.5
273,0.49817
274,0.5
275,0.50182
276,0.5
277,0.50181
278,0.5
279,0.50179
280,0.5
281,0.50178
282,0.5
283,0.49823
284,0.5
285,0.50175
286,0.5
287,0.50174
288,0.5
289,0.49827
290,0.49655
291,0.49828
292,0.5
293,0.49829
294,0.4966
295,0.49492
296,0.49662
297,0.49495
298,0.49329
299,0.49498
300,0.49667
301,0.49834
302,0.49669
303,0.49505
304,0.49342
305,0.4918
306,0.4902
307,0.49186
308,0.49351
309,0.49515
310,0.49677
311,0.49518
312,0.49679
313,0.49521
314,0.49363
315,0.49206
316,0.49367
317,0.49211
318,0.49371
319,0.4953
320,0.49375
321,0.49221
322,0.49068
323,0.48916
324,0.48765
325,0.48615
326,0.48466
327,0.48318
328,0.48171
329,0.48328
330,0.48485
331,0.4864
332,0.48795
333,0.48949
334,0.48802
335,0.48657
336,0.48512
337,0.48368
338,0.48521
339,0.48673
340,0.48824
341,0.4868
342,0.48538
343,0.48397
344,0.48256
345,0.48406
346,0.48555
347,0.48703
348,0.48851
349,0.48997
350,0.49143
351,0.49003
352,0.49148
353,0.49008
354,0.49153
355,0.49014
356,0.48876
357,0.4902
358,0.48883
359,0.48747
360,0.48889
361,0.4903
362,0.48895
363,0.49036
364,0.49176
365,0.49041
366,0.48907
367,0.49046
368,0.48913
369,0.49051
370,0.48919
371,0.49057
372,0.49194
373,0.4933
374,0.49465
375,0.496
376,0.49734
377,0.49867
378,0.49735
379,0.49868
380,0.49737
381,0.49606
382,0.49738
383,0.49608
384,0.4974
385,0.4987
386,0.49741
387,0.49612
388,0.49485
389,0.49614
390,0.49744
391,0.49872
