games_played,res_win_ratio
1,1.0
2,0.5
3,0.33333
4,0.25
5,0.4
6,0.33333
7,0.28571
8,0.25
9,0.22222
10,0.2
11,0.18182
12,0.16667
13,0.15385
14,0.21429
15,0.2
16,0.1875
17,0.23529
18,0.27778
19,0.26316
20,0.25
21,0.2381
22,0.22727
23,0.21739
24,0.25
25,0.24
26,0.23077
27,0.25926
28,0.25
29,0.27586
30,0.26667
31,0.29032
32,0.28125
33,0.27273
34,0.29412
35,0.28571
36,0.30556
37,0.2973
38,0.28947
39,0.28205
40,0.275
41,0.29268
42,0.28571
43,0.27907
44,0.29545
45,0.31111
46,0.30435
47,0.29787
48,0.29167
49,0.28571
50,0.28
51,0.27451
52,0.28846
53,0.28302
54,0.27778
55,0.29091
56,0.28571
57,0.2807
58,0.2931
59,0.28814
60,0.28333
61,0.27869
62,0.27419
63,0.26984
64,0.26562
65,0.26154
66,0.25758
67,0.25373
68,0.25
69,0.24638
70,0.24286
71,0.23944
72,0.23611
73,0.23288
74,0.22973
75,0.22667
76,0.22368
77,0.22078
78,0.21795
79,0.21519
80,0.2125
81,0.20988
82,0.21951
83,0.21687
84,0.21429
85,0.21176
86,0.22093
87,0.22989
88,0.22727
89,0.23596
90,0.23333
91,0.23077
92,0.22826
93,0.22581
94,0.2234
95,0.23158
96,0.22917
97,0.23711
98,0.2449
99,0.24242
100,0.24
101,0.23762
102,0.23529
103,0.23301
104,0.23077
105,0.22857
106,0.23585
107,0.23364
108,0.23148
109,0.22936
110,0.22727
111,0.22523
112,0.22321
113,0.23009
114,0.23684
115,0.24348
116,0.25
117,0.25641
118,0.25424
119,0.2521
120,0.25
121,0.2562
122,0.2541
123,0.25203
124,0.25806
125,0.264
126,0.2619
127,0.25984
128,0.26562
129,0.26357
130,0.26923
131,0.27481
132,0.27273
133,0.27068
134,0.26866
135,0.27407
136,0.27206
137,0.27007
138,0.27536
139,0.28058
140,0.27857
141,0.2766
142,0.27465
143,0.27972
144,0.27778
145,0.28276
146,0.28082
147,0.28571
148,0.28378
149,0.28188
150,0.28667
151,0.29139
152,0.29605
153,0.30065
154,0.2987
155,0.30323
156,0.30128
157,0.29936
158,0.3038
159,0.30818
160,0.30625
161,0.30435
162,0.30864
163,0.31288
164,0.31098
165,0.30909
166,0.30723
167,0.30539
168,0.30952
169,0.31361
170,0.31176
171,0.31579
172,0.31395
173,0.31214
174,0.31609
175,0.32
176,0.31818
177,0.32203
178,0.32022
179,0.31844
180,0.31667
181,0.32044
182,0.32418
183,0.3224
184,0.32609
185,0.32432
186,0.32258
187,0.3262
188,0.32447
189,0.32275
190,0.32105
191,0.31937
192,0.31771
193,0.31606
194,0.31443
195,0.31282
196,0.31633
197,0.31472
198,0.31818
199,0.31658
200,0.315
201,0.31343
202,0.31188
203,0.31034
204,0.30882
205,0.30732
206,0.30583
207,0.30918
208,0.30769
209,0.30622
210,0.30476
211,0.30806
212,0.31132
213,0.30986
214,0.30841
215,0.30698
216,0.30556
217,0.30876
218,0.30734
219,0.30594
220,0.30455
221,0.30769
222,0.30631
223,0.30942
224,0.3125
225,0.31111
226,0.30973
227,0.31278
228,0.3114
229,0.31441
230,0.31304
231,0.31602
232,0.31897
233,0.32189
234,0.32479
235,0.32766
236,0.32627
237,0.32911
238,0.32773
239,0.32636
240,0.325
241,0.32365
242,0.32231
243,0.32099
244,0.32377
245,0.32653
246,0.32927
247,0.33198
248,0.33065
249,0.33333
250,0.332
251,0.33068
252,0.32937
253,0.33202
254,0.33071
255,0.33333
256,0.33203
257,0.33463
258,0.33333
259,0.33205
260,0.33077
261,0.33333
262,0.33206
263,0.3346
264,0.33712
265,0.33962
266,0.33835
267,0.33708
268,0.33955
269,0.34201
270,0.34444
271,0.34317
272,0.34559
273,0.34799
274,0.35036
275,0.34909
276,0.35145
277,0.35018
278,0.35252
279,0.35125
280,0.35357
281,0.35231
282,0.35461
283,0.35336
284,0.35563
285,0.35439
286,0.35315
287,0.35192
288,0.35069
289,0.35294
290,0.35172
291,0.35052
292,0.35274
293,0.35495
294,0.35714
295,0.35593
296,0.35473
297,0.35354
298,0.35235
299,0.35117
300,0.35333
301,0.35216
302,0.3543
303,0.35314
304,0.35197
305,0.35082
306,0.34967
307,0.35179
308,0.3539
309,0.35275
310,0.35161
311,0.35048
312,0.34936
313,0.35144
314,0.35032
315,0.35238
316,0.35127
317,0.35016
318,0.34906
319,0.3511
320,0.35
321,0.34891
322,0.35093
323,0.34985
324,0.34877
325,0.35077
326,0.35276
327,0.35168
328,0.35061
329,0.35258
330,0.35455
331,0.35347
332,0.35241
333,0.35435
334,0.35329
335,0.35522
336,0.35714
337,0.35905
338,0.36095
339,0.35988
340,0.35882
341,0.35777
342,0.35673
343,0.3586
344,0.35756
345,0.35942
346,0.35838
347,0.35735
348,0.35632
349,0.35817
350,0.36
351,0.36182
352,0.3608
353,0.36261
354,0.36158
355,0.36056
356,0.35955
357,0.35854
358,0.35754
359,0.35655
360,0.35833
361,0.35734
362,0.35912
363,0.35813
364,0.35714
365,0.35616
366,0.35792
367,0.35967
368,0.36141
369,0.36314
370,0.36486
371,0.36658
372,0.36828
373,0.36997
374,0.37166
375,0.37067
376,0.36968
377,0.37135
378,0.37037
379,0.36939
380,0.37105
381,0.3727
382,0.37435
383,0.37337
384,0.3724
385,0.37403
386,0.37565
387,0.37726
388,0.37887
389,0.37789
