games_played,spy_win_ratio
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.83333
7,0.85714
8,0.875
9,0.88889
10,0.9
11,0.90909
12,0.91667
13,0.92308
14,0.92857
15,0.93333
16,0.9375
17,0.94118
18,0.94444
19,0.94737
20,0.95
21,0.95238
22,0.95455
23,0.95652
24,0.95833
25,0.92
26,0.92308
27,0.92593
28,0.92857
29,0.89655
30,0.86667
31,0.83871
32,0.84375
33,0.84848
34,0.85294
35,0.82857
36,0.83333
37,0.83784
38,0.84211
39,0.84615
40,0.85
41,0.82927
42,0.83333
43,0.83721
44,0.84091
45,0.84444
46,0.82609
47,0.80851
48,0.79167
49,0.77551
50,0.78
51,0.78431
52,0.78846
53,0.79245
54,0.7963
55,0.8
56,0.80357
57,0.78947
58,0.7931
59,0.79661
60,0.8
61,0.80328
62,0.79032
63,0.77778
64,0.78125
65,0.78462
66,0.78788
67,0.79104
68,0.79412
69,0.7971
70,0.8
71,0.80282
72,0.80556
73,0.79452
74,0.78378
75,0.78667
76,0.78947
77,0.79221
78,0.78205
79,0.78481
80,0.7875
81,0.79012
82,0.78049
83,0.78313
84,0.78571
85,0.78824
86,0.7907
87,0.7931
88,0.79545
89,0.79775
90,0.78889
91,0.79121
92,0.79348
93,0.7957
94,0.79787
95,0.8
96,0.80208
97,0.80412
98,0.80612
99,0.79798
100,0.8
101,0.80198
102,0.80392
103,0.80583
104,0.79808
105,0.8
106,0.80189
107,0.80374
108,0.80556
109,0.79817
110,0.79091
111,0.78378
112,0.77679
113,0.77876
114,0.7807
115,0.77391
116,0.77586
117,0.77778
118,0.77966
119,0.78151
120,0.78333
121,0.78512
122,0.77869
123,0.78049
124,0.78226
125,0.784
126,0.78571
127,0.77953
128,0.78125
129,0.78295
130,0.78462
131,0.78626
132,0.78788
133,0.78947
134,0.78358
135,0.78519
136,0.78676
137,0.78102
138,0.78261
139,0.78417
140,0.77857
141,0.78014
142,0.78169
143,0.78322
144,0.78472
145,0.78621
146,0.78767
147,0.78912
148,0.78378
149,0.78523
150,0.78667
151,0.78146
152,0.78289
153,0.78431
154,0.78571
155,0.7871
156,0.78846
157,0.78981
158,0.78481
159,0.78616
160,0.7875
161,0.78261
162,0.77778
163,0.77301
164,0.77439
165,0.77576
166,0.77711
167,0.77844
168,0.77381
169,0.77515
170,0.77059
171,0.77193
172,0.76744
173,0.76879
174,0.76437
175,0.76571
