games_played,win_ratio
1,0.0
2,0.0
3,0.33333
4,0.25
5,0.2
6,0.33333
7,0.28571
8,0.375
9,0.44444
10,0.4
11,0.36364
12,0.33333
13,0.30769
14,0.35714
15,0.33333
16,0.3125
17,0.35294
18,0.33333
19,0.31579
20,0.3
21,0.28571
22,0.27273
23,0.30435
24,0.33333
25,0.36
26,0.34615
27,0.33333
28,0.32143
29,0.34483
30,0.33333
31,0.32258
32,0.3125
33,0.30303
34,0.32353
35,0.34286
36,0.33333
37,0.32432
38,0.31579
39,0.30769
40,0.3
41,0.31707
42,0.30952
43,0.32558
44,0.31818
45,0.33333
46,0.32609
47,0.34043
48,0.35417
49,0.36735
50,0.38
51,0.39216
52,0.40385
53,0.41509
54,0.40741
55,0.4
56,0.39286
57,0.38596
58,0.37931
59,0.37288
60,0.38333
61,0.39344
62,0.3871
63,0.38095
64,0.375
65,0.38462
66,0.37879
67,0.38806
68,0.39706
69,0.3913
70,0.4
71,0.39437
72,0.40278
73,0.39726
74,0.39189
75,0.38667
76,0.38158
77,0.38961
78,0.38462
79,0.37975
80,0.375
81,0.38272
82,0.37805
83,0.38554
84,0.38095
85,0.37647
86,0.37209
87,0.37931
88,0.38636
89,0.39326
90,0.38889
91,0.38462
92,0.38043
93,0.3871
94,0.38298
95,0.37895
96,0.375
97,0.37113
98,0.36735
99,0.36364
100,0.36
101,0.35644
102,0.36275
103,0.36893
104,0.375
105,0.37143
106,0.36792
107,0.37383
108,0.37037
109,0.37615
110,0.37273
111,0.37838
112,0.38393
113,0.38938
114,0.39474
115,0.4
116,0.40517
117,0.41026
118,0.41525
119,0.41176
120,0.40833
121,0.41322
122,0.40984
123,0.41463
124,0.41129
125,0.416
126,0.4127
127,0.40945
128,0.40625
129,0.4031
130,0.4
131,0.39695
132,0.40152
133,0.3985
134,0.39552
135,0.39259
136,0.39706
137,0.39416
138,0.39855
139,0.39568
140,0.4
141,0.39716
142,0.40141
143,0.3986
144,0.40278
145,0.4069
146,0.41096
147,0.41497
148,0.41216
149,0.4094
150,0.40667
151,0.40397
152,0.40132
153,0.39869
154,0.4026
155,0.4
156,0.40385
157,0.40764
158,0.41139
159,0.41509
160,0.41875
161,0.41615
162,0.41358
163,0.41104
164,0.40854
165,0.40606
166,0.40361
167,0.40719
168,0.40476
169,0.40828
170,0.40588
171,0.40351
172,0.40116
173,0.40462
174,0.4023
175,0.4
176,0.40341
177,0.40678
178,0.40449
179,0.40223
180,0.4
181,0.39779
182,0.3956
183,0.39891
184,0.40217
185,0.40541
186,0.4086
187,0.40642
188,0.40957
189,0.4127
190,0.41053
191,0.41361
192,0.41146
193,0.40933
194,0.40722
195,0.40513
196,0.40306
197,0.40102
198,0.40404
199,0.40201
200,0.4
201,0.40299
202,0.40594
203,0.40887
204,0.41176
205,0.40976
206,0.40777
207,0.4058
208,0.40385
209,0.4067
210,0.40476
211,0.40284
212,0.40094
213,0.39906
214,0.3972
215,0.4
