games_played,spy_win_ratio
1,0.0
2,0.5
3,0.66667
4,0.75
5,0.8
6,0.83333
7,0.85714
8,0.875
9,0.88889
10,0.9
11,0.90909
12,0.91667
13,0.92308
14,0.92857
15,0.93333
16,0.9375
17,0.94118
18,0.94444
19,0.94737
20,0.95
21,0.95238
22,0.95455
23,0.95652
24,0.95833
25,0.96
26,0.96154
27,0.96296
28,0.96429
29,0.96552
30,0.96667
31,0.96774
32,0.96875
33,0.9697
34,0.97059
35,0.97143
36,0.97222
37,0.97297
38,0.94737
39,0.94872
40,0.95
41,0.95122
42,0.95238
43,0.95349
44,0.95455
45,0.95556
46,0.95652
47,0.95745
48,0.95833
49,0.95918
50,0.96
51,0.96078
52,0.96154
53,0.96226
54,0.96296
55,0.96364
56,0.96429
57,0.96491
58,0.96552
59,0.9661
60,0.96667
61,0.96721
62,0.96774
63,0.96825
64,0.96875
65,0.96923
66,0.9697
67,0.97015
68,0.97059
69,0.97101
70,0.97143
71,0.97183
72,0.97222
73,0.9726
74,0.97297
75,0.97333
76,0.97368
77,0.97403
78,0.97436
79,0.97468
80,0.975
81,0.97531
82,0.97561
83,0.9759
84,0.97619
85,0.97647
86,0.97674
87,0.97701
88,0.97727
89,0.97753
90,0.97778
91,0.97802
92,0.97826
93,0.97849
94,0.97872
95,0.96842
96,0.96875
97,0.96907
98,0.96939
99,0.9697
100,0.97
101,0.9703
102,0.97059
103,0.97087
104,0.97115
105,0.97143
106,0.9717
107,0.97196
108,0.97222
109,0.97248
110,0.97273
111,0.97297
112,0.97321
113,0.97345
114,0.97368
115,0.97391
116,0.97414
117,0.97436
118,0.97458
119,0.97479
120,0.975
121,0.97521
122,0.97541
123,0.97561
124,0.97581
125,0.976
126,0.97619
127,0.97638
128,0.96875
129,0.96899
130,0.96923
131,0.96947
132,0.9697
133,0.96992
134,0.97015
135,0.97037
136,0.97059
137,0.9708
138,0.97101
139,0.97122
140,0.97143
141,0.97163
142,0.97183
143,0.97203
144,0.96528
145,0.96552
146,0.9589
147,0.95918
148,0.95946
149,0.95973
150,0.96
151,0.96026
152,0.96053
153,0.96078
154,0.96104
155,0.96129
156,0.96154
157,0.96178
158,0.96203
159,0.96226
160,0.9625
161,0.96273
162,0.96296
163,0.96319
164,0.96341
165,0.95758
166,0.95783
167,0.95808
168,0.95833
169,0.95858
170,0.95882
171,0.95322
172,0.95349
173,0.95376
174,0.95402
175,0.95429
176,0.95455
177,0.9548
178,0.95506
179,0.95531
180,0.95556
181,0.9558
182,0.95604
183,0.95628
184,0.95652
185,0.95676
186,0.95161
187,0.95187
188,0.95213
189,0.94709
190,0.94737
191,0.94764
192,0.94792
193,0.94819
194,0.94845
195,0.94872
196,0.94388
197,0.94416
198,0.94444
199,0.94472
200,0.945
201,0.94527
202,0.94554
203,0.94581
204,0.94608
205,0.94634
206,0.94175
207,0.94203
208,0.94231
209,0.94258
210,0.94286
211,0.94313
212,0.9434
213,0.94366
214,0.93925
215,0.93953
216,0.93981
217,0.94009
218,0.94037
219,0.94064
220,0.94091
221,0.94118
222,0.94144
223,0.9417
224,0.94196
225,0.94222
226,0.94248
227,0.94273
228,0.94298
229,0.93886
230,0.93913
231,0.93939
232,0.93966
233,0.93991
234,0.94017
235,0.94043
236,0.94068
237,0.94093
238,0.94118
239,0.94142
240,0.94167
241,0.94191
242,0.94215
243,0.94239
244,0.94262
245,0.94286
246,0.94309
247,0.94332
248,0.94355
249,0.94378
250,0.944
251,0.94422
252,0.94444
253,0.94466
254,0.94488
255,0.9451
256,0.94531
257,0.94163
258,0.94186
259,0.94208
260,0.94231
261,0.94253
262,0.94275
263,0.94297
264,0.93939
265,0.93962
266,0.93985
267,0.94007
268,0.9403
269,0.94052
270,0.94074
271,0.94096
272,0.94118
273,0.94139
274,0.94161
275,0.94182
276,0.94203
277,0.94224
278,0.94245
279,0.94265
280,0.94286
281,0.94306
282,0.94326
283,0.94346
284,0.94366
285,0.94386
286,0.94406
287,0.94425
288,0.94444
289,0.94464
290,0.94483
291,0.94502
292,0.94521
293,0.94539
294,0.94558
295,0.94576
296,0.94595
297,0.94613
298,0.94631
299,0.94649
300,0.94667
301,0.94684
302,0.94702
303,0.94719
304,0.94737
305,0.94754
306,0.94771
307,0.94788
308,0.94805
309,0.94822
310,0.94839
311,0.94855
312,0.94872
313,0.94888
314,0.94904
315,0.94921
316,0.94937
317,0.94953
318,0.94969
319,0.94984
320,0.95
321,0.95016
322,0.95031
323,0.95046
324,0.95062
325,0.95077
326,0.95092
327,0.95107
328,0.95122
329,0.94833
330,0.94848
331,0.94864
332,0.94578
333,0.94595
334,0.94611
335,0.94627
336,0.94345
337,0.94362
338,0.94379
339,0.94395
340,0.94412
341,0.94428
342,0.94444
343,0.94461
344,0.94477
345,0.94493
346,0.94509
347,0.94524
348,0.9454
349,0.94556
350,0.94571
351,0.94587
352,0.94602
353,0.94618
354,0.94633
355,0.94648
356,0.94663
357,0.94678
358,0.94693
359,0.94708
360,0.94722
361,0.94737
362,0.94751
363,0.94766
364,0.94505
365,0.94521
366,0.94536
367,0.9455
368,0.94565
369,0.9458
370,0.94595
371,0.94609
372,0.94624
373,0.94638
374,0.94652
375,0.94667
376,0.94681
377,0.94695
378,0.94709
379,0.94723
380,0.94737
381,0.94751
382,0.94764
383,0.94778
384,0.94792
385,0.94805
386,0.94819
387,0.94832
388,0.94845
389,0.94859
390,0.94872
391,0.94885
392,0.94898
393,0.94911
394,0.94924
395,0.94937
396,0.94949
397,0.94962
398,0.94975
399,0.94987
400,0.95
401,0.95012
402,0.95025
403,0.95037
404,0.9505
405,0.95062
406,0.95074
407,0.95086
408,0.95098
409,0.9511
410,0.95122
411,0.95134
412,0.95146
413,0.95157
414,0.95169
415,0.95181
416,0.95192
417,0.95204
418,0.95215
419,0.95227
420,0.95238
421,0.95249
422,0.95261
423,0.95272
424,0.95283
425,0.95294
426,0.95305
427,0.95316
428,0.95327
429,0.95338
430,0.95349
431,0.9536
432,0.9537
433,0.9515
434,0.94931
435,0.94943
436,0.94954
437,0.94966
438,0.94977
439,0.94989
440,0.95
441,0.95011
442,0.95023
443,0.95034
444,0.95045
445,0.95056
446,0.95067
447,0.95078
448,0.95089
449,0.951
450,0.95111
451,0.95122
452,0.95133
453,0.95143
454,0.95154
455,0.95165
456,0.95175
457,0.95186
458,0.95197
459,0.95207
460,0.95217
461,0.95011
462,0.95022
463,0.95032
464,0.95043
465,0.95054
466,0.95064
467,0.95075
468,0.95085
469,0.95096
470,0.95106
471,0.95117
472,0.95127
473,0.95137
474,0.95148
475,0.95158
476,0.95168
477,0.95178
478,0.95188
479,0.95198
480,0.95208
481,0.9501
482,0.95021
483,0.95031
484,0.95041
485,0.95052
486,0.95062
487,0.95072
488,0.95082
489,0.95092
490,0.95102
491,0.95112
492,0.95122
493,0.95132
494,0.95142
495,0.95152
496,0.95161
497,0.95171
498,0.95181
499,0.9519
500,0.952
501,0.9521
502,0.95219
503,0.9503
504,0.9504
505,0.94851
506,0.94862
507,0.94872
508,0.94882
509,0.94892
510,0.94902
511,0.94912
512,0.94922
513,0.94932
514,0.94942
515,0.94951
516,0.94961
517,0.94971
518,0.94981
519,0.9499
520,0.95
521,0.9501
522,0.95019
523,0.95029
524,0.95038
525,0.95048
526,0.95057
527,0.95066
528,0.95076
529,0.95085
530,0.95094
531,0.95104
532,0.95113
533,0.95122
534,0.95131
535,0.9514
536,0.95149
537,0.95158
538,0.95167
539,0.95176
540,0.95185
541,0.95194
542,0.95203
543,0.95212
544,0.95221
545,0.95229
546,0.95238
547,0.95247
548,0.95255
549,0.95264
550,0.95273
551,0.95281
552,0.9529
553,0.95298
554,0.95307
555,0.95315
556,0.95324
557,0.95332
558,0.95341
559,0.95349
560,0.95357
561,0.95365
562,0.95374
563,0.95382
564,0.9539
565,0.95398
566,0.95406
567,0.95414
568,0.95423
569,0.95431
570,0.95439
571,0.95447
572,0.95455
573,0.95462
574,0.9547
575,0.95478
576,0.95486
577,0.95494
578,0.95502
579,0.95509
580,0.95517
581,0.95525
582,0.95533
583,0.9554
584,0.95548
585,0.95556
586,0.95563
587,0.95571
588,0.95578
589,0.95586
590,0.95593
591,0.95601
592,0.95608
593,0.95616
594,0.95623
595,0.9563
596,0.95638
597,0.95645
598,0.95652
599,0.95659
600,0.95667
601,0.95674
602,0.95681
603,0.95688
604,0.95695
605,0.95702
606,0.9571
607,0.95717
608,0.95724
609,0.95731
610,0.95738
611,0.95745
612,0.95752
613,0.95759
614,0.95765
615,0.95772
616,0.95779
617,0.95786
618,0.95793
619,0.958
620,0.95806
621,0.95813
622,0.9582
623,0.95827
624,0.95833
625,0.9584
626,0.95847
627,0.95853
628,0.9586
629,0.95866
630,0.95873
631,0.9588
632,0.95886
633,0.95893
634,0.95899
635,0.95906
636,0.95912
637,0.95918
638,0.95925
639,0.95931
640,0.95781
641,0.95788
642,0.95794
643,0.95801
644,0.95807
645,0.95814
646,0.9582
647,0.95827
648,0.95833
649,0.9584
650,0.95846
651,0.95853
652,0.95859
653,0.95865
654,0.95872
655,0.95878
656,0.95884
657,0.9589
658,0.95897
659,0.95903
660,0.95909
661,0.95915
662,0.95921
663,0.95928
664,0.95934
665,0.9594
666,0.95946
667,0.95952
668,0.95958
669,0.95964
670,0.9597
671,0.95976
672,0.95982
673,0.95988
674,0.95994
675,0.96
676,0.96006
677,0.96012
678,0.96018
679,0.96024
680,0.96029
681,0.96035
682,0.96041
683,0.96047
684,0.96053
685,0.96058
686,0.96064
687,0.9607
688,0.96076
689,0.96081
690,0.96087
691,0.96093
692,0.95954
693,0.9596
694,0.95965
695,0.95971
696,0.95977
697,0.95839
698,0.95702
699,0.95708
700,0.95714
701,0.9572
702,0.95726
703,0.95733
704,0.95739
705,0.95603
706,0.95609
707,0.95615
708,0.95621
709,0.95628
710,0.95634
711,0.9564
712,0.95646
713,0.95652
714,0.95658
715,0.95664
716,0.9567
717,0.95676
718,0.95682
719,0.95688
720,0.95694
721,0.957
722,0.95706
723,0.95712
724,0.95718
725,0.95724
726,0.9573
727,0.95736
728,0.95742
729,0.95748
730,0.95753
731,0.95759
732,0.95765
733,0.95771
734,0.95777
735,0.95782
736,0.95788
737,0.95794
738,0.95799
739,0.95805
740,0.95811
741,0.95682
742,0.95553
743,0.95559
744,0.95565
745,0.9557
746,0.95576
747,0.95582
748,0.95588
749,0.95594
750,0.956
751,0.95606
752,0.95612
753,0.95618
754,0.95623
755,0.95629
756,0.95635
757,0.95641
758,0.95646
759,0.95652
760,0.95658
761,0.95664
762,0.95669
763,0.95675
764,0.95681
765,0.95686
766,0.95692
767,0.95698
768,0.95703
769,0.95709
770,0.95714
771,0.9559
772,0.95596
773,0.95602
774,0.95478
775,0.95484
776,0.9549
777,0.95495
778,0.95501
779,0.95507
780,0.95513
781,0.95519
782,0.95524
783,0.9553
784,0.95536
785,0.95541
786,0.95547
787,0.95553
788,0.95558
789,0.95564
790,0.9557
791,0.95575
792,0.95581
793,0.95586
794,0.95592
795,0.95597
796,0.95603
797,0.95609
798,0.95614
799,0.95494
800,0.955
801,0.95506
802,0.95511
803,0.95517
804,0.95522
805,0.95528
806,0.95533
807,0.95539
808,0.95545
809,0.9555
810,0.95556
811,0.95561
812,0.95567
813,0.95572
814,0.95577
815,0.95583
816,0.95588
817,0.95594
818,0.95599
819,0.95604
820,0.9561
821,0.95493
822,0.95499
823,0.95504
824,0.9551
825,0.95515
826,0.95521
827,0.95526
828,0.95531
829,0.95537
830,0.95542
831,0.95548
832,0.95553
833,0.95558
834,0.95564
835,0.95569
836,0.95574
837,0.95579
838,0.95585
839,0.9559
840,0.95595
841,0.956
842,0.95606
843,0.95611
844,0.95616
845,0.95621
846,0.95626
847,0.95632
848,0.95637
849,0.95642
850,0.95647
851,0.95652
852,0.95657
853,0.95662
854,0.95667
855,0.95673
856,0.95678
857,0.95683
858,0.95688
859,0.95693
860,0.95698
861,0.95703
862,0.95708
863,0.95713
864,0.95718
865,0.95723
866,0.95727
867,0.95732
868,0.95737
869,0.95742
870,0.95747
871,0.95752
872,0.95757
873,0.95762
874,0.95767
875,0.95771
876,0.95776
877,0.95781
878,0.95786
879,0.95677
880,0.95682
881,0.95687
882,0.95692
883,0.95696
884,0.95588
885,0.95593
886,0.95598
887,0.95603
888,0.95608
889,0.95613
890,0.95618
891,0.95623
892,0.95628
893,0.95633
894,0.95638
895,0.95642
896,0.95536
897,0.95541
898,0.95434
899,0.95439
900,0.95333
901,0.95339
902,0.95344
903,0.95349
904,0.95354
905,0.95359
906,0.95254
907,0.95259
908,0.95264
909,0.9527
910,0.95275
911,0.9528
912,0.95285
913,0.9529
914,0.95295
915,0.95301
916,0.95306
917,0.95311
918,0.95316
919,0.95321
920,0.95326
921,0.95331
922,0.95336
923,0.95341
924,0.95346
925,0.95351
926,0.95356
927,0.95361
928,0.95366
929,0.95371
930,0.95376
931,0.95381
932,0.95386
933,0.95391
934,0.95396
935,0.95401
936,0.95406
937,0.95411
938,0.95416
939,0.95421
940,0.95426
941,0.9543
942,0.95329
943,0.95334
944,0.95339
945,0.95344
946,0.95349
947,0.95354
948,0.95359
949,0.95364
950,0.95368
951,0.95373
952,0.95378
953,0.95383
954,0.95388
955,0.95393
956,0.95397
957,0.95402
958,0.95407
959,0.95412
960,0.95417
961,0.95421
962,0.95426
963,0.95431
964,0.95436
965,0.9544
966,0.95445
967,0.9545
968,0.95351
969,0.95253
970,0.95258
971,0.95263
972,0.95267
973,0.95272
974,0.95175
975,0.95179
976,0.95184
977,0.95189
978,0.95194
979,0.95199
980,0.95204
981,0.95209
982,0.95214
983,0.95219
984,0.95224
985,0.95228
986,0.95233
987,0.95238
988,0.95243
989,0.95248
990,0.95253
991,0.95257
992,0.95262
993,0.95267
994,0.95272
995,0.95276
996,0.95281
997,0.95186
998,0.9519
999,0.95195
1000,0.952
1001,0.95205
1002,0.9521
1003,0.95214
1004,0.95219
1005,0.95224
1006,0.95229
1007,0.95233
1008,0.95238
1009,0.95243
1010,0.95248
1011,0.95252
1012,0.95257
1013,0.95262
1014,0.95266
1015,0.95271
1016,0.95276
1017,0.9528
1018,0.95285
1019,0.95289
1020,0.95294
1021,0.95299
1022,0.95303
1023,0.95308
1024,0.95312
1025,0.95317
1026,0.95322
1027,0.95326
1028,0.95331
1029,0.95335
1030,0.9534
1031,0.95344
1032,0.95349
1033,0.95353
1034,0.95358
1035,0.95362
1036,0.9527
1037,0.95275
1038,0.95279
1039,0.95284
1040,0.95192
1041,0.95197
1042,0.95202
1043,0.95206
1044,0.95211
1045,0.95215
1046,0.9522
1047,0.95224
1048,0.95229
1049,0.95234
1050,0.95238
1051,0.95243
1052,0.95247
1053,0.95252
1054,0.95256
1055,0.95261
1056,0.95265
1057,0.9527
1058,0.95274
1059,0.95279
1060,0.95283
1061,0.95287
1062,0.95292
1063,0.95296
1064,0.95301
1065,0.95305
1066,0.9531
1067,0.95314
1068,0.95318
1069,0.95323
1070,0.95327
1071,0.95331
1072,0.95336
1073,0.9534
1074,0.95345
1075,0.95349
1076,0.95353
1077,0.95357
1078,0.95362
1079,0.95273
1080,0.95278
1081,0.95282
1082,0.95287
1083,0.95291
1084,0.95295
1085,0.953
1086,0.95304
1087,0.95308
1088,0.95312
1089,0.95317
1090,0.95321
1091,0.95325
1092,0.9533
1093,0.95334
1094,0.95338
1095,0.95342
1096,0.95347
1097,0.95351
1098,0.95355
1099,0.95359
1100,0.95273
1101,0.95277
1102,0.95281
1103,0.95286
1104,0.9529
1105,0.95294
1106,0.95298
1107,0.95303
1108,0.95307
1109,0.95311
1110,0.95315
1111,0.9532
1112,0.95324
1113,0.95328
1114,0.95332
1115,0.95336
1116,0.95341
1117,0.95345
1118,0.95349
1119,0.95353
1120,0.95357
1121,0.95272
1122,0.95276
1123,0.9528
1124,0.95285
1125,0.95289
1126,0.95293
1127,0.95297
1128,0.95301
1129,0.95306
1130,0.9531
1131,0.95314
1132,0.95318
1133,0.95322
1134,0.95326
1135,0.9533
1136,0.95335
1137,0.95339
1138,0.95343
1139,0.95347
1140,0.95351
1141,0.95355
1142,0.95359
1143,0.95363
1144,0.95367
1145,0.95371
1146,0.95375
1147,0.95379
1148,0.95383
1149,0.95387
1150,0.95391
1151,0.95395
1152,0.95312
1153,0.95317
1154,0.95321
1155,0.95325
1156,0.95329
