games_played,win_ratio
1,0.0
2,0.5
3,0.33333
4,0.5
5,0.4
6,0.5
7,0.42857
8,0.375
9,0.33333
10,0.4
11,0.45455
12,0.41667
13,0.38462
14,0.35714
15,0.33333
16,0.375
17,0.35294
18,0.33333
19,0.36842
20,0.4
21,0.42857
22,0.45455
23,0.43478
24,0.41667
25,0.4
26,0.42308
27,0.40741
28,0.39286
29,0.37931
30,0.36667
31,0.35484
32,0.375
33,0.36364
34,0.35294
35,0.37143
36,0.38889
37,0.37838
38,0.39474
39,0.41026
40,0.4
41,0.39024
42,0.38095
43,0.39535
44,0.40909
45,0.4
46,0.41304
47,0.40426
48,0.39583
49,0.40816
50,0.4
51,0.41176
52,0.42308
53,0.41509
54,0.42593
55,0.41818
56,0.42857
57,0.42105
58,0.43103
59,0.42373
60,0.41667
61,0.42623
62,0.43548
63,0.42857
64,0.42188
65,0.41538
66,0.42424
67,0.43284
68,0.42647
69,0.43478
70,0.42857
71,0.43662
72,0.44444
73,0.45205
74,0.45946
75,0.46667
76,0.46053
77,0.45455
78,0.46154
79,0.4557
80,0.4625
81,0.45679
82,0.46341
83,0.45783
84,0.46429
85,0.45882
86,0.45349
87,0.44828
88,0.44318
89,0.4382
90,0.44444
91,0.45055
92,0.45652
93,0.46237
94,0.46809
95,0.46316
96,0.46875
97,0.47423
98,0.46939
99,0.47475
100,0.47
101,0.47525
102,0.47059
103,0.46602
104,0.46154
105,0.46667
106,0.4717
107,0.46729
108,0.46296
109,0.45872
110,0.46364
111,0.45946
112,0.46429
113,0.46018
114,0.45614
115,0.46087
116,0.4569
117,0.46154
118,0.45763
119,0.45378
120,0.45
121,0.44628
122,0.45082
123,0.45528
124,0.45161
125,0.456
126,0.45238
127,0.44882
128,0.45312
129,0.44961
130,0.44615
131,0.44275
132,0.44697
133,0.45113
134,0.45522
135,0.45185
136,0.44853
137,0.45255
138,0.44928
139,0.45324
140,0.45
141,0.4539
142,0.4507
143,0.45455
144,0.45139
145,0.45517
146,0.4589
147,0.45578
148,0.4527
149,0.45638
150,0.45333
151,0.45695
152,0.46053
153,0.46405
154,0.46104
155,0.45806
156,0.45513
157,0.45223
158,0.4557
159,0.45912
160,0.45625
161,0.45963
162,0.46296
163,0.46626
164,0.46951
165,0.46667
166,0.46988
167,0.46707
168,0.46429
169,0.46154
170,0.45882
171,0.45614
172,0.45349
173,0.45665
174,0.45402
175,0.45143
176,0.44886
177,0.44633
178,0.44944
179,0.44693
180,0.44444
181,0.44199
182,0.44505
183,0.44262
184,0.44022
185,0.44324
186,0.44086
187,0.44385
188,0.44681
189,0.44444
190,0.44737
191,0.44503
192,0.44271
193,0.44041
194,0.4433
195,0.44103
196,0.43878
197,0.43655
198,0.43939
199,0.44221
200,0.445
201,0.44776
202,0.44554
203,0.44335
204,0.44118
205,0.4439
206,0.4466
207,0.44444
208,0.44231
209,0.44498
210,0.44762
211,0.45024
212,0.44811
213,0.44601
214,0.44393
215,0.44651
216,0.44444
217,0.447
218,0.44495
219,0.44749
220,0.45
221,0.45249
222,0.45045
223,0.44843
224,0.45089
225,0.44889
226,0.4469
227,0.44934
228,0.44737
229,0.44978
230,0.44783
231,0.44589
232,0.44397
233,0.44635
234,0.44872
235,0.45106
236,0.44915
237,0.45148
238,0.44958
239,0.45188
240,0.45
241,0.45228
242,0.45041
243,0.44856
244,0.45082
245,0.44898
246,0.45122
247,0.45344
248,0.45565
249,0.45382
250,0.456
251,0.45418
252,0.45635
253,0.45455
254,0.45669
255,0.4549
256,0.45703
257,0.45914
258,0.45736
259,0.45946
260,0.45769
261,0.45977
262,0.46183
263,0.46388
264,0.46591
265,0.46792
266,0.46992
267,0.46816
268,0.46642
269,0.46468
270,0.46296
271,0.46125
272,0.46324
273,0.4652
274,0.4635
275,0.46182
276,0.46377
277,0.46209
278,0.46043
279,0.45878
280,0.45714
281,0.45907
282,0.45745
283,0.45936
284,0.46127
285,0.46316
286,0.46154
287,0.46341
288,0.46528
289,0.46367
290,0.46552
291,0.46735
292,0.46918
293,0.46758
294,0.46939
295,0.47119
296,0.46959
297,0.46801
298,0.4698
299,0.46823
300,0.46667
301,0.46844
302,0.46689
303,0.46865
304,0.46711
305,0.46885
306,0.46732
307,0.4658
308,0.46753
309,0.46602
310,0.46774
311,0.46945
312,0.46795
313,0.46965
314,0.46815
315,0.46984
316,0.47152
317,0.47003
318,0.46855
319,0.47022
320,0.47187
321,0.4704
322,0.46894
323,0.47059
324,0.47222
325,0.47385
326,0.47546
327,0.47401
328,0.47256
329,0.47112
330,0.47273
331,0.4713
332,0.46988
333,0.46847
334,0.47006
335,0.46866
336,0.47024
337,0.47181
338,0.47041
339,0.46903
340,0.46765
341,0.46921
342,0.47076
343,0.46939
344,0.46802
345,0.46667
346,0.46532
347,0.46398
348,0.46552
349,0.46705
350,0.46571
351,0.46724
352,0.46875
353,0.46742
354,0.46893
355,0.46761
356,0.4691
357,0.46779
358,0.46648
359,0.46797
360,0.46944
361,0.46814
362,0.46685
363,0.46556
364,0.46703
365,0.46849
366,0.46995
367,0.46866
368,0.46739
369,0.46612
370,0.46757
371,0.46631
372,0.46505
373,0.46381
374,0.46257
375,0.46133
376,0.46011
377,0.45889
378,0.45767
379,0.45646
380,0.45526
381,0.45669
382,0.45812
383,0.45692
384,0.45833
385,0.45714
386,0.45596
387,0.45478
388,0.45619
389,0.45501
390,0.45385
391,0.45269
392,0.45408
393,0.45293
394,0.45178
395,0.45316
396,0.45202
397,0.4534
398,0.45477
399,0.45614
400,0.455
401,0.45636
402,0.45522
403,0.45409
404,0.45545
405,0.45432
406,0.4532
407,0.45209
408,0.45098
409,0.44988
410,0.45122
411,0.45012
412,0.44903
413,0.44794
414,0.44686
415,0.44819
416,0.44712
417,0.44604
418,0.44737
419,0.4463
420,0.44762
421,0.44656
422,0.44787
423,0.44681
424,0.44811
425,0.44706
426,0.44601
427,0.44731
428,0.4486
429,0.44755
430,0.44651
431,0.44548
432,0.44444
433,0.44342
434,0.4424
435,0.44368
436,0.44495
437,0.44622
438,0.44749
439,0.44647
440,0.44545
441,0.44444
442,0.44344
443,0.44244
444,0.44369
445,0.44494
446,0.44395
447,0.44519
448,0.4442
449,0.44543
450,0.44667
451,0.44789
452,0.4469
453,0.44592
454,0.44714
455,0.44615
456,0.44518
457,0.44639
458,0.44541
459,0.44662
460,0.44783
461,0.44685
462,0.44589
463,0.44492
464,0.44612
465,0.44516
466,0.44421
467,0.4454
468,0.44444
469,0.4435
470,0.44255
471,0.44161
472,0.4428
473,0.44186
474,0.44093
475,0.44211
476,0.44118
477,0.44235
478,0.44351
479,0.44259
480,0.44375
481,0.44491
482,0.44398
483,0.44306
484,0.44215
485,0.4433
486,0.44239
487,0.44148
488,0.44057
489,0.44172
490,0.44286
491,0.44196
492,0.44106
493,0.44219
494,0.4413
495,0.4404
496,0.43952
497,0.43863
498,0.43775
499,0.43888
500,0.438
501,0.43912
502,0.44024
503,0.44135
504,0.44246
505,0.44356
506,0.44269
507,0.44181
508,0.44291
509,0.44204
510,0.44118
511,0.44031
512,0.43945
513,0.4386
514,0.43969
515,0.44078
516,0.43992
517,0.43907
518,0.43822
519,0.43738
520,0.43654
521,0.43762
522,0.43678
523,0.43786
524,0.43893
525,0.4381
526,0.43726
527,0.43643
528,0.4375
529,0.43667
530,0.43585
531,0.43691
532,0.43609
533,0.43715
534,0.43633
535,0.43551
536,0.43657
537,0.43762
538,0.4368
539,0.43599
540,0.43704
541,0.43623
542,0.43542
543,0.43462
544,0.43566
545,0.43486
546,0.4359
547,0.43693
548,0.43796
549,0.43716
550,0.43818
551,0.4392
552,0.44022
553,0.43942
554,0.44043
555,0.43964
556,0.44065
557,0.44165
558,0.44265
559,0.44186
560,0.44286
561,0.44207
562,0.44306
563,0.44405
564,0.44504
565,0.44602
566,0.447
567,0.44797
568,0.44718
569,0.44815
570,0.44912
571,0.45009
572,0.4493
573,0.45026
574,0.45122
575,0.45217
576,0.45139
577,0.45061
578,0.44983
579,0.44905
580,0.44828
581,0.44923
582,0.45017
583,0.4494
584,0.44863
585,0.44957
586,0.44881
587,0.44804
588,0.44728
589,0.44652
590,0.44746
591,0.4467
592,0.44764
593,0.44857
594,0.44781
595,0.44706
596,0.44799
597,0.44724
598,0.44649
599,0.44574
600,0.44667
601,0.44592
602,0.44518
603,0.44444
604,0.44536
605,0.44628
606,0.44719
607,0.44811
608,0.44901
609,0.44828
610,0.44918
611,0.44845
612,0.44771
613,0.44698
614,0.44625
615,0.44715
616,0.44805
617,0.44733
618,0.4466
619,0.44588
620,0.44516
621,0.44444
622,0.44373
623,0.44302
624,0.44231
625,0.4432
626,0.44409
627,0.44338
628,0.44268
629,0.44356
630,0.44444
631,0.44532
632,0.4462
633,0.4455
634,0.44479
635,0.44567
636,0.44654
637,0.44741
638,0.44828
639,0.44757
640,0.44844
641,0.4493
642,0.45016
643,0.45101
644,0.45186
645,0.45116
646,0.45046
647,0.44977
648,0.45062
649,0.45146
650,0.45231
651,0.45161
652,0.45092
653,0.45023
654,0.44954
655,0.44885
656,0.44817
657,0.44749
658,0.44681
659,0.44613
660,0.44545
661,0.44478
662,0.44562
663,0.44646
664,0.44729
665,0.44662
666,0.44595
667,0.44528
668,0.44461
669,0.44395
670,0.44478
671,0.44411
672,0.44345
673,0.44279
674,0.44362
675,0.44296
676,0.44379
677,0.44461
678,0.44543
679,0.44624
680,0.44706
681,0.44787
682,0.44721
683,0.44656
684,0.44591
685,0.44526
686,0.44606
687,0.44541
688,0.44477
689,0.44557
690,0.44493
691,0.44428
692,0.44509
693,0.44589
694,0.44524
695,0.4446
696,0.44397
697,0.44333
698,0.44413
699,0.44349
700,0.44429
701,0.44508
702,0.44444
703,0.44381
704,0.44318
705,0.44255
706,0.44193
707,0.44272
708,0.44209
709,0.44288
710,0.44366
711,0.44304
712,0.44242
713,0.4418
714,0.44258
715,0.44336
716,0.44413
717,0.44491
718,0.44429
719,0.44367
720,0.44444
721,0.44521
722,0.44598
723,0.44675
724,0.44613
725,0.4469
726,0.44766
727,0.44842
728,0.4478
729,0.44856
730,0.44932
731,0.4487
732,0.44809
733,0.44884
734,0.44959
735,0.45034
736,0.45109
737,0.45183
738,0.45122
739,0.45196
740,0.45135
741,0.45074
742,0.45148
743,0.45087
744,0.45027
745,0.44966
746,0.44906
747,0.44846
748,0.4492
749,0.4486
750,0.448
751,0.44874
752,0.44814
753,0.44754
754,0.44695
755,0.44636
756,0.44709
757,0.4465
758,0.44723
759,0.44796
760,0.44737
761,0.44678
762,0.44619
763,0.44561
764,0.44503
765,0.44444
766,0.44517
767,0.44459
768,0.44531
769,0.44473
770,0.44416
771,0.44488
772,0.4443
773,0.44502
774,0.44444
775,0.44387
776,0.44459
777,0.44402
778,0.44344
779,0.44416
780,0.44359
781,0.4443
782,0.44501
783,0.44444
784,0.44515
785,0.44459
786,0.44402
787,0.44346
788,0.44289
789,0.44233
790,0.44177
791,0.44248
792,0.44192
793,0.44262
794,0.44207
795,0.44151
796,0.44221
797,0.44166
798,0.44236
799,0.44305
800,0.4425
801,0.44195
802,0.4414
803,0.44085
804,0.44154
805,0.44099
806,0.44169
807,0.44238
808,0.44183
809,0.44252
810,0.44321
811,0.4439
812,0.44335
813,0.44403
814,0.44472
815,0.44417
816,0.44363
817,0.44308
818,0.44377
819,0.44322
820,0.44268
821,0.44214
822,0.44282
823,0.4435
824,0.44296
825,0.44364
826,0.4431
827,0.44256
828,0.44324
829,0.4427
830,0.44217
831,0.44164
832,0.44231
833,0.44298
834,0.44365
835,0.44431
836,0.44378
837,0.44444
838,0.44391
839,0.44458
840,0.44405
841,0.44471
842,0.44537
843,0.44484
844,0.44431
845,0.44379
846,0.44326
847,0.44274
848,0.44222
849,0.4417
850,0.44118
851,0.44183
852,0.44249
853,0.44197
854,0.44145
855,0.44094
856,0.44042
857,0.44107
858,0.44056
859,0.44121
860,0.44186
861,0.44135
862,0.442
863,0.44148
864,0.44097
865,0.44046
866,0.43995
867,0.43945
868,0.44009
869,0.44074
870,0.44023
871,0.44087
872,0.44037
873,0.43986
874,0.43936
875,0.43886
876,0.4395
877,0.44014
878,0.44077
879,0.44141
880,0.44091
881,0.44041
882,0.43991
883,0.43941
884,0.43891
885,0.43955
886,0.44018
887,0.43968
888,0.44032
889,0.44094
890,0.44045
891,0.43996
892,0.44058
893,0.44009
894,0.44072
895,0.44022
896,0.43973
897,0.43924
898,0.43875
899,0.43938
900,0.44
901,0.44062
902,0.44124
903,0.44186
904,0.44248
905,0.44309
906,0.44371
907,0.44322
908,0.44383
909,0.44444
910,0.44396
911,0.44457
912,0.44408
913,0.44469
914,0.4442
915,0.44481
916,0.44432
917,0.44493
918,0.44444
919,0.44396
920,0.44348
921,0.443
922,0.44252
923,0.44204
924,0.44156
925,0.44108
926,0.44168
927,0.44121
928,0.44073
929,0.44026
930,0.43978
931,0.43931
932,0.43991
933,0.43944
934,0.44004
935,0.43957
936,0.44017
937,0.44077
938,0.4403
939,0.43983
940,0.44043
941,0.43996
942,0.44055
943,0.44008
944,0.44068
945,0.44021
946,0.4408
947,0.44034
948,0.43987
949,0.44046
950,0.44
951,0.43954
952,0.44013
953,0.43966
954,0.4392
955,0.43874
956,0.43828
957,0.43887
958,0.43841
959,0.439
960,0.43854
961,0.43809
962,0.43867
963,0.43925
964,0.43983
965,0.44041
966,0.43996
967,0.44054
968,0.44008
969,0.43963
970,0.44021
971,0.44078
972,0.44033
973,0.4409
974,0.44148
975,0.44103
976,0.44057
977,0.44012
978,0.43967
979,0.43922
980,0.43878
981,0.43935
982,0.43992
983,0.44049
984,0.44004
985,0.44061
986,0.44016
987,0.43972
988,0.44028
989,0.43984
990,0.4404
991,0.44097
992,0.44052
993,0.44109
994,0.44064
995,0.4402
996,0.44076
997,0.44032
998,0.43988
999,0.43944
1000,0.44
1001,0.43956
1002,0.43912
1003,0.43868
1004,0.43825
1005,0.43881
1006,0.43936
1007,0.43992
1008,0.43948
1009,0.43905
1010,0.43861
1011,0.43818
1012,0.43775
1013,0.4383
1014,0.43787
1015,0.43842
1016,0.43799
1017,0.43756
1018,0.43811
1019,0.43768
1020,0.43725
1021,0.43781
1022,0.43836
1023,0.43793
1024,0.43848
1025,0.43902
1026,0.4386
1027,0.43914
1028,0.43872
1029,0.43829
1030,0.43786
1031,0.43841
1032,0.43798
1033,0.43756
1034,0.43714
1035,0.43768
1036,0.43822
1037,0.4378
1038,0.43738
1039,0.43792
1040,0.4375
1041,0.43708
1042,0.43666
1043,0.43624
1044,0.43582
1045,0.43636
1046,0.43595
1047,0.43553
1048,0.43607
1049,0.43661
1050,0.43714
1051,0.43673
1052,0.43631
1053,0.4359
1054,0.43548
1055,0.43507
1056,0.43466
1057,0.43519
1058,0.43478
1059,0.43437
1060,0.43491
1061,0.4345
1062,0.43503
1063,0.43462
1064,0.43421
1065,0.43474
1066,0.43433
1067,0.43393
1068,0.43446
1069,0.43405
1070,0.43364
1071,0.43417
1072,0.43377
1073,0.4343
1074,0.43482
1075,0.43442
1076,0.43494
1077,0.43454
1078,0.43506
1079,0.43559
1080,0.43611
1081,0.43571
1082,0.43623
1083,0.43583
1084,0.43635
1085,0.43687
1086,0.43738
1087,0.4379
1088,0.4375
1089,0.4371
1090,0.4367
1091,0.4363
1092,0.4359
1093,0.4355
1094,0.43601
1095,0.43653
1096,0.43704
1097,0.43665
1098,0.43625
1099,0.43585
1100,0.43545
1101,0.43597
1102,0.43648
1103,0.43699
1104,0.43659
1105,0.4362
1106,0.4358
1107,0.43541
1108,0.43502
1109,0.43463
1110,0.43514
1111,0.43564
1112,0.43525
1113,0.43486
1114,0.43447
1115,0.43498
1116,0.43459
1117,0.4342
1118,0.43381
1119,0.43342
1120,0.43304
1121,0.43265
1122,0.43226
1123,0.43277
1124,0.43238
1125,0.432
1126,0.43162
1127,0.43123
1128,0.43174
1129,0.43136
1130,0.43097
1131,0.43059
1132,0.43021
1133,0.43071
1134,0.43034
1135,0.43084
1136,0.43046
1137,0.43008
1138,0.4297
1139,0.42932
1140,0.42895
1141,0.42945
1142,0.42995
1143,0.42957
1144,0.43007
1145,0.43057
1146,0.43106
1147,0.43069
1148,0.43118
1149,0.43168
1150,0.43217
1151,0.4318
1152,0.43229
1153,0.43278
1154,0.43241
1155,0.43203
1156,0.43166
