games_played,res_win_ratio
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.01961
52,0.01923
53,0.01887
54,0.01852
55,0.01818
56,0.01786
57,0.01754
58,0.01724
59,0.01695
60,0.01667
61,0.01639
62,0.01613
63,0.03175
64,0.03125
65,0.03077
66,0.0303
67,0.02985
68,0.02941
69,0.02899
70,0.04286
71,0.04225
72,0.04167
73,0.0411
74,0.04054
75,0.04
76,0.03947
77,0.03896
78,0.03846
79,0.03797
80,0.0375
81,0.03704
82,0.03659
83,0.03614
84,0.03571
85,0.03529
86,0.03488
87,0.03448
88,0.03409
89,0.03371
90,0.03333
91,0.03297
92,0.03261
93,0.03226
94,0.03191
95,0.03158
96,0.03125
97,0.03093
98,0.03061
99,0.0303
100,0.03
101,0.0297
102,0.02941
103,0.02913
104,0.02885
105,0.02857
106,0.0283
107,0.02804
108,0.02778
109,0.02752
110,0.02727
111,0.02703
112,0.02679
113,0.02655
114,0.02632
115,0.02609
116,0.02586
117,0.02564
118,0.02542
119,0.02521
120,0.025
121,0.02479
122,0.02459
123,0.02439
124,0.02419
125,0.024
126,0.02381
127,0.02362
128,0.02344
129,0.02326
130,0.02308
131,0.0229
132,0.0303
133,0.03008
134,0.02985
135,0.02963
136,0.03676
137,0.0365
138,0.03623
139,0.03597
140,0.03571
141,0.03546
142,0.03521
143,0.03497
144,0.03472
145,0.03448
146,0.03425
147,0.03401
148,0.03378
149,0.03356
150,0.03333
151,0.03311
152,0.03289
153,0.03268
154,0.03247
155,0.03226
156,0.03205
157,0.03185
158,0.03797
159,0.03774
160,0.0375
161,0.03727
162,0.03704
163,0.03681
164,0.03659
165,0.03636
166,0.03614
167,0.03593
168,0.03571
169,0.0355
170,0.04118
171,0.04094
172,0.0407
173,0.04046
174,0.04023
175,0.04
176,0.03977
177,0.03955
178,0.03933
179,0.03911
180,0.03889
181,0.0442
182,0.04396
183,0.04372
184,0.04348
185,0.04324
186,0.04301
187,0.04278
188,0.04255
189,0.04762
190,0.04737
191,0.04712
192,0.04688
193,0.04663
194,0.04639
195,0.05128
196,0.05102
197,0.05584
198,0.05556
199,0.05528
200,0.055
201,0.05473
202,0.05446
203,0.05419
204,0.05392
205,0.05366
206,0.0534
207,0.05314
208,0.05288
209,0.05263
210,0.05238
211,0.05213
212,0.05189
213,0.05164
214,0.0514
215,0.05116
216,0.05093
217,0.05069
218,0.05046
219,0.05023
