games_played,spy_win_ratio
1,0.0
2,0.5
3,0.66667
4,0.75
5,0.8
6,0.83333
7,0.85714
8,0.875
9,0.88889
10,0.9
11,0.90909
12,0.91667
13,0.92308
14,0.92857
15,0.93333
16,0.9375
17,0.94118
18,0.94444
19,0.94737
20,0.95
21,0.95238
22,0.95455
23,0.95652
24,0.95833
25,0.96
26,0.96154
27,0.96296
28,0.96429
29,0.96552
30,0.96667
31,0.96774
32,0.96875
33,0.9697
34,0.97059
35,0.97143
36,0.97222
37,0.97297
38,0.97368
39,0.97436
40,0.975
41,0.97561
42,0.97619
43,0.97674
44,0.97727
45,0.97778
46,0.97826
47,0.97872
48,0.97917
49,0.97959
50,0.98
51,0.98039
52,0.98077
53,0.98113
54,0.98148
55,0.98182
56,0.98214
57,0.98246
58,0.98276
59,0.98305
60,0.98333
61,0.98361
62,0.98387
63,0.98413
64,0.98438
65,0.98462
66,0.98485
67,0.98507
68,0.98529
69,0.98551
70,0.98571
71,0.98592
72,0.98611
73,0.9863
74,0.98649
75,0.98667
76,0.98684
77,0.98701
78,0.98718
79,0.98734
80,0.9875
81,0.98765
82,0.9878
83,0.98795
84,0.9881
85,0.98824
86,0.98837
87,0.98851
88,0.98864
89,0.98876
90,0.98889
91,0.98901
92,0.98913
93,0.98925
94,0.98936
95,0.98947
96,0.98958
97,0.98969
98,0.9898
99,0.9899
100,0.99
101,0.9901
102,0.9902
103,0.99029
104,0.99038
105,0.99048
106,0.99057
107,0.99065
108,0.99074
109,0.99083
110,0.99091
111,0.99099
112,0.99107
113,0.99115
114,0.99123
115,0.9913
116,0.99138
117,0.99145
118,0.99153
119,0.9916
120,0.99167
121,0.99174
122,0.9918
123,0.99187
124,0.99194
125,0.992
126,0.99206
127,0.99213
128,0.99219
129,0.99225
130,0.99231
131,0.99237
132,0.99242
133,0.99248
134,0.99254
135,0.99259
136,0.99265
137,0.9927
138,0.99275
139,0.99281
140,0.99286
141,0.99291
142,0.99296
143,0.99301
144,0.99306
145,0.9931
146,0.99315
147,0.9932
148,0.99324
149,0.99329
150,0.99333
151,0.99338
152,0.99342
153,0.99346
154,0.99351
155,0.99355
156,0.99359
157,0.99363
158,0.99367
159,0.99371
160,0.99375
161,0.99379
162,0.99383
163,0.99387
164,0.9939
165,0.99394
166,0.99398
167,0.99401
168,0.99405
169,0.99408
170,0.99412
171,0.99415
172,0.99419
173,0.98844
174,0.98851
175,0.98857
176,0.98864
177,0.9887
178,0.98876
179,0.98883
180,0.98889
181,0.98895
182,0.98901
183,0.98907
184,0.98913
185,0.98919
186,0.98925
187,0.9893
188,0.98936
189,0.98942
190,0.98947
191,0.98953
192,0.98958
193,0.98964
194,0.98969
195,0.98974
196,0.98469
197,0.98477
198,0.98485
199,0.98492
200,0.985
201,0.98507
202,0.98515
203,0.98522
204,0.98039
205,0.98049
206,0.98058
207,0.98068
208,0.98077
209,0.98086
210,0.98095
211,0.98104
212,0.98113
213,0.98122
214,0.98131
215,0.9814
216,0.98148
217,0.98157
218,0.98165
219,0.98174
220,0.98182
221,0.9819
222,0.98198
223,0.98206
224,0.98214
225,0.98222
226,0.9823
227,0.98238
228,0.98246
229,0.98253
230,0.98261
231,0.98268
232,0.98276
233,0.98283
234,0.98291
235,0.98298
236,0.98305
237,0.98312
238,0.98319
239,0.98326
240,0.98333
241,0.9834
242,0.98347
243,0.98354
244,0.98361
245,0.97959
246,0.97967
247,0.97976
248,0.97984
249,0.9759
250,0.976
251,0.9761
252,0.97619
253,0.97628
254,0.97638
255,0.97647
256,0.97656
257,0.97665
258,0.97674
259,0.97683
260,0.97692
261,0.97701
262,0.9771
263,0.97719
264,0.97727
265,0.97736
266,0.97744
267,0.97753
268,0.97761
269,0.9777
270,0.97778
271,0.97786
272,0.97794
273,0.97802
274,0.9781
275,0.97818
276,0.97826
277,0.97834
278,0.97842
279,0.97849
280,0.97857
281,0.97865
282,0.97872
283,0.9788
284,0.97887
285,0.97895
286,0.97902
287,0.97909
288,0.97917
289,0.97924
290,0.97931
291,0.97938
292,0.97945
293,0.97952
294,0.97959
295,0.97966
296,0.97973
297,0.9798
298,0.97987
299,0.97993
300,0.98
301,0.98007
302,0.98013
303,0.9802
304,0.98026
305,0.98033
306,0.98039
307,0.98046
308,0.98052
309,0.98058
310,0.98065
311,0.98071
312,0.98077
313,0.98083
314,0.98089
315,0.98095
316,0.98101
317,0.98107
318,0.98113
319,0.98119
320,0.98125
321,0.98131
322,0.98137
323,0.98142
324,0.98148
325,0.98154
326,0.9816
327,0.98165
328,0.98171
329,0.98176
330,0.98182
331,0.98187
332,0.98193
333,0.98198
334,0.98204
335,0.98209
336,0.98214
337,0.9822
338,0.98225
339,0.9823
340,0.98235
341,0.9824
342,0.98246
343,0.98251
344,0.98256
345,0.98261
346,0.98266
347,0.98271
348,0.98276
349,0.98281
350,0.98286
351,0.98291
352,0.98295
353,0.983
354,0.98305
355,0.9831
356,0.98315
357,0.98319
358,0.98324
359,0.98329
360,0.98333
361,0.98338
362,0.98343
363,0.98347
364,0.98352
365,0.98356
366,0.98361
367,0.98365
368,0.9837
369,0.98374
370,0.98378
371,0.98383
372,0.98387
373,0.98391
374,0.98396
375,0.984
376,0.98404
377,0.98408
378,0.98413
379,0.98417
380,0.98421
381,0.98425
382,0.98429
383,0.98433
384,0.98438
385,0.98442
386,0.98446
387,0.9845
388,0.98454
389,0.98458
390,0.98462
391,0.98465
392,0.98469
393,0.98473
394,0.98477
395,0.98481
396,0.98485
397,0.98489
398,0.98492
399,0.98496
400,0.985
401,0.98504
402,0.98507
403,0.98511
404,0.98515
405,0.98519
406,0.98522
407,0.98526
408,0.98284
409,0.98289
410,0.98293
411,0.98297
412,0.98301
413,0.98305
414,0.98309
415,0.98072
416,0.98077
417,0.98082
418,0.98086
419,0.98091
420,0.98095
421,0.981
422,0.98104
423,0.98109
424,0.98113
425,0.98118
426,0.98122
427,0.98126
428,0.98131
429,0.98135
430,0.9814
431,0.98144
432,0.98148
433,0.98152
434,0.98157
435,0.98161
436,0.98165
437,0.98169
438,0.98174
439,0.98178
440,0.98182
441,0.98186
442,0.9819
443,0.98194
444,0.98198
445,0.98202
446,0.98206
447,0.9821
448,0.98214
449,0.98218
450,0.98222
451,0.98226
452,0.9823
453,0.98234
454,0.98238
455,0.98242
456,0.98246
457,0.98249
458,0.98253
459,0.98257
460,0.98261
461,0.98265
462,0.98268
463,0.98272
464,0.98276
465,0.9828
466,0.98283
467,0.98287
468,0.98291
469,0.98294
470,0.98298
471,0.98301
472,0.98305
473,0.98309
474,0.98312
475,0.98316
476,0.98319
477,0.98323
478,0.98326
479,0.9833
480,0.98125
481,0.98129
482,0.98133
483,0.98137
484,0.9814
485,0.98144
486,0.98148
487,0.98152
488,0.98156
489,0.9816
490,0.98163
491,0.98167
492,0.98171
493,0.98174
494,0.98178
495,0.98182
496,0.98185
497,0.98189
498,0.98193
499,0.98196
500,0.982
501,0.98204
502,0.98207
503,0.98211
504,0.98214
505,0.98218
506,0.98221
507,0.98225
508,0.98228
509,0.98232
510,0.98235
511,0.98239
512,0.98242
513,0.98246
514,0.98249
515,0.98252
516,0.98256
517,0.98259
518,0.98263
519,0.98266
520,0.98269
521,0.98273
522,0.98276
523,0.98279
524,0.98282
525,0.98286
526,0.98289
527,0.98102
528,0.98106
529,0.9811
530,0.97925
531,0.9774
532,0.97744
533,0.97749
534,0.97566
535,0.9757
536,0.97575
537,0.97579
538,0.97584
539,0.97588
540,0.97593
541,0.97597
542,0.97601
543,0.97606
544,0.9761
545,0.97615
546,0.97619
547,0.97623
548,0.97628
549,0.97632
550,0.97636
551,0.97641
552,0.97645
553,0.97649
554,0.97653
555,0.97658
556,0.97662
557,0.97666
558,0.9767
559,0.97674
560,0.97679
561,0.97683
562,0.97687
563,0.97691
564,0.97695
565,0.97699
566,0.97703
567,0.97707
568,0.97711
569,0.97715
570,0.97719
571,0.97723
572,0.97727
573,0.97731
574,0.97735
575,0.97739
576,0.97743
577,0.97574
578,0.97578
579,0.97582
580,0.97586
581,0.9759
582,0.97595
583,0.97599
584,0.97603
585,0.97607
586,0.97611
587,0.97615
588,0.97619
589,0.97623
590,0.97458
591,0.97462
592,0.97466
593,0.9747
594,0.97475
595,0.97479
596,0.97483
597,0.97487
598,0.97492
599,0.97496
600,0.975
601,0.97504
602,0.97508
603,0.97512
604,0.97517
605,0.97521
606,0.97525
607,0.97529
608,0.97533
609,0.97537
610,0.97541
611,0.97545
612,0.97549
613,0.97553
614,0.97557
615,0.97561
616,0.97565
617,0.97569
618,0.97573
619,0.97577
620,0.97419
621,0.97424
622,0.97428
623,0.97432
624,0.97436
625,0.9744
626,0.97444
627,0.97448
628,0.97293
629,0.97297
630,0.97302
631,0.97306
632,0.9731
633,0.97314
634,0.97319
635,0.97323
636,0.97327
637,0.97331
638,0.97335
639,0.9734
640,0.97344
641,0.97348
642,0.97352
643,0.97356
644,0.9736
645,0.97364
646,0.97368
647,0.97372
648,0.97377
649,0.97381
650,0.97385
651,0.97389
652,0.97393
653,0.97397
654,0.97401
655,0.97405
656,0.97409
657,0.97412
658,0.97416
659,0.9742
660,0.97424
661,0.97428
662,0.97432
663,0.97436
664,0.9744
665,0.97444
666,0.97447
667,0.97451
668,0.97455
669,0.97459
670,0.97463
671,0.97466
672,0.9747
673,0.97474
674,0.97478
675,0.97481
676,0.97485
677,0.97489
678,0.97493
679,0.97496
680,0.975
681,0.97504
682,0.97507
683,0.97511
684,0.97515
685,0.97518
686,0.97522
687,0.97525
688,0.97529
689,0.97533
690,0.97536
691,0.9754
692,0.97543
693,0.97547
694,0.9755
695,0.97554
696,0.97557
697,0.97561
698,0.97564
699,0.97568
700,0.97571
701,0.97575
702,0.97578
703,0.9744
704,0.97443
705,0.97447
706,0.9745
707,0.97454
708,0.97458
709,0.97461
710,0.97465
711,0.97468
712,0.97472
713,0.97475
714,0.97479
715,0.97483
716,0.97486
717,0.9749
718,0.97493
719,0.97497
720,0.975
721,0.97503
722,0.97507
723,0.9751
724,0.97514
725,0.97517
726,0.97521
727,0.97524
728,0.97527
729,0.97531
730,0.97534
731,0.97538
732,0.97541
733,0.97544
734,0.97548
735,0.97551
736,0.97554
737,0.97558
738,0.97561
739,0.97564
740,0.97568
741,0.97571
742,0.97574
743,0.97577
744,0.97581
745,0.97584
746,0.97587
747,0.9759
748,0.97594
749,0.97597
750,0.976
751,0.97603
752,0.97606
753,0.9761
754,0.97613
755,0.97616
756,0.97619
757,0.97622
758,0.97493
759,0.97497
760,0.975
761,0.97503
762,0.97507
763,0.9751
764,0.97513
765,0.97516
766,0.9752
767,0.97523
768,0.97526
769,0.97529
770,0.97532
771,0.97536
772,0.97539
773,0.97542
774,0.97545
775,0.97548
776,0.97552
777,0.97555
778,0.97558
779,0.97561
780,0.97564
781,0.97567
782,0.9757
783,0.97573
784,0.97577
785,0.9758
786,0.97583
787,0.97586
788,0.97589
789,0.97592
790,0.97595
791,0.97598
792,0.97601
793,0.97604
794,0.97607
795,0.9761
796,0.97613
797,0.97616
798,0.97619
799,0.97622
800,0.97625
801,0.97628
802,0.97631
803,0.97634
804,0.97637
805,0.9764
806,0.97643
807,0.97646
808,0.97649
809,0.97651
810,0.97654
811,0.97657
812,0.9766
813,0.97663
814,0.97666
815,0.97669
816,0.97672
817,0.97674
818,0.97677
819,0.9768
820,0.97683
821,0.97686
822,0.97689
823,0.97691
824,0.97694
825,0.97697
826,0.977
827,0.97703
828,0.97705
829,0.97708
830,0.97711
831,0.97714
832,0.97716
833,0.97719
834,0.97722
835,0.97725
836,0.97727
837,0.9773
838,0.97733
839,0.97735
840,0.97738
841,0.97741
842,0.97743
843,0.97746
844,0.97749
845,0.97751
846,0.97754
847,0.97757
848,0.97759
849,0.97762
850,0.97765
851,0.97767
852,0.9777
853,0.97773
854,0.97775
855,0.97778
856,0.9778
857,0.97783
858,0.97786
859,0.97788
860,0.97791
861,0.97793
862,0.97796
863,0.97798
864,0.97801
865,0.97803
866,0.97806
867,0.97809
868,0.97811
869,0.97814
870,0.97816
871,0.97819
872,0.97821
873,0.97824
874,0.97826
875,0.97829
876,0.97831
877,0.97834
878,0.97836
879,0.97838
880,0.97841
881,0.97843
882,0.97846
883,0.97848
884,0.97851
885,0.97853
886,0.97856
887,0.97858
888,0.9786
889,0.97863
890,0.97753
891,0.97755
892,0.97758
893,0.9776
894,0.97763
895,0.97765
896,0.97768
897,0.9777
898,0.97773
899,0.97775
900,0.97778
901,0.9778
902,0.97783
903,0.97785
904,0.97788
905,0.9768
906,0.97682
907,0.97685
908,0.97687
909,0.9769
910,0.97692
911,0.97695
912,0.97697
913,0.977
914,0.97702
915,0.97705
916,0.97707
917,0.9771
918,0.97712
919,0.97715
920,0.97717
921,0.9772
922,0.97722
923,0.97725
924,0.97727
925,0.9773
926,0.97732
927,0.97735
928,0.97737
929,0.9774
930,0.97742
931,0.97744
932,0.97747
933,0.97749
934,0.97752
935,0.97754
936,0.97756
937,0.97759
938,0.97761
939,0.97764
940,0.97766
941,0.97768
942,0.97771
943,0.97773
944,0.97775
945,0.97778
946,0.9778
947,0.97782
948,0.97785
949,0.97682
950,0.97684
951,0.97687
952,0.97689
953,0.97587
954,0.97589
955,0.97487
956,0.97385
957,0.97388
958,0.9739
959,0.97393
960,0.97396
961,0.97399
962,0.97297
963,0.973
964,0.97303
965,0.97306
966,0.97308
967,0.97311
968,0.97314
969,0.97317
970,0.9732
971,0.97322
972,0.97325
973,0.97328
974,0.97331
975,0.97333
976,0.97336
977,0.97339
978,0.97342
979,0.97344
980,0.97347
981,0.9735
982,0.97352
983,0.97355
984,0.97358
985,0.9736
986,0.97363
987,0.97366
988,0.97368
989,0.97371
990,0.97374
991,0.97376
992,0.97379
993,0.97382
994,0.97384
995,0.97387
996,0.9739
997,0.97392
998,0.97395
999,0.97297
1000,0.973
1001,0.97303
1002,0.97305
1003,0.97308
1004,0.97311
1005,0.97313
1006,0.97316
1007,0.97319
1008,0.97321
1009,0.97324
1010,0.97327
1011,0.97329
1012,0.97332
1013,0.97335
1014,0.97337
1015,0.9734
1016,0.97343
1017,0.97345
1018,0.97348
1019,0.9735
1020,0.97353
1021,0.97356
1022,0.97358
1023,0.97361
1024,0.97363
1025,0.97366
1026,0.97368
1027,0.97371
1028,0.97374
1029,0.97376
1030,0.97379
1031,0.97381
1032,0.97384
1033,0.97386
1034,0.97389
1035,0.97391
1036,0.97394
1037,0.97396
1038,0.97399
1039,0.97401
1040,0.97404
1041,0.97406
1042,0.97313
1043,0.97315
1044,0.97318
1045,0.97321
1046,0.97323
1047,0.97326
1048,0.97328
1049,0.97331
1050,0.97333
1051,0.97336
1052,0.97338
1053,0.97341
1054,0.97343
1055,0.97346
1056,0.97348
1057,0.97351
1058,0.97353
1059,0.97356
1060,0.97358
1061,0.97361
1062,0.97363
1063,0.97366
1064,0.97368
1065,0.97371
1066,0.97373
1067,0.97376
1068,0.97378
1069,0.97381
1070,0.97383
1071,0.97386
1072,0.97388
1073,0.9739
1074,0.97393
1075,0.97395
1076,0.97398
1077,0.974
1078,0.97403
1079,0.97405
1080,0.97407
1081,0.9741
1082,0.97412
1083,0.97415
1084,0.97417
1085,0.97419
1086,0.97422
1087,0.97424
1088,0.97426
1089,0.97429
1090,0.97431
1091,0.97434
1092,0.97436
1093,0.97438
1094,0.97441
1095,0.97443
1096,0.97445
1097,0.97448
1098,0.9745
1099,0.97452
1100,0.97455
1101,0.97457
1102,0.97459
1103,0.97461
1104,0.97464
1105,0.97466
1106,0.97468
1107,0.97471
1108,0.97473
1109,0.97475
1110,0.97477
1111,0.9748
1112,0.97482
1113,0.97484
1114,0.97487
1115,0.97489
1116,0.97491
1117,0.97493
1118,0.97496
1119,0.97498
1120,0.975
1121,0.97502
1122,0.97504
1123,0.97507
1124,0.97509
1125,0.97511
1126,0.97513
1127,0.97516
1128,0.97518
1129,0.9752
1130,0.97522
1131,0.97524
1132,0.97527
1133,0.97529
1134,0.97531
1135,0.97533
1136,0.97535
1137,0.97537
1138,0.9754
1139,0.97542
1140,0.97544
1141,0.97546
1142,0.97548
1143,0.9755
1144,0.97552
1145,0.97555
1146,0.97557
1147,0.97559
1148,0.97561
1149,0.97563
1150,0.97565
1151,0.97567
1152,0.97569
1153,0.97485
1154,0.97487
1155,0.97489
1156,0.97491
