games_played,win_ratio
1,1.0
2,1.0
3,1.0
4,1.0
5,0.8
6,0.66667
7,0.71429
8,0.625
9,0.55556
10,0.5
11,0.45455
12,0.5
13,0.53846
14,0.57143
15,0.6
16,0.625
17,0.58824
18,0.61111
19,0.57895
20,0.6
21,0.57143
22,0.54545
23,0.56522
24,0.54167
25,0.56
26,0.53846
27,0.55556
28,0.57143
29,0.55172
30,0.53333
31,0.54839
32,0.53125
33,0.54545
34,0.52941
35,0.51429
36,0.5
37,0.51351
38,0.52632
39,0.51282
40,0.525
41,0.5122
42,0.52381
43,0.51163
44,0.52273
45,0.51111
46,0.52174
47,0.51064
48,0.5
49,0.4898
50,0.5
51,0.4902
52,0.48077
53,0.4717
54,0.46296
55,0.47273
56,0.46429
57,0.47368
58,0.46552
59,0.47458
60,0.46667
61,0.45902
62,0.45161
63,0.44444
64,0.4375
65,0.44615
66,0.45455
67,0.44776
68,0.45588
69,0.44928
70,0.44286
71,0.43662
72,0.43056
73,0.43836
74,0.43243
75,0.42667
76,0.43421
77,0.42857
78,0.42308
79,0.41772
80,0.4125
81,0.40741
82,0.41463
83,0.42169
84,0.41667
85,0.42353
86,0.43023
87,0.42529
88,0.42045
89,0.41573
90,0.41111
91,0.40659
92,0.41304
93,0.4086
94,0.40426
95,0.4
96,0.39583
97,0.39175
98,0.39796
99,0.40404
100,0.41
101,0.41584
102,0.42157
103,0.41748
104,0.42308
105,0.41905
106,0.41509
107,0.41121
108,0.41667
109,0.42202
110,0.41818
111,0.42342
112,0.41964
113,0.42478
114,0.42105
115,0.41739
116,0.41379
117,0.41026
118,0.41525
119,0.41176
120,0.41667
121,0.42149
122,0.41803
123,0.41463
124,0.41129
125,0.408
126,0.4127
127,0.41732
128,0.41406
129,0.4186
130,0.41538
131,0.41985
132,0.41667
133,0.41353
134,0.41791
135,0.42222
136,0.41912
137,0.41606
138,0.41304
139,0.41007
140,0.40714
141,0.40426
142,0.40141
143,0.3986
144,0.40278
145,0.4
146,0.39726
147,0.39456
148,0.39865
149,0.39597
150,0.4
151,0.39735
152,0.39474
153,0.39216
154,0.38961
155,0.39355
156,0.39103
157,0.3949
158,0.39241
159,0.38994
160,0.3875
161,0.38509
162,0.38272
163,0.38037
164,0.38415
165,0.38182
166,0.37952
167,0.37725
168,0.38095
169,0.38462
170,0.38824
171,0.39181
172,0.39535
173,0.39306
174,0.39655
175,0.4
176,0.40341
