games_played,res_win_ratio
1,1.0
2,0.5
3,0.33333
4,0.25
5,0.2
6,0.16667
7,0.14286
8,0.125
9,0.11111
10,0.1
11,0.09091
12,0.08333
13,0.07692
14,0.07143
15,0.06667
16,0.0625
17,0.05882
18,0.05556
19,0.05263
20,0.05
21,0.04762
22,0.04545
23,0.04348
24,0.04167
25,0.04
26,0.03846
27,0.03704
28,0.03571
29,0.03448
30,0.03333
31,0.03226
32,0.03125
33,0.0303
34,0.02941
35,0.02857
36,0.02778
37,0.02703
38,0.02632
39,0.02564
40,0.025
41,0.02439
42,0.02381
43,0.02326
44,0.02273
45,0.02222
46,0.02174
47,0.02128
48,0.02083
49,0.02041
50,0.02
51,0.01961
52,0.01923
53,0.01887
54,0.01852
55,0.01818
56,0.01786
57,0.01754
58,0.01724
59,0.01695
60,0.01667
61,0.01639
62,0.01613
63,0.01587
64,0.01562
65,0.01538
66,0.01515
67,0.01493
68,0.01471
69,0.01449
70,0.01429
71,0.01408
72,0.01389
73,0.0137
74,0.01351
75,0.01333
76,0.01316
77,0.01299
78,0.01282
79,0.01266
80,0.0125
81,0.01235
82,0.0122
83,0.01205
84,0.0119
85,0.01176
86,0.01163
87,0.01149
88,0.01136
89,0.01124
90,0.01111
91,0.01099
92,0.01087
93,0.01075
94,0.01064
95,0.01053
96,0.01042
97,0.01031
98,0.0102
99,0.0101
100,0.01
101,0.0099
102,0.0098
103,0.00971
104,0.00962
105,0.00952
106,0.00943
107,0.00935
108,0.00926
109,0.00917
110,0.00909
111,0.00901
112,0.00893
113,0.00885
114,0.00877
115,0.0087
116,0.00862
117,0.00855
118,0.00847
119,0.0084
120,0.00833
121,0.00826
122,0.0082
123,0.00813
124,0.00806
125,0.008
126,0.00794
127,0.00787
128,0.00781
129,0.00775
130,0.00769
131,0.00763
132,0.00758
133,0.00752
134,0.00746
135,0.00741
136,0.00735
137,0.0073
138,0.00725
139,0.00719
140,0.00714
141,0.00709
142,0.00704
143,0.00699
144,0.01389
145,0.01379
146,0.0137
147,0.01361
148,0.01351
149,0.01342
150,0.01333
151,0.01325
152,0.01316
153,0.01307
154,0.01299
155,0.0129
156,0.01282
157,0.01274
158,0.01266
159,0.01258
160,0.0125
161,0.01242
162,0.01235
163,0.01227
164,0.0122
165,0.01212
166,0.01205
167,0.01198
168,0.0119
169,0.01183
170,0.01176
171,0.0117
172,0.01163
173,0.01156
174,0.01724
175,0.01714
176,0.01705
177,0.01695
178,0.01685
179,0.01676
180,0.01667
181,0.01657
182,0.01648
183,0.01639
184,0.0163
185,0.01622
186,0.01613
187,0.01604
188,0.01596
189,0.01587
190,0.01579
191,0.02094
192,0.02083
193,0.02073
194,0.02062
195,0.02051
196,0.02041
197,0.0203
198,0.0202
199,0.0201
200,0.02
201,0.0199
202,0.0198
203,0.0197
204,0.01961
205,0.01951
206,0.01942
207,0.01932
208,0.01923
209,0.01914
210,0.01905
211,0.01896
212,0.01887
213,0.01878
214,0.01869
215,0.02326
216,0.02315
217,0.02304
218,0.02752
219,0.0274
220,0.02727
221,0.02715
222,0.02703
223,0.02691
224,0.02679
225,0.02667
226,0.02655
227,0.02643
228,0.02632
229,0.0262
230,0.02609
231,0.02597
232,0.02586
233,0.02575
234,0.02564
235,0.02553
236,0.02542
237,0.02532
238,0.02521
239,0.0251
240,0.025
241,0.0249
242,0.02479
243,0.02469
244,0.02459
245,0.02449
246,0.02439
247,0.02429
248,0.02419
249,0.0241
250,0.024
251,0.0239
252,0.02381
253,0.02372
254,0.02362
255,0.02353
256,0.02734
257,0.02724
258,0.02713
259,0.02703
260,0.02692
261,0.02682
262,0.02672
263,0.02662
264,0.02652
265,0.02642
266,0.02632
267,0.02622
268,0.02612
269,0.02602
270,0.02593
271,0.02583
272,0.02574
273,0.02564
274,0.02555
275,0.02545
276,0.02536
277,0.02527
278,0.02518
279,0.02509
280,0.025
281,0.02491
282,0.02482
283,0.02473
284,0.02817
285,0.02807
286,0.02797
287,0.03136
288,0.03125
289,0.0346
290,0.03448
291,0.03436
292,0.03425
293,0.03413
294,0.03401
295,0.0339
296,0.03378
297,0.03367
298,0.03356
299,0.03344
300,0.03333
301,0.03654
302,0.03974
303,0.0396
304,0.03947
305,0.03934
306,0.03922
307,0.03909
308,0.03896
309,0.03883
310,0.03871
311,0.03859
312,0.03846
313,0.03834
314,0.03822
315,0.04127
316,0.04114
317,0.04101
318,0.04088
319,0.04075
320,0.04063
321,0.0405
322,0.04348
323,0.04334
324,0.04321
325,0.04308
326,0.04294
327,0.04281
328,0.04268
329,0.04255
330,0.04242
331,0.0423
332,0.04217
333,0.04204
334,0.04192
335,0.04179
336,0.04167
337,0.04154
338,0.04142
339,0.0413
340,0.04118
341,0.04106
342,0.04094
343,0.04373
344,0.0436
345,0.04348
346,0.04335
347,0.04323
348,0.0431
349,0.04298
350,0.04286
351,0.04274
352,0.04261
353,0.04249
354,0.04237
355,0.04225
356,0.04213
357,0.04202
358,0.0419
359,0.04178
360,0.04167
361,0.04155
362,0.04144
363,0.04132
364,0.04121
365,0.0411
366,0.04098
367,0.04087
368,0.04076
369,0.04065
370,0.04054
371,0.04043
372,0.04032
373,0.04021
374,0.04011
375,0.04
376,0.03989
377,0.03979
378,0.03968
379,0.03958
380,0.04211
381,0.04199
382,0.04188
383,0.04178
384,0.04167
385,0.04156
386,0.04145
387,0.04134
388,0.04124
