games_played,spy_win_ratio
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,0.97368
39,0.97436
40,0.975
41,0.97561
42,0.97619
43,0.97674
44,0.97727
45,0.97778
46,0.97826
47,0.97872
48,0.97917
49,0.95918
50,0.96
51,0.96078
52,0.96154
53,0.9434
54,0.94444
55,0.94545
56,0.94643
57,0.94737
58,0.94828
59,0.94915
60,0.95
61,0.95082
62,0.95161
63,0.95238
64,0.95312
65,0.95385
66,0.95455
67,0.95522
68,0.95588
69,0.95652
70,0.95714
71,0.95775
72,0.95833
73,0.9589
74,0.95946
75,0.96
76,0.96053
77,0.96104
78,0.96154
79,0.96203
80,0.9625
81,0.96296
82,0.96341
83,0.96386
84,0.96429
85,0.96471
86,0.96512
87,0.96552
88,0.96591
89,0.96629
90,0.96667
91,0.96703
92,0.96739
93,0.96774
94,0.96809
95,0.95789
96,0.95833
97,0.95876
98,0.95918
99,0.9596
100,0.96
101,0.9604
102,0.96078
103,0.96117
104,0.96154
105,0.9619
106,0.96226
107,0.96262
108,0.96296
109,0.9633
110,0.96364
111,0.96396
112,0.96429
113,0.9646
114,0.96491
115,0.96522
116,0.96552
117,0.96581
118,0.9661
119,0.96639
120,0.96667
121,0.96694
122,0.96721
123,0.96748
124,0.96774
125,0.968
126,0.96032
127,0.96063
128,0.96094
129,0.96124
130,0.96154
131,0.9542
132,0.95455
133,0.95489
134,0.95522
135,0.95556
136,0.95588
137,0.9562
138,0.95652
139,0.95683
140,0.95714
141,0.95745
142,0.95775
143,0.95804
144,0.95833
145,0.95862
146,0.9589
147,0.95918
148,0.95946
149,0.95973
150,0.96
151,0.96026
152,0.96053
153,0.96078
154,0.96104
155,0.95484
156,0.95513
157,0.94904
158,0.94937
159,0.9434
160,0.94375
161,0.9441
162,0.94444
163,0.94479
164,0.94512
165,0.94545
166,0.94578
167,0.94611
168,0.94643
169,0.94675
170,0.94706
171,0.94737
172,0.94767
173,0.94798
174,0.94828
175,0.94857
176,0.94886
177,0.94915
178,0.94944
179,0.94972
