games_played,win_ratio
1,1.0
2,0.5
3,0.33333
4,0.25
5,0.4
6,0.33333
7,0.42857
8,0.375
9,0.33333
10,0.4
11,0.36364
12,0.41667
13,0.46154
14,0.42857
15,0.46667
16,0.4375
17,0.41176
18,0.38889
19,0.36842
20,0.35
21,0.38095
22,0.36364
23,0.34783
24,0.375
25,0.36
26,0.38462
27,0.40741
28,0.39286
29,0.41379
30,0.43333
31,0.45161
32,0.4375
33,0.42424
34,0.41176
35,0.4
36,0.41667
37,0.40541
38,0.39474
39,0.41026
40,0.4
41,0.39024
42,0.38095
43,0.37209
44,0.36364
45,0.35556
46,0.34783
47,0.3617
48,0.375
49,0.36735
50,0.36
51,0.35294
52,0.34615
53,0.35849
54,0.37037
55,0.36364
56,0.375
57,0.36842
58,0.37931
59,0.37288
60,0.38333
61,0.37705
62,0.3871
63,0.39683
64,0.40625
65,0.4
66,0.39394
67,0.38806
68,0.38235
69,0.37681
70,0.37143
71,0.38028
72,0.375
73,0.36986
74,0.37838
75,0.37333
76,0.38158
77,0.37662
78,0.37179
79,0.37975
80,0.3875
81,0.38272
82,0.37805
83,0.37349
84,0.36905
85,0.36471
86,0.36047
87,0.36782
88,0.375
89,0.38202
90,0.37778
91,0.37363
92,0.36957
93,0.36559
94,0.37234
95,0.37895
96,0.38542
97,0.39175
98,0.39796
99,0.39394
100,0.39
101,0.38614
102,0.38235
103,0.37864
104,0.375
105,0.38095
106,0.37736
107,0.37383
108,0.37963
109,0.37615
110,0.37273
111,0.36937
112,0.36607
113,0.36283
114,0.36842
115,0.36522
116,0.37069
117,0.36752
118,0.36441
119,0.36975
120,0.36667
121,0.36364
122,0.36066
123,0.35772
124,0.3629
125,0.36
126,0.35714
127,0.35433
128,0.35938
129,0.35659
130,0.36154
131,0.35878
132,0.35606
133,0.35338
134,0.35075
135,0.34815
136,0.35294
137,0.35036
138,0.35507
139,0.35252
140,0.35
141,0.35461
142,0.35211
143,0.35664
144,0.35417
145,0.35172
146,0.34932
147,0.35374
148,0.35811
149,0.3557
150,0.35333
151,0.35099
152,0.34868
153,0.35294
154,0.35714
155,0.36129
156,0.36538
157,0.36306
158,0.36076
159,0.35849
160,0.3625
161,0.36025
162,0.35802
163,0.36196
164,0.35976
165,0.36364
166,0.36747
167,0.37126
168,0.375
169,0.37278
170,0.37059
171,0.36842
172,0.36628
173,0.36416
174,0.36782
175,0.36571
176,0.36364
177,0.36158
178,0.35955
179,0.36313
180,0.36667
181,0.37017
182,0.36813
183,0.37158
184,0.375
185,0.37297
186,0.37634
187,0.37433
188,0.37234
189,0.37037
190,0.36842
191,0.36649
192,0.36458
193,0.36788
194,0.36598
195,0.36923
196,0.36735
197,0.37056
198,0.36869
199,0.36683
200,0.365
201,0.36318
202,0.36634
203,0.36453
204,0.36275
205,0.36098
206,0.35922
207,0.36232
208,0.36538
209,0.36364
210,0.3619
211,0.36493
212,0.36792
213,0.37089
214,0.37383
215,0.37209
216,0.375
217,0.37327
218,0.37156
219,0.36986
220,0.36818
221,0.36652
222,0.36486
223,0.36771
224,0.36607
225,0.36444
226,0.36283
227,0.36564
228,0.36842
229,0.37118
230,0.37391
231,0.37662
232,0.375
233,0.37339
234,0.37179
235,0.37021
236,0.36864
237,0.36709
238,0.36975
239,0.3682
240,0.37083
241,0.36929
242,0.3719
243,0.37037
244,0.36885
245,0.36735
246,0.36585
247,0.36437
248,0.3629
249,0.36546
250,0.364
251,0.36255
252,0.36508
253,0.36364
254,0.3622
255,0.36078
256,0.35938
257,0.36187
258,0.36047
259,0.36293
260,0.36154
261,0.36398
262,0.3626
263,0.36502
264,0.36364
265,0.36604
266,0.36842
267,0.36704
268,0.3694
269,0.36803
270,0.37037
271,0.37269
272,0.37132
273,0.36996
274,0.37226
275,0.37091
276,0.37319
277,0.37545
278,0.3741
279,0.37276
280,0.375
281,0.37722
282,0.37589
283,0.37456
284,0.37324
285,0.37544
286,0.37413
287,0.37282
288,0.37153
289,0.3737
290,0.37241
291,0.37113
292,0.36986
293,0.3686
294,0.36735
295,0.36949
296,0.36824
297,0.37037
298,0.36913
299,0.37124
300,0.37333
301,0.37209
302,0.37086
303,0.36964
304,0.37171
305,0.37049
306,0.37255
307,0.37459
308,0.37338
309,0.3754
310,0.37742
311,0.37621
312,0.37821
313,0.377
314,0.37898
315,0.37778
316,0.37658
317,0.37855
318,0.3805
319,0.37931
320,0.37812
321,0.38006
322,0.37888
323,0.37771
324,0.37963
325,0.38154
326,0.38037
327,0.3792
328,0.3811
329,0.38298
330,0.38182
331,0.38066
332,0.37952
333,0.37838
334,0.37725
335,0.3791
336,0.37798
337,0.37685
338,0.3787
339,0.38053
340,0.38235
341,0.38123
342,0.38304
343,0.38484
344,0.38663
345,0.38551
346,0.38439
347,0.38329
348,0.38506
349,0.38682
350,0.38571
351,0.38462
352,0.38636
353,0.3881
354,0.38701
355,0.38873
356,0.38764
357,0.38655
358,0.38547
359,0.3844
360,0.38333
361,0.38504
362,0.38398
363,0.38567
364,0.38462
365,0.38356
366,0.38251
367,0.3842
368,0.38315
369,0.38482
370,0.38378
371,0.38275
372,0.38441
373,0.38338
374,0.38235
375,0.38133
376,0.38032
377,0.37931
378,0.37831
379,0.37731
380,0.37632
381,0.37533
382,0.37435
383,0.37337
384,0.3724
385,0.37143
386,0.37047
387,0.36951
388,0.37113
389,0.37275
390,0.37179
