games_played,res_win_ratio
1,1.0
2,0.5
3,0.33333
4,0.25
5,0.2
6,0.16667
7,0.14286
8,0.125
9,0.11111
10,0.1
11,0.09091
12,0.08333
13,0.07692
14,0.07143
15,0.06667
16,0.0625
17,0.05882
18,0.05556
19,0.05263
20,0.05
21,0.04762
22,0.04545
23,0.04348
24,0.04167
25,0.04
26,0.03846
27,0.03704
28,0.03571
29,0.03448
30,0.03333
31,0.03226
32,0.03125
33,0.0303
34,0.02941
35,0.02857
36,0.02778
37,0.02703
38,0.02632
39,0.02564
40,0.025
41,0.02439
42,0.02381
43,0.02326
44,0.02273
45,0.02222
46,0.02174
47,0.02128
48,0.02083
49,0.02041
50,0.02
51,0.01961
52,0.01923
53,0.01887
54,0.01852
55,0.01818
56,0.01786
57,0.01754
58,0.01724
59,0.01695
60,0.01667
61,0.03279
62,0.03226
63,0.03175
64,0.03125
65,0.03077
66,0.0303
67,0.02985
68,0.02941
69,0.02899
70,0.02857
71,0.02817
72,0.02778
73,0.0274
74,0.02703
75,0.02667
76,0.02632
77,0.02597
78,0.02564
79,0.02532
80,0.025
81,0.02469
82,0.02439
83,0.0241
84,0.02381
85,0.02353
86,0.02326
87,0.02299
88,0.02273
89,0.02247
90,0.02222
91,0.02198
92,0.02174
93,0.02151
94,0.02128
95,0.02105
96,0.02083
97,0.02062
98,0.02041
99,0.0202
100,0.02
101,0.0198
102,0.01961
103,0.01942
104,0.01923
105,0.01905
106,0.01887
107,0.01869
108,0.01852
109,0.01835
110,0.01818
111,0.01802
112,0.01786
113,0.0177
114,0.01754
115,0.01739
116,0.01724
117,0.01709
118,0.01695
119,0.01681
120,0.01667
121,0.01653
122,0.01639
123,0.01626
124,0.01613
125,0.016
126,0.01587
127,0.01575
128,0.01562
129,0.0155
130,0.01538
131,0.01527
132,0.01515
133,0.01504
134,0.01493
135,0.01481
136,0.01471
137,0.0146
138,0.01449
139,0.01439
140,0.01429
141,0.01418
142,0.01408
143,0.01399
144,0.01389
145,0.01379
146,0.0137
147,0.01361
148,0.01351
149,0.01342
150,0.01333
151,0.01325
152,0.01316
153,0.01307
154,0.01299
155,0.0129
156,0.01282
157,0.01274
158,0.01266
159,0.01258
160,0.0125
161,0.01242
162,0.01235
163,0.01227
164,0.0122
165,0.01212
166,0.01205
167,0.01198
168,0.0119
169,0.01183
170,0.01176
171,0.0117
172,0.01163
173,0.01156
174,0.01149
175,0.01143
176,0.01136
177,0.0113
178,0.01124
179,0.01117
180,0.01111
181,0.01105
182,0.01099
183,0.01093
184,0.01087
185,0.01081
186,0.01075
187,0.0107
188,0.01064
189,0.01058
190,0.01053
191,0.01047
192,0.01042
193,0.01036
194,0.01031
195,0.01026
196,0.0102
197,0.01015
198,0.0101
199,0.01005
200,0.01
201,0.00995
202,0.0099
203,0.00985
204,0.0098
205,0.00976
206,0.00971
207,0.01449
208,0.01442
209,0.01435
210,0.01429
211,0.01896
212,0.01887
213,0.01878
214,0.01869
215,0.0186
216,0.01852
217,0.01843
218,0.01835
219,0.01826
220,0.01818
221,0.0181
222,0.01802
223,0.01794
224,0.01786
225,0.01778
226,0.0177
227,0.01762
228,0.01754
229,0.01747
230,0.01739
231,0.01732
232,0.01724
233,0.01717
234,0.01709
235,0.01702
236,0.01695
237,0.01688
238,0.01681
239,0.01674
240,0.01667
241,0.0166
242,0.01653
243,0.01646
244,0.02049
245,0.02041
246,0.02439
247,0.02429
248,0.02823
249,0.02811
250,0.028
251,0.02789
252,0.02778
253,0.02767
254,0.02756
255,0.02745
256,0.02734
257,0.02724
258,0.02713
259,0.02703
260,0.02692
261,0.02682
262,0.02672
263,0.02662
264,0.02652
265,0.02642
266,0.02632
267,0.02622
268,0.02612
269,0.02602
270,0.02593
271,0.02583
272,0.02574
273,0.02564
274,0.02555
275,0.02545
276,0.02536
277,0.02527
278,0.02518
279,0.02509
280,0.025
281,0.02491
282,0.02837
283,0.02827
284,0.02817
285,0.02807
286,0.02797
287,0.02787
288,0.02778
289,0.02768
290,0.02759
291,0.02749
292,0.0274
293,0.0273
294,0.03061
295,0.03051
296,0.03041
297,0.0303
298,0.0302
299,0.0301
300,0.03
301,0.0299
302,0.0298
303,0.0297
304,0.02961
305,0.02951
306,0.03268
307,0.03257
308,0.03247
309,0.03236
310,0.03226
311,0.03215
312,0.03205
313,0.03195
314,0.03185
315,0.03175
316,0.03165
317,0.03155
318,0.03145
319,0.03135
320,0.03125
321,0.03115
322,0.03106
323,0.03096
324,0.03086
325,0.03077
326,0.03067
327,0.03058
328,0.03049
329,0.0304
330,0.0303
331,0.03021
332,0.03012
333,0.03003
334,0.02994
335,0.02985
336,0.02976
337,0.02967
338,0.02959
339,0.0295
340,0.02941
341,0.02933
342,0.02924
343,0.02915
344,0.02907
345,0.02899
346,0.0289
347,0.02882
348,0.02874
349,0.02865
350,0.02857
351,0.02849
352,0.02841
353,0.02833
354,0.02825
355,0.03099
356,0.0309
357,0.03081
358,0.03073
359,0.03064
360,0.03056
361,0.03047
362,0.03039
363,0.03306
364,0.03297
365,0.03288
366,0.03279
367,0.0327
368,0.03261
369,0.03252
370,0.03243
371,0.03235
372,0.03226
373,0.03217
374,0.03209
375,0.032
376,0.03191
377,0.03183
378,0.03175
379,0.03166
380,0.03158
381,0.0315
382,0.03141
383,0.03133
384,0.03125
385,0.03117
386,0.03109
387,0.03101
388,0.03093
