games_played,spy_win_ratio
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,0.97561
42,0.97619
43,0.97674
44,0.97727
45,0.95556
46,0.95652
47,0.95745
48,0.95833
49,0.95918
50,0.96
51,0.96078
52,0.96154
53,0.96226
54,0.96296
55,0.96364
56,0.96429
57,0.96491
58,0.96552
59,0.9661
60,0.96667
61,0.96721
62,0.96774
63,0.96825
64,0.96875
65,0.96923
66,0.9697
67,0.97015
68,0.97059
69,0.97101
70,0.97143
71,0.97183
72,0.97222
73,0.9726
74,0.97297
75,0.97333
76,0.97368
77,0.97403
78,0.97436
79,0.97468
80,0.975
81,0.97531
82,0.97561
83,0.9759
84,0.97619
85,0.97647
86,0.97674
87,0.97701
88,0.96591
89,0.96629
90,0.96667
91,0.95604
92,0.95652
93,0.95699
94,0.95745
95,0.95789
96,0.95833
97,0.95876
98,0.95918
99,0.9596
100,0.96
101,0.9604
102,0.96078
103,0.96117
104,0.96154
105,0.9619
106,0.96226
107,0.96262
108,0.96296
109,0.95413
110,0.95455
111,0.95495
112,0.95536
113,0.95575
114,0.95614
115,0.95652
116,0.9569
117,0.95726
118,0.95763
119,0.94958
120,0.95
121,0.95041
122,0.95082
123,0.95122
124,0.95161
125,0.952
126,0.95238
127,0.95276
128,0.95312
129,0.95349
130,0.95385
131,0.94656
132,0.94697
133,0.94737
134,0.94776
135,0.94815
136,0.94853
137,0.94891
138,0.94928
139,0.94245
140,0.94286
141,0.94326
142,0.94366
143,0.94406
144,0.94444
145,0.94483
146,0.94521
147,0.94558
148,0.94595
149,0.94631
150,0.94667
151,0.94702
152,0.94737
153,0.94771
154,0.94805
155,0.94839
156,0.94872
157,0.94904
158,0.94937
159,0.94969
160,0.95
161,0.95031
162,0.95062
163,0.95092
164,0.95122
165,0.95152
166,0.94578
167,0.94611
168,0.94643
169,0.94675
170,0.94706
171,0.94737
172,0.94767
173,0.94798
174,0.94828
175,0.94857
176,0.94886
177,0.94915
178,0.94944
179,0.94972
