games_played,win_ratio
1,1.0
2,0.5
3,0.33333
4,0.25
5,0.4
6,0.33333
7,0.28571
8,0.375
9,0.44444
10,0.4
11,0.45455
12,0.41667
13,0.38462
14,0.35714
15,0.33333
16,0.3125
17,0.35294
18,0.38889
19,0.42105
20,0.4
21,0.38095
22,0.40909
23,0.3913
24,0.375
25,0.36
26,0.34615
27,0.33333
28,0.35714
29,0.34483
30,0.36667
31,0.35484
32,0.375
33,0.39394
34,0.41176
35,0.4
36,0.38889
37,0.40541
38,0.39474
39,0.38462
40,0.4
41,0.41463
42,0.42857
43,0.4186
44,0.40909
45,0.42222
46,0.41304
47,0.40426
48,0.39583
49,0.38776
50,0.38
51,0.37255
52,0.36538
53,0.35849
54,0.35185
55,0.36364
56,0.35714
57,0.36842
58,0.36207
59,0.37288
60,0.36667
61,0.36066
62,0.35484
63,0.36508
64,0.375
65,0.36923
66,0.36364
67,0.35821
68,0.35294
69,0.36232
70,0.37143
71,0.3662
72,0.36111
73,0.35616
74,0.35135
75,0.36
76,0.35526
77,0.36364
78,0.37179
79,0.37975
80,0.375
81,0.38272
82,0.37805
83,0.37349
84,0.38095
85,0.38824
86,0.39535
87,0.3908
88,0.38636
89,0.38202
90,0.38889
91,0.3956
92,0.3913
93,0.3871
94,0.38298
95,0.38947
96,0.39583
97,0.39175
98,0.38776
99,0.38384
100,0.39
101,0.38614
102,0.38235
103,0.38835
104,0.38462
105,0.38095
106,0.38679
107,0.39252
108,0.38889
109,0.38532
110,0.39091
111,0.38739
112,0.38393
113,0.38053
114,0.37719
115,0.38261
116,0.37931
117,0.37607
118,0.37288
119,0.37815
120,0.38333
121,0.38017
122,0.38525
123,0.38211
124,0.3871
125,0.392
126,0.39683
127,0.40157
128,0.39844
129,0.4031
130,0.40769
131,0.41221
132,0.40909
133,0.41353
134,0.41045
135,0.41481
136,0.41176
137,0.41606
138,0.41304
139,0.41727
140,0.42143
141,0.41844
142,0.42254
143,0.41958
144,0.41667
145,0.41379
146,0.41096
147,0.40816
148,0.40541
149,0.4094
150,0.41333
151,0.41722
152,0.42105
153,0.4183
154,0.41558
155,0.4129
156,0.41026
157,0.40764
158,0.40506
159,0.40252
160,0.4
161,0.40373
162,0.40741
163,0.40491
164,0.40244
165,0.40606
166,0.40361
167,0.4012
168,0.39881
169,0.39645
170,0.4
171,0.40351
172,0.40698
173,0.40462
174,0.4023
175,0.40571
176,0.40341
177,0.40678
178,0.41011
179,0.40782
180,0.41111
181,0.40884
182,0.40659
183,0.40437
184,0.40217
185,0.4
186,0.39785
187,0.39572
188,0.39362
189,0.39153
190,0.38947
191,0.38743
192,0.39062
193,0.3886
194,0.39175
195,0.38974
196,0.39286
197,0.39594
198,0.39394
199,0.39196
200,0.395
201,0.39303
202,0.39109
203,0.38916
204,0.38725
205,0.38537
206,0.38835
207,0.38647
208,0.38942
209,0.38756
210,0.39048
211,0.38863
212,0.39151
213,0.39437
214,0.3972
215,0.39535
216,0.39815
217,0.39631
218,0.39908
219,0.40183
220,0.40455
221,0.40271
222,0.40541
223,0.40359
224,0.40625
225,0.40444
226,0.40708
227,0.40529
228,0.40789
229,0.40611
230,0.4087
231,0.40693
232,0.40517
233,0.40773
234,0.41026
235,0.41277
236,0.41102
237,0.4135
238,0.41176
239,0.41004
240,0.4125
241,0.41494
242,0.41736
243,0.41975
244,0.41803
245,0.42041
246,0.42276
247,0.42105
248,0.41935
249,0.42169
250,0.42
251,0.42231
252,0.42063
253,0.41897
254,0.41732
255,0.41569
256,0.41406
257,0.41245
258,0.41085
259,0.40927
260,0.41154
261,0.40996
262,0.4084
263,0.40684
264,0.4053
265,0.40377
266,0.40226
267,0.40075
268,0.39925
269,0.40149
270,0.4
271,0.40221
272,0.40441
273,0.40293
274,0.40146
275,0.40364
276,0.40217
277,0.40072
278,0.40288
279,0.40143
280,0.4
281,0.39858
282,0.40071
283,0.39929
284,0.40141
285,0.4
286,0.3986
287,0.39721
288,0.39583
289,0.39446
290,0.3931
291,0.39519
292,0.39384
293,0.39249
294,0.39456
295,0.39322
296,0.39189
297,0.39057
298,0.38926
299,0.3913
300,0.39
301,0.3887
302,0.39073
303,0.38944
304,0.39145
305,0.39016
306,0.38889
307,0.38762
308,0.38961
309,0.39159
310,0.39032
311,0.38907
312,0.38782
313,0.38978
314,0.38854
315,0.3873
316,0.38608
317,0.38801
318,0.38679
319,0.38558
320,0.3875
321,0.38941
322,0.3913
323,0.39009
324,0.38889
325,0.38769
326,0.3865
327,0.38838
328,0.39024
329,0.38906
330,0.39091
331,0.39275
332,0.39458
333,0.3964
334,0.39521
335,0.39403
336,0.39286
337,0.39169
338,0.39053
339,0.38938
340,0.38824
341,0.3871
342,0.38596
343,0.38484
344,0.38372
345,0.38551
346,0.38439
347,0.38617
348,0.38506
349,0.38395
350,0.38571
351,0.38746
352,0.38636
353,0.38527
354,0.38701
355,0.38873
356,0.38764
357,0.38936
358,0.39106
359,0.39276
360,0.39167
361,0.39058
362,0.39227
363,0.39394
364,0.39286
365,0.39178
366,0.39071
367,0.38965
368,0.3913
369,0.39295
370,0.39459
371,0.39623
372,0.39785
373,0.39946
374,0.3984
375,0.4
376,0.39894
377,0.39788
378,0.39683
379,0.39578
380,0.39737
381,0.39633
382,0.39529
383,0.39426
384,0.39583
385,0.39481
386,0.39637
387,0.39793
388,0.39691
389,0.39589
390,0.39487
