games_played,res_win_ratio
1,1.0
2,0.5
3,0.33333
4,0.25
5,0.2
6,0.16667
7,0.14286
8,0.125
9,0.11111
10,0.1
11,0.09091
12,0.08333
13,0.07692
14,0.07143
15,0.06667
16,0.0625
17,0.05882
18,0.05556
19,0.05263
20,0.05
21,0.04762
22,0.04545
23,0.04348
24,0.04167
25,0.04
26,0.03846
27,0.03704
28,0.03571
29,0.03448
30,0.03333
31,0.03226
32,0.03125
33,0.0303
34,0.02941
35,0.02857
36,0.02778
37,0.02703
38,0.02632
39,0.02564
40,0.025
41,0.02439
42,0.02381
43,0.02326
44,0.02273
45,0.02222
46,0.02174
47,0.02128
48,0.02083
49,0.02041
50,0.02
51,0.01961
52,0.01923
53,0.01887
54,0.01852
55,0.01818
56,0.01786
57,0.01754
58,0.01724
59,0.01695
60,0.03333
61,0.03279
62,0.03226
63,0.03175
64,0.03125
65,0.03077
66,0.0303
67,0.02985
68,0.02941
69,0.02899
70,0.02857
71,0.02817
72,0.02778
73,0.0274
74,0.04054
75,0.04
76,0.03947
77,0.03896
78,0.03846
79,0.03797
80,0.05
81,0.04938
82,0.04878
83,0.04819
84,0.04762
85,0.04706
86,0.04651
87,0.04598
88,0.04545
89,0.04494
90,0.04444
91,0.04396
92,0.04348
93,0.04301
94,0.04255
95,0.04211
96,0.04167
97,0.04124
98,0.04082
99,0.0404
100,0.04
101,0.0396
102,0.03922
103,0.03883
104,0.03846
105,0.0381
106,0.03774
107,0.03738
108,0.03704
109,0.0367
110,0.03636
111,0.03604
112,0.03571
113,0.0354
114,0.03509
115,0.03478
116,0.03448
117,0.03419
118,0.0339
119,0.03361
120,0.03333
121,0.03306
122,0.03279
123,0.03252
124,0.03226
125,0.032
126,0.03175
127,0.0315
128,0.03125
129,0.03101
130,0.03077
131,0.03053
132,0.0303
133,0.03008
134,0.02985
135,0.02963
136,0.02941
137,0.0292
138,0.02899
139,0.02878
140,0.02857
141,0.02837
142,0.02817
143,0.03497
144,0.03472
145,0.03448
146,0.03425
147,0.04082
148,0.04054
149,0.04027
150,0.04
151,0.03974
152,0.03947
153,0.03922
154,0.03896
155,0.03871
156,0.03846
157,0.03822
158,0.03797
159,0.03774
160,0.0375
161,0.03727
162,0.03704
163,0.03681
164,0.03659
165,0.03636
166,0.03614
167,0.03593
168,0.03571
169,0.0355
170,0.03529
171,0.03509
172,0.03488
173,0.03468
174,0.03448
175,0.03429
176,0.03409
177,0.0339
178,0.03371
179,0.03352
180,0.03333
181,0.03315
182,0.03297
183,0.03279
184,0.03261
185,0.03243
186,0.03226
187,0.03209
188,0.03191
189,0.03175
190,0.03158
191,0.03141
192,0.03125
193,0.03109
194,0.03608
195,0.0359
196,0.03571
197,0.03553
198,0.03535
199,0.03518
200,0.035
201,0.03483
202,0.03465
203,0.03448
204,0.03431
205,0.03415
206,0.03398
207,0.03382
208,0.03846
209,0.03828
210,0.0381
211,0.03791
212,0.03774
213,0.03756
214,0.03738
215,0.03721
216,0.03704
217,0.03687
218,0.0367
219,0.03653
220,0.03636
221,0.04072
222,0.04054
223,0.04036
224,0.04018
225,0.04
226,0.03982
227,0.03965
228,0.03947
229,0.0393
230,0.03913
231,0.03896
232,0.03879
233,0.03863
234,0.03846
235,0.0383
236,0.03814
237,0.03797
238,0.03782
239,0.03766
240,0.0375
241,0.03734
242,0.03719
243,0.03704
244,0.03689
245,0.03673
246,0.04065
247,0.04049
248,0.04032
249,0.04418
250,0.044
251,0.04382
252,0.04365
253,0.04348
254,0.04331
255,0.04314
256,0.04297
257,0.0428
258,0.04264
259,0.04633
260,0.04615
261,0.04598
262,0.0458
263,0.04563
264,0.04545
265,0.04528
266,0.04511
267,0.04494
268,0.04478
269,0.04461
270,0.04444
271,0.04428
272,0.04412
273,0.04396
274,0.0438
275,0.04364
276,0.04348
277,0.04332
278,0.04317
279,0.04301
280,0.04643
281,0.04626
282,0.0461
283,0.04947
284,0.0493
285,0.04912
286,0.04895
287,0.04878
288,0.04861
289,0.04844
290,0.04828
291,0.04811
292,0.04795
293,0.04778
294,0.04762
295,0.04746
296,0.05068
297,0.05051
298,0.05034
299,0.05017
300,0.05
301,0.04983
302,0.04967
303,0.0495
304,0.04934
305,0.04918
306,0.04902
307,0.04886
308,0.0487
309,0.04854
310,0.04839
311,0.04823
312,0.04808
313,0.04792
314,0.04777
315,0.04762
316,0.04747
317,0.04732
318,0.05031
319,0.05016
320,0.05
321,0.04984
322,0.04969
323,0.04954
324,0.04938
325,0.04923
326,0.04908
327,0.04893
328,0.04878
329,0.04863
330,0.04848
331,0.04834
332,0.04819
333,0.04805
334,0.0479
335,0.04776
336,0.04762
337,0.04748
338,0.04734
339,0.0472
340,0.05
341,0.04985
342,0.04971
343,0.04956
344,0.04942
345,0.04928
346,0.04913
347,0.04899
348,0.04885
349,0.04871
350,0.04857
351,0.04843
352,0.0483
353,0.05099
354,0.05085
355,0.0507
356,0.05056
357,0.05042
358,0.05307
359,0.05292
360,0.05278
361,0.05263
362,0.05249
363,0.05234
364,0.0522
365,0.05205
366,0.05191
367,0.05177
368,0.05163
369,0.05149
370,0.05135
371,0.05121
372,0.05108
373,0.05094
374,0.0508
375,0.05067
376,0.05053
377,0.0504
378,0.05026
379,0.05013
380,0.05263
381,0.05249
382,0.05236
383,0.05222
384,0.05208
385,0.05195
386,0.05181
387,0.05168
388,0.05155
