games_played,spy_win_ratio
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,0.99074
109,0.99083
110,0.99091
111,0.99099
112,0.99107
113,0.99115
114,0.99123
115,0.9913
116,0.99138
117,0.99145
118,0.99153
119,0.9916
120,0.99167
121,0.99174
122,0.9918
123,0.99187
124,0.99194
125,0.992
126,0.98413
127,0.98425
128,0.98438
129,0.97674
130,0.97692
131,0.9771
132,0.97727
133,0.97744
134,0.97761
135,0.97778
136,0.97794
137,0.9781
138,0.97826
139,0.97842
140,0.97857
141,0.97872
142,0.97887
143,0.97902
144,0.97917
145,0.97931
146,0.97945
147,0.97959
148,0.97973
149,0.97987
150,0.98
151,0.98013
152,0.98026
153,0.98039
154,0.98052
155,0.97419
156,0.97436
157,0.97452
158,0.97468
159,0.97484
160,0.975
161,0.97516
162,0.97531
163,0.97546
164,0.97561
165,0.97576
166,0.9759
167,0.97605
168,0.97619
169,0.97633
170,0.97647
171,0.97661
172,0.97674
173,0.97688
174,0.97701
175,0.97714
176,0.97727
177,0.9774
178,0.97753
179,0.97765
180,0.97778
181,0.9779
182,0.97802
183,0.97814
184,0.97826
185,0.97838
186,0.97312
187,0.97326
188,0.9734
