@relation 'reduced_clean_mobile_data-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1,3,5,7,8,9,10,11,12,13,14,15,16,17-precision6-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R13,16'

@attribute battery_power {'\'(-inf-1000]\'','\'(1000-1499]\'','\'(1499-inf)\''}
@attribute has_bluetooth {no,yes}
@attribute clock_speed {'\'(-inf-1.333333]\'','\'(1.333333-2.166667]\'','\'(2.166667-inf)\''}
@attribute has_dual_sim {no,yes}
@attribute front_camera_mp {'\'(-inf-6.333333]\'','\'(6.333333-12.666667]\'','\'(12.666667-inf)\''}
@attribute has_four_g {no,yes}
@attribute internal_memory {'\'(-inf-22.666667]\'','\'(22.666667-43.333333]\'','\'(43.333333-inf)\''}
@attribute mobile_depth {'\'(-inf-0.4]\'','\'(0.4-0.7]\'','\'(0.7-inf)\''}
@attribute mobile_weight {'\'(-inf-120]\'','\'(120-160]\'','\'(160-inf)\''}
@attribute num_cores {'\'(-inf-3.333333]\'','\'(3.333333-5.666667]\'','\'(5.666667-inf)\''}
@attribute primary_camera_mp {'\'(-inf-6.666667]\'','\'(6.666667-13.333333]\'','\'(13.333333-inf)\''}
@attribute pixels_height {'\'(-inf-653.333333]\'','\'(653.333333-1306.666667]\'','\'(1306.666667-inf)\''}
@attribute ram {'\'(-inf-1503.333333]\'','\'(1503.333333-2750.666667]\'','\'(2750.666667-inf)\''}
@attribute screen_height {'\'(-inf-9.666667]\'','\'(9.666667-14.333333]\'','\'(14.333333-inf)\''}
@attribute has_touch_screen {no,yes}
@attribute has_wifi {yes,no}
@attribute price_category {not_high,high}

@data
'\'(-inf-1000]\'',no,'\'(2.166667-inf)\'',no,'\'(-inf-6.333333]\'',no,'\'(-inf-22.666667]\'','\'(0.4-0.7]\'','\'(160-inf)\'','\'(-inf-3.333333]\'','\'(-inf-6.666667]\'','\'(-inf-653.333333]\'','\'(1503.333333-2750.666667]\'','\'(-inf-9.666667]\'',no,yes,not_high
'\'(1000-1499]\'',yes,'\'(-inf-1.333333]\'',yes,'\'(-inf-6.333333]\'',yes,'\'(43.333333-inf)\'','\'(0.4-0.7]\'','\'(120-160]\'','\'(-inf-3.333333]\'','\'(-inf-6.666667]\'','\'(653.333333-1306.666667]\'','\'(1503.333333-2750.666667]\'','\'(14.333333-inf)\'',yes,no,not_high
'\'(-inf-1000]\'',yes,'\'(-inf-1.333333]\'',yes,'\'(-inf-6.333333]\'',yes,'\'(22.666667-43.333333]\'','\'(0.7-inf)\'','\'(120-160]\'','\'(3.333333-5.666667]\'','\'(-inf-6.666667]\'','\'(653.333333-1306.666667]\'','\'(1503.333333-2750.666667]\'','\'(9.666667-14.333333]\'',yes,no,not_high
'\'(-inf-1000]\'',yes,'\'(2.166667-inf)\'',no,'\'(-inf-6.333333]\'',no,'\'(-inf-22.666667]\'','\'(0.7-inf)\'','\'(120-160]\'','\'(5.666667-inf)\'','\'(6.666667-13.333333]\'','\'(653.333333-1306.666667]\'','\'(2750.666667-inf)\'','\'(14.333333-inf)\'',no,no,not_high
'\'(1499-inf)\'',yes,'\'(-inf-1.333333]\'',no,'\'(12.666667-inf)\'',yes,'\'(43.333333-inf)\'','\'(0.4-0.7]\'','\'(120-160]\'','\'(-inf-3.333333]\'','\'(13.333333-inf)\'','\'(653.333333-1306.666667]\'','\'(-inf-1503.333333]\'','\'(-inf-9.666667]\'',yes,no,not_high
'\'(1499-inf)\'',no,'\'(-inf-1.333333]\'',yes,'\'(-inf-6.333333]\'',no,'\'(-inf-22.666667]\'','\'(0.4-0.7]\'','\'(160-inf)\'','\'(-inf-3.333333]\'','\'(6.666667-13.333333]\'','\'(653.333333-1306.666667]\'','\'(-inf-1503.333333]\'','\'(14.333333-inf)\'',no,no,not_high
'\'(1499-inf)\'',no,'\'(1.333333-2.166667]\'',no,'\'(-inf-6.333333]\'',yes,'\'(-inf-22.666667]\'','\'(0.7-inf)\'','\'(120-160]\'','\'(5.666667-inf)\'','\'(6.666667-13.333333]\'','\'(-inf-653.333333]\'','\'(2750.666667-inf)\'','\'(9.666667-14.333333]\'',no,yes,high
'\'(1499-inf)\'',no,'\'(-inf-1.333333]\'',yes,'\'(-inf-6.333333]\'',no,'\'(22.666667-43.333333]\'','\'(0.7-inf)\'','\'(160-inf)\'','\'(3.333333-5.666667]\'','\'(-inf-6.666667]\'','\'(-inf-653.333333]\'','\'(-inf-1503.333333]\'','\'(14.333333-inf)\'',yes,yes,not_high
'\'(1000-1499]\'',yes,'\'(-inf-1.333333]\'',no,'\'(-inf-6.333333]\'',no,'\'(43.333333-inf)\'','\'(0.4-0.7]\'','\'(160-inf)\'','\'(5.666667-inf)\'','\'(13.333333-inf)\'','\'(-inf-653.333333]\'','\'(-inf-1503.333333]\'','\'(14.333333-inf)\'',no,no,not_high
'\'(-inf-1000]\'',yes,'\'(-inf-1.333333]\'',yes,'\'(-inf-6.333333]\'',yes,'\'(-inf-22.666667]\'','\'(-inf-0.4]\'','\'(-inf-120]\'','\'(3.333333-5.666667]\'','\'(13.333333-inf)\'','\'(653.333333-1306.666667]\'','\'(-inf-1503.333333]\'','\'(14.333333-inf)\'',no,no,not_high
'\'(-inf-1000]\'',yes,'\'(2.166667-inf)\'',yes,'\'(-inf-6.333333]\'',no,'\'(-inf-22.666667]\'','\'(-inf-0.4]\'','\'(160-inf)\'','\'(3.333333-5.666667]\'','\'(-inf-6.666667]\'','\'(-inf-653.333333]\'','\'(2750.666667-inf)\'','\'(-inf-9.666667]\'',no,no,high
'\'(1499-inf)\'',yes,'\'(2.166667-inf)\'',no,'\'(-inf-6.333333]\'',yes,'\'(22.666667-43.333333]\'','\'(0.4-0.7]\'','\'(160-inf)\'','\'(5.666667-inf)\'','\'(13.333333-inf)\'','\'(-inf-653.333333]\'','\'(2750.666667-inf)\'','\'(9.666667-14.333333]\'',yes,yes,high
'\'(1499-inf)\'',no,'\'(2.166667-inf)\'',no,'\'(-inf-6.333333]\'',no,'\'(22.666667-43.333333]\'','\'(0.4-0.7]\'','\'(120-160]\'','\'(3.333333-5.666667]\'','\'(13.333333-inf)\'','\'(-inf-653.333333]\'','\'(-inf-1503.333333]\'','\'(14.333333-inf)\'',no,no,not_high
'\'(-inf-1000]\'',yes,'\'(1.333333-2.166667]\'',no,'\'(6.333333-12.666667]\'',no,'\'(-inf-22.666667]\'','\'(0.7-inf)\'','\'(160-inf)\'','\'(3.333333-5.666667]\'','\'(6.666667-13.333333]\'','\'(-inf-653.333333]\'','\'(1503.333333-2750.666667]\'','\'(-inf-9.666667]\'',no,yes,not_high
'\'(1499-inf)\'',no,'\'(-inf-1.333333]\'',no,'\'(12.666667-inf)\'',yes,'\'(43.333333-inf)\'','\'(0.4-0.7]\'','\'(160-inf)\'','\'(-inf-3.333333]\'','\'(13.333333-inf)\'','\'(-inf-653.333333]\'','\'(-inf-1503.333333]\'','\'(9.666667-14.333333]\'',no,yes,not_high
'\'(-inf-1000]\'',no,'\'(-inf-1.333333]\'',no,'\'(-inf-6.333333]\'',no,'\'(43.333333-inf)\'','\'(0.4-0.7]\'','\'(120-160]\'','\'(-inf-3.333333]\'','\'(13.333333-inf)\'','\'(653.333333-1306.666667]\'','\'(-inf-1503.333333]\'','\'(14.333333-inf)\'',yes,yes,not_high
'\'(-inf-1000]\'',no,'\'(-inf-1.333333]\'',no,'\'(-inf-6.333333]\'',yes,'\'(-inf-22.666667]\'','\'(-inf-0.4]\'','\'(160-inf)\'','\'(5.666667-inf)\'','\'(-inf-6.666667]\'','\'(653.333333-1306.666667]\'','\'(2750.666667-inf)\'','\'(9.666667-14.333333]\'',no,yes,high
'\'(-inf-1000]\'',no,'\'(-inf-1.333333]\'',yes,'\'(6.333333-12.666667]\'',yes,'\'(22.666667-43.333333]\'','\'(-inf-0.4]\'','\'(120-160]\'','\'(-inf-3.333333]\'','\'(13.333333-inf)\'','\'(-inf-653.333333]\'','\'(2750.666667-inf)\'','\'(9.666667-14.333333]\'',yes,no,high
'\'(1000-1499]\'',yes,'\'(-inf-1.333333]\'',yes,'\'(6.333333-12.666667]\'',no,'\'(43.333333-inf)\'','\'(0.4-0.7]\'','\'(-inf-120]\'','\'(3.333333-5.666667]\'','\'(13.333333-inf)\'','\'(653.333333-1306.666667]\'','\'(1503.333333-2750.666667]\'','\'(14.333333-inf)\'',yes,no,not_high
'\'(-inf-1000]\'',yes,'\'(-inf-1.333333]\'',no,'\'(-inf-6.333333]\'',no,'\'(-inf-22.666667]\'','\'(0.7-inf)\'','\'(120-160]\'','\'(3.333333-5.666667]\'','\'(6.666667-13.333333]\'','\'(653.333333-1306.666667]\'','\'(1503.333333-2750.666667]\'','\'(9.666667-14.333333]\'',yes,yes,not_high
'\'(-inf-1000]\'',no,'\'(-inf-1.333333]\'',yes,'\'(6.333333-12.666667]\'',no,'\'(22.666667-43.333333]\'','\'(0.7-inf)\'','\'(-inf-120]\'','\'(5.666667-inf)\'','\'(13.333333-inf)\'','\'(1306.666667-inf)\'','\'(2750.666667-inf)\'','\'(14.333333-inf)\'',yes,no,high
'\'(1499-inf)\'',yes,'\'(1.333333-2.166667]\'',no,'\'(-inf-6.333333]\'',no,'\'(-inf-22.666667]\'','\'(0.7-inf)\'','\'(120-160]\'','\'(-inf-3.333333]\'','\'(-inf-6.666667]\'','\'(653.333333-1306.666667]\'','\'(2750.666667-inf)\'','\'(14.333333-inf)\'',no,no,high
