@relation 'reduced_clean_mobile_data-weka.filters.unsupervised.attribute.Wavelet-do-not-check-capabilities-AHaar-PZero-Fweka.filters.MultiFilter -F \"weka.filters.unsupervised.attribute.ReplaceMissingValues \" -F \"weka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0\"'

@attribute Haar_1 numeric
@attribute Haar_2 numeric
@attribute Haar_3 numeric
@attribute Haar_4 numeric
@attribute Haar_5 numeric
@attribute Haar_6 numeric
@attribute Haar_7 numeric
@attribute Haar_8 numeric
@attribute Haar_9 numeric
@attribute Haar_10 numeric
@attribute Haar_11 numeric
@attribute Haar_12 numeric
@attribute Haar_13 numeric
@attribute Haar_14 numeric
@attribute Haar_15 numeric
@attribute Haar_16 numeric
@attribute Haar_17 numeric
@attribute Haar_18 numeric
@attribute Haar_19 numeric
@attribute Haar_20 numeric
@attribute Haar_21 numeric
@attribute Haar_22 numeric
@attribute Haar_23 numeric
@attribute Haar_24 numeric
@attribute Haar_25 numeric
@attribute Haar_26 numeric
@attribute Haar_27 numeric
@attribute Haar_28 numeric
@attribute Haar_29 numeric
@attribute Haar_30 numeric
@attribute Haar_31 numeric
@attribute Haar_32 numeric
@attribute price_category {high,not_high}

@data
1.307392,1.130616,-0.812126,0.125,-0.383564,-0.355142,0.176777,0,-0.175318,-0.550654,0.269999,-0.279167,0.25,0,0,0,0.006622,0.254558,0.124784,-0.196419,0.303888,0.037543,-0.42786,-0.059421,0.353553,0,0,0,0,0,0,0,high
1.647509,0.979686,-0.4801,0.472222,0.091984,0.015518,0.667823,0,-0.646154,-0.329644,-0.337019,0.435242,-0.055556,0,0,0,0.07615,-0.424264,0.207973,-0.58292,0.393959,0.270896,-0.204932,0.095073,0.628539,-0.707107,0,0,0,0,0,0,high
1.798561,1.562859,-0.163235,0.166667,0.136312,-0.712467,0.235702,0,0.523211,0.107211,0.062303,0.164605,0.333333,0,0,0,-0.193449,0.480833,-0.623918,0.638677,-0.020203,-0.214937,-0.032411,-0.026739,0.471405,0,0,0,0,0,0,0,high
1.564572,0.994958,-0.092103,0.402778,0.024573,-0.280664,0.569614,0,-0.123746,-0.547386,0.136763,-0.224508,-0.194444,0,0,0,0.532104,-0.707107,0.207973,-0.274986,-0.381333,0.130278,-0.519249,0.139639,0.432121,-0.707107,0,0,0,0,0,0,high
1.434563,0.904233,-0.541948,0.375,-0.746925,-0.18148,0.53033,0,0.027759,-0.025248,0.073319,0.276609,-0.25,0,0,0,0.039257,0,-0.665512,0.470137,0.535381,-0.280169,-0.219806,0.338698,0.353553,0.707107,0,0,0,0,0,0,high
2.161319,0.806031,0.2702,0.958333,-0.162803,-0.316054,1.355288,0,-0.210903,0.347723,-0.046485,-0.152415,-0.083333,0,0,0,0.606835,-0.509117,-0.249567,0.672892,0.051349,0.468799,-0.351075,-0.002971,-0.117851,0,0,0,0,0,0,0,high
1.673073,1.064175,-0.464776,0.430556,0.283897,-0.014961,0.608898,0,0.93612,-0.416983,-0.025287,0.702327,-0.138889,0,0,0,-0.090339,0,0.083189,0.672892,-0.186878,-0.434772,0.039647,-0.05645,0.510688,-0.707107,0,0,0,0,0,0,high
1.771119,0.867593,-0.370418,0.638889,-0.136064,-0.202243,0.903525,0,-0.348495,-0.785104,0.407015,-0.066589,-0.722222,0,0,0,0.21426,-0.707107,0.041595,-0.262314,-0.23486,0.022548,-0.299872,0.273335,0.392837,0,0,0,0,0,0,0,high
1.61819,0.970009,-0.167335,0.458333,-0.249395,-0.891925,0.648181,0,-0.02495,0.109899,-0.208525,-0.168899,-0.083333,0,0,0,0.445548,0.480833,-0.623918,0.163471,-0.08923,0.016565,-0.186115,-0.059421,0.589256,0.707107,0,0,0,0,0,0,high
1.521127,1.12829,-1.153039,0.277778,-0.078974,-0.305967,0.392837,0,0.304348,-0.18074,0.14955,-0.211595,-0.444444,0,0,0,0.430413,0,0.166378,0.421983,0.214657,0.037244,-0.297934,0.041595,0.078567,-0.707107,0,0,0,0,0,0,high
2.250814,1.386573,0.28439,0.611111,0.29205,-0.072563,0.864242,0,-0.005284,0.307717,-0.035363,0.022856,0.222222,0,0,0,-0.262032,-0.254558,-0.332756,0.174876,-0.46467,0.333847,-0.466402,0.080218,-0.392837,-0.707107,0,0,0,0,0,0,high
